season,player,runs,wickets,allrounder_score,price
2013,JP Faulkner,57,28,3.0329037195486768,23200000
2013,NLTC Perera,235,19,2.822534988641656,39150000
2013,DJG Sammy,174,8,0.8287317665699941,24650000
2013,MC Henriques,165,7,0.6259391767247235,17400000
2013,MS Gony,45,7,-0.1222142955689049,29000000
2013,J Botha,43,5,-0.4280456789536291,26100000
2014,Shakib Al Hasan,229,11,1.772825734543154,28000000
2014,AR Patel,62,17,1.7603030995641324,7500000
2014,MG Johnson,56,17,1.7224800717683737,65000000
2014,VR Aaron,35,16,1.4167297569271755,20000000
2014,KV Sharma,42,15,1.2874869051328508,37500000
2014,R Dhawan,82,13,1.1929009886591553,30000000
2014,R Bhatia,67,12,0.9249737016137156,17000000
2014,DS Kulkarni,35,6,-0.3169674186332555,11000000
2015,D Wiese,122,16,1.7231463687189783,28000000
2015,CH Morris,76,14,1.1076893389186553,14000000
2015,AD Mathews,144,7,0.4428785604184659,75000000
2015,J Suchith,48,10,0.292995737183774,1000000
2015,RS Bopara,145,6,0.2912327172179663,10000000
2016,SR Watson,179,20,3.409174924257223,95000000
2016,CH Morris,195,13,2.16127475548982,70000000
2016,DR Smith,324,8,1.9606946208966236,23000000
2016,MM Sharma,32,13,1.2035873873554377,65000000
2016,NLTC Perera,150,9,1.1300789425544318,10000000
2016,KH Pandya,237,6,1.0661345350137905,20000000
2016,MP Stoinis,146,8,0.9148765133633718,5500000
2016,CR Brathwaite,83,7,0.3530265092034249,42000000
2016,Iqbal Abdulla,37,6,-0.1089419903044697,1000000
2016,R Bhatia,34,6,-0.1265681381842436,6000000
2016,BCJ Cutting,65,5,-0.1361321754446081,5000000
2017,BA Stokes,316,12,2.597502252178176,145000000
2017,P Negi,144,16,2.101266460622548,10000000
2017,CR Woakes,46,17,1.602084810006012,42000000
2017,PJ Cummins,77,15,1.4750800030561972,45000000
2017,KV Sharma,49,13,0.9456708422712898,32000000
2017,DT Christian,79,11,0.8118456225446091,10000000
2017,K Rabada,55,6,-0.1979382916818242,50000000
2018,AJ Tye,32,24,2.638593631109337,72000000
2018,SR Watson,555,6,2.61639288537979,40000000
2018,Rashid Khan,59,21,2.291478703283871,90000000
2018,Shakib Al Hasan,239,14,2.1493477278770454,20000000
2018,KH Pandya,228,12,1.752413743263556,88000000
2018,K Gowtham,126,11,1.003151262735084,62000000
2018,BA Stokes,196,8,0.9014685213711132,125000000
2018,R Ashwin,102,10,0.6990913529972311,76000000
2018,S Gopal,50,11,0.569364142477558,2000000
2018,JD Unadkat,49,11,0.5636564172110116,115000000
2018,DL Chahar,50,10,0.4022896391368185,8000000
2018,HV Patel,60,7,-0.041856618219936,2000000
2018,R Tewatia,50,6,-0.2660083742261395,30000000
2018,CR Brathwaite,75,5,-0.2903897459032191,20000000
2018,TG Southee,52,5,-0.4216674270337862,10000000
2019,AR Patel,110,10,0.9229906735019464,50000000
2019,SM Curran,95,10,0.8328734259546943,72000000
2020,MP Stoinis,352,13,2.5462559334879136,48000000
2020,SM Curran,186,13,1.5540531263238897,55000000
2020,PJ Cummins,146,12,1.164969660097414,155000000
2020,CH Morris,34,11,0.3455331690769041,100000000
2021,MM Ali,357,6,1.850510147360375,70000000
2021,CH Morris,67,15,1.3925903946578775,162500000
2021,KA Jamieson,65,9,0.4204848160150652,150000000
2022,PWH de Silva,38,26,2.810597601713933,107500000
2022,K Rabada,48,23,2.398556310038368,92500000
2022,LS Livingstone,437,6,2.15055721629215,115000000
2022,Kuldeep Yadav,48,21,2.081998493540208,20000000
2022,HV Patel,43,19,1.7340429605062102,107500000
2022,SN Thakur,120,15,1.5844521621617849,107500000
2022,R Ashwin,191,12,1.5554630122234343,50000000
2022,UT Yadav,55,16,1.3345607554449797,20000000
2022,KH Pandya,183,10,1.1886688492679347,82500000
2022,RD Chahar,77,14,1.1561528917045039,52500000
2022,JO Holder,58,14,1.036841568868322,87500000
2022,DR Sams,38,13,0.7529717944758928,26000000
2022,AR Patel,182,6,0.5492736729644472,2000000
2022,PVD Chameera,43,9,0.15125387801541,20000000
2022,Washington Sundar,101,6,0.0406306650838828,87500000
2022,PJ Cummins,63,7,-0.0397130723394007,72500000
2022,JD Unadkat,59,6,-0.2231101538171506,13000000
2022,OF Smith,51,6,-0.2733465002744903,60000000
2022,D Pretorius,44,6,-0.3173033034246625,5000000
2022,R Dhawan,37,6,-0.3612601065748347,5500000
2023,SM Curran,276,10,1.7710133447474052,185000000
2024,PJ Cummins,136,18,2.531069267169188,205000000
2025,KH Pandya,109,17,1.9263603106026257,57500000
2025,M Jansen,75,16,1.5710718418649572,70000000
2025,V Nigam,142,11,1.1100148503117429,5000000
2025,WG Jacks,233,6,0.7821614387215791,52500000
2025,DL Chahar,37,11,0.5272491879733952,92500000
2025,MJ Santner,40,9,0.2107328412220839,20000000
2025,Azmatullah Omarzai,57,8,0.1385019799058986,24000000
2025,R Shepherd,70,6,-0.1225128751941414,15000000
2025,R Ashwin,33,7,-0.1612849971804985,97500000
