season,player,runs,wickets,allrounder_score,adj_price,price_per_allrounder_score_adj
2013,JP Faulkner,57,28,4.462443123190432,44938826.50238596,10070453.62
2013,NLTC Perera,235,19,4.252074392283411,75834269.72277631,17834652.63
2013,CH Morris,14,15,2.287500763116318,70216916.40997808,30695909.5
2013,DJG Sammy,174,8,2.2582711702117493,47747503.15878509,21143387.82
2013,MC Henriques,165,7,2.055478580366479,33704119.87678947,16397212.89
2013,JD Unadkat,2,13,1.919323257040458,58982209.784381576,30730732.6
2013,SMSM Senanayake,10,9,1.3824758375003725,70216916.40997808,50790700.64
2013,MS Gony,45,7,1.3073251080728503,56173533.127982445,42968296.7
2013,J Botha,43,5,1.001493724688126,50556179.815184206,50480775.43
2013,AM Nayar,66,2,0.7048465686079927,75834269.72277631,107589755.13
2013,KW Richardson,34,2,0.5053389759963584,78642946.37917542,155624145.6
2013,R McLaren,3,3,0.4587470750770862,5617353.312798245,12244989.93
2013,NM Coulter-Nile,9,1,0.2027925898452706,50556179.815184206,249299936.72
2013,B Laughlin,4,1,0.1716195284997028,2246941.325119298,13092573.7
2014,DR Smith,566,4,4.248843483025479,78549001.77305487,18487148.82
2014,MM Sharma,1,23,3.981199665823032,34910667.454691045,8768881.34
2014,B Kumar,1,20,3.4610905131549026,74185168.34121849,21434044.58
2014,Shakib Al Hasan,229,11,3.3380381113893405,48874934.43656747,14641814.38
2014,AR Patel,62,17,3.325515476410319,13091500.295509145,3936683.02
2014,MG Johnson,56,17,3.28769244861456,113459669.22774592,34510426.69
2014,Sandeep Sharma,2,18,3.120654916008776,14837033.668243697,4754461.5
2014,JP Duminy,410,3,3.092075042779713,38401734.20016016,12419405.63
2014,VR Aaron,35,16,2.981942133773362,34910667.454691045,11707359.13
2014,KV Sharma,42,15,2.852699281979037,65457501.47754572,22945812.02
2014,R Dhawan,82,13,2.7581133655053414,52366001.18203658,18986167.08
2014,PV Tambe,5,15,2.6194572772385256,1745533.3727345525,666372.15
2014,RG Sharma,390,1,2.6192588483484314,33165134.081956495,12662029.99
2014,R Bhatia,67,12,2.4901860784599017,29674067.336487398,11916405.6
2014,CJ Anderson,265,4,2.35138825527159,78549001.77305487,33405373.02
2014,M Morkel,4,12,2.093044286604437,48874934.43656747,23351122.93
2014,L Balaji,1,12,2.074132772706557,31419600.709221944,15148307.34
2014,YS Chahal,1,12,2.074132772706557,1745533.3727345525,841572.63
2014,UT Yadav,2,11,1.9070668931164745,45383867.69109837,23797732.45
2014,JH Kallis,151,4,1.6327507271521773,96004335.5004004,58799138.11
2014,JD Unadkat,1,9,1.5540236200384283,48874934.43656747,31450573.73
2014,KW Richardson,1,9,1.5540236200384283,17455333.727345522,11232347.76
2014,S Nadeem,7,8,1.4184769302781437,14837033.668243697,10459834.31
2014,DS Kulkarni,35,6,1.248244958212931,19200867.10008008,15382290.93
2014,A Mishra,4,7,1.2261956988242213,82912835.20489123,67617946.54
2014,Mohammed Shami,3,7,1.2198918608582616,74185168.34121849,60812905.41
2014,DJG Sammy,108,3,1.1883159770598641,61093668.045709334,51411972.26
2014,S Gopal,11,6,1.0969528470298964,1745533.3727345525,1591256.52
2014,WD Parnell,2,6,1.0402183053362586,17455333.727345522,16780452.37
2014,IK Pathan,55,4,1.02758228242004,41892800.94562926,40768317.69
2014,KK Cooper,39,4,0.9267208749646836,5236600.118203658,5650676.77
2014,Z Khan,8,5,0.904671615575974,45383867.69109837,50166123.17
2014,AB Dinda,4,5,0.879456263712135,26183000.59101829,29771805.23
2014,JJ Bumrah,1,5,0.8605447498142558,20946400.47281463,24340861.39
2014,HV Patel,13,4,0.7628210878497298,6982133.49093821,9153042.05
2014,MC Henriques,9,4,0.7376057359858907,17455333.727345522,23664856.27
2014,PP Ojha,4,4,0.7060865461560919,56729834.61387296,80344024.29
2014,RN ten Doeschate,52,1,0.4885616158540312,17455333.727345522,35728008.83
2014,R Shukla,18,2,0.4476008425674424,6982133.49093821,15599017.76
2014,R Tewatia,16,2,0.4349931666355229,1745533.3727345525,4012783.43
2014,JDS Neesham,42,1,0.4255232361944336,17455333.727345522,41020870.88
2014,LR Shukla,31,1,0.3561810185688762,26183000.59101829,73510375.98
2014,S Kaul,2,2,0.3467394351120862,7854900.177305486,22653610.7
2014,M de Lange,1,2,0.3404355971461264,5236600.118203658,15382058.05
2014,JO Holder,16,1,0.2616234490794797,13091500.295509145,50039475.98
2014,R Rampaul,13,1,0.2427119351816005,15709800.354610972,64726113.87
2014,BCJ Cutting,8,1,0.2111927453518016,13964266.98187642,66120959.59
2014,AD Russell,2,1,0.1733697175560431,10473200.236407315,60409628.53
2014,VS Malik,1,1,0.1670658795900833,3491066.745469105,20896347.92
2015,D Wiese,122,16,3.3238088534810504,45818819.19618212,13785034.34
2015,MJ McClenaghan,13,18,2.9312319618877223,4909159.199590942,1674776.77
2015,CH Morris,76,14,2.7083518236807267,22909409.59809106,8458801.18
2015,AD Mathews,144,7,2.043541045180538,122728979.98977354,60057017.34
2015,J Suchith,48,10,1.8936582219458455,1636386.3998636473,864140.31
2015,RS Bopara,145,6,1.891895201980038,16363863.998636471,8649455.84
2015,A Mishra,8,9,1.47537114792509,57273523.99522765,38819739.75
2015,GB Hogg,7,9,1.4688677032709376,8181931.9993182365,5570230.72
2015,P Kumar,17,7,1.2176035741031592,36000500.79700024,29566684.56
2015,HH Pandya,112,1,0.8865350891197419,1636386.3998636473,1845822.48
2015,DJ Muthuswami,1,4,0.6391005960727612,12272897.998977354,19203390.01
2015,J Theron,1,1,0.1646527325088047,4909159.199590942,29815230.67
2016,SR Watson,179,20,4.88571146385374,148181019.9094905,30329466.04
2016,CH Morris,195,13,3.637811295086337,109186014.6701509,30014205.19
2016,DS Kulkarni,27,18,3.609251507242472,31196004.191471685,8643344.51
2016,DR Smith,324,8,3.4372311604931403,35875404.82019244,10437297.68
2016,MM Sharma,32,13,2.6801239269519543,101387013.62228297,37829225.96
2016,NLTC Perera,150,9,2.6066154821509486,15598002.095735842,5984005.77
2016,KH Pandya,237,6,2.5426710746103076,31196004.191471685,12268989.29
2016,A Mishra,4,13,2.515613213407398,1559800.2095735841,620047.71
2016,MP Stoinis,146,8,2.391413052959889,8578901.152654713,3587377.41
2016,TG Southee,30,9,1.9015695669599924,38995005.239339605,20506746.59
2016,P Kumar,24,9,1.8663172712004448,54593007.335075445,29251729.16
