season,player,runs,wickets,allrounder_score,price,price_per_allrounder_score
2013,JP Faulkner,57,28,4.462443123190432,23200000,5198945.82
2013,NLTC Perera,235,19,4.252074392283411,39150000,9207270.71
2013,DJG Sammy,174,8,2.2582711702117493,24650000,10915429.61
2013,MC Henriques,165,7,2.055478580366479,17400000,8465181.86
2013,MS Gony,45,7,1.3073251080728503,29000000,22182699.48
2013,J Botha,43,5,1.001493724688126,26100000,26061071.93
2014,Shakib Al Hasan,229,11,3.3380381113893405,28000000,8388160.67
2014,AR Patel,62,17,3.325515476410319,7500000,2255289.46
2014,MG Johnson,56,17,3.28769244861456,65000000,19770705.75
2014,VR Aaron,35,16,2.981942133773362,20000000,6707038.27
2014,KV Sharma,42,15,2.852699281979037,37500000,13145444.47
2014,R Dhawan,82,13,2.7581133655053414,30000000,10877000.33
2014,R Bhatia,67,12,2.4901860784599017,17000000,6826799.07
2014,DS Kulkarni,35,6,1.248244958212931,11000000,8812372.87
2015,D Wiese,122,16,3.3238088534810504,28000000,8424070.47
2015,CH Morris,76,14,2.7083518236807267,14000000,5169195.48
2015,AD Mathews,144,7,2.043541045180538,75000000,36701000.05
2015,J Suchith,48,10,1.8936582219458455,1000000,528078.4
2015,RS Bopara,145,6,1.891895201980038,10000000,5285705.04
2016,SR Watson,179,20,4.88571146385374,95000000,19444455.68
2016,CH Morris,195,13,3.637811295086337,70000000,19242339.51
2016,DR Smith,324,8,3.4372311604931403,23000000,6691432.41
2016,MM Sharma,32,13,2.6801239269519543,65000000,24252609.87
2016,NLTC Perera,150,9,2.6066154821509486,10000000,3836392.47
2016,KH Pandya,237,6,2.5426710746103076,20000000,7865744.1
2016,MP Stoinis,146,8,2.391413052959889,5500000,2299895.45
2016,CR Brathwaite,83,7,1.8295630487999417,42000000,22956300.97
2016,Iqbal Abdulla,37,6,1.3675945492920472,1000000,731210.87
2016,R Bhatia,34,6,1.3499684014122733,6000000,4444548.48
2016,BCJ Cutting,65,5,1.3404043641519088,5000000,3730217.64
2017,BA Stokes,316,12,4.1858760556856085,145000000,34640299.44
2017,P Negi,144,16,3.689640264129981,10000000,2710291.32
2017,CR Woakes,46,17,3.190458613513445,42000000,13164251.63
2017,PJ Cummins,77,15,3.0634538065636305,45000000,14689302.61
2017,KV Sharma,49,13,2.5340446457787227,32000000,12628033.23
2017,DT Christian,79,11,2.4002194260520424,10000000,4166285.75
2017,K Rabada,55,6,1.3904355118256089,50000000,35959956.13
2018,AJ Tye,32,24,4.192435288707233,72000000,17173789.23
2018,SR Watson,555,6,4.1702345429776875,40000000,9591786.65
2018,Rashid Khan,59,21,3.845320360881767,90000000,23405072.02
2018,Shakib Al Hasan,239,14,3.703189385474942,20000000,5400749.98
2018,KH Pandya,228,12,3.306255400861452,88000000,26616213.61
2018,K Gowtham,126,11,2.55699292033298,62000000,24247231.78
2018,BA Stokes,196,8,2.4553101789690097,125000000,50910064.67
2018,R Ashwin,102,10,2.2529330105951275,76000000,33733803.73
