season,player,runs,price
2013,NLTC Perera,235,39150000
2013,DJG Sammy,174,24650000
2013,MC Henriques,165,17400000
2014,RV Uthappa,660,50000000
2014,DR Smith,566,45000000
2014,DA Warner,528,55000000
2014,V Sehwag,455,32000000
2014,JP Duminy,410,22000000
2014,RG Sharma,390,19000000
2014,WP Saha,362,22000000
2014,KK Nair,330,7500000
2014,KD Karthik,325,125000000
2014,AJ Finch,309,40000000
2014,F du Plessis,303,47500000
2014,KP Pietersen,294,90000000
2014,YK Pathan,268,32500000
2014,CJ Anderson,265,45000000
2014,GJ Bailey,257,32500000
2014,NV Ojha,232,5000000
2014,Shakib Al Hasan,229,28000000
2014,MEK Hussey,209,50000000
2014,M Vijay,207,50000000
2014,PA Patel,205,14000000
2014,KL Rahul,166,10000000
2014,SA Yadav,164,7000000
2014,Q de Kock,153,35000000
2014,SPD Smith,152,40000000
2014,MK Tiwary,152,28000000
2014,JH Kallis,151,55000000
2014,CA Pujara,125,19000000
2014,CM Gautam,121,2000000
2014,MA Agarwal,115,16000000
2014,DJG Sammy,108,35000000
2014,YV Takawale,104,1000000
2014,BJ Hodge,101,24000000
2015,RG Sharma,482,3000000
2015,M Vijay,251,30000000
2015,EJG Morgan,187,15000000
2015,RS Bopara,145,10000000
2015,AD Mathews,144,75000000
2015,KD Karthik,141,105000000
2015,D Wiese,122,28000000
2015,HH Pandya,112,1000000
2015,SN Khan,111,5000000
2016,AJ Finch,393,10000000
2016,KK Nair,357,40000000
2016,KD Karthik,335,23000000
2016,DR Smith,324,23000000
2016,SV Samson,291,42000000
2016,JC Buttler,255,38000000
2016,KH Pandya,237,20000000
2016,RR Pant,198,19000000
2016,CH Morris,195,70000000
2016,SR Watson,179,95000000
2016,NLTC Perera,150,10000000
2016,MP Stoinis,146,5500000
2016,Sachin Baby,119,1000000
2017,RA Tripathi,391,1000000
2017,MK Tiwary,324,5000000
2017,BA Stokes,316,145000000
2017,P Negi,144,10000000
2017,CJ Anderson,142,10000000
2017,SA Yadav,105,1000000
2018,KL Rahul,659,110000000
2018,SR Watson,555,40000000
2018,JC Buttler,548,44000000
2018,SA Yadav,512,32000000
2018,KD Karthik,498,74000000
2018,CA Lynn,491,96000000
2018,SV Samson,441,80000000
2018,E Lewis,382,38000000
2018,AM Rahane,370,40000000
2018,CH Gayle,368,20000000
2018,RV Uthappa,351,64000000
2018,N Rana,304,34000000
2018,KK Nair,301,56000000
2018,Ishan Kishan,275,62000000
2018,YK Pathan,260,19000000
2018,Mandeep Singh,252,14000000
2018,Mandeep Singh,252,2000000
2018,PP Shaw,245,12000000
2018,Shakib Al Hasan,239,20000000
2018,Shakib Al Hasan,239,2000000
2018,KH Pandya,228,88000000
2018,RA Tripathi,226,34000000
2018,V Shankar,212,32000000
2018,Shubman Gill,203,18000000
2018,Q de Kock,201,28000000
2018,BA Stokes,196,125000000
2018,F du Plessis,162,16000000
2018,PA Patel,153,17000000
2018,AJ Finch,134,62000000
2018,KA Pollard,133,54000000
2018,C de Grandhomme,131,22000000
2018,K Gowtham,126,62000000
2018,WP Saha,122,50000000
2018,MA Agarwal,120,2000000
2018,MA Agarwal,120,10000000
2018,JJ Roy,120,15000000
2018,DJM Short,115,40000000
2018,SW Billings,108,10000000
2018,R Ashwin,102,76000000
2019,JM Bairstow,445,22000000
2019,CA Ingram,184,64000000
2019,SN Khan,180,2500000
2019,N Pooran,168,42000000
2019,R Parag,160,2000000
2019,AR Patel,110,50000000
2020,SA Yadav,480,2000000
2020,EJG Morgan,419,52500000
2020,MP Stoinis,352,48000000
2020,AJ Finch,268,44000000
2020,RA Tripathi,230,6000000
2020,RV Uthappa,196,30000000
2020,SM Curran,186,55000000
2020,SO Hetmyer,185,77500000
2020,PJ Cummins,146,155000000
2020,PK Garg,133,19000000
2020,Abdul Samad,113,2000000
2021,VR Iyer,370,2000000
2021,MM Ali,357,70000000
2021,KS Bharat,191,2000000
2021,SPD Smith,152,22000000
2022,Q de Kock,508,67500000
2022,DA Miller,481,30000000
2022,F du Plessis,468,70000000
2022,LS Livingstone,437,115000000
2022,DA Warner,432,62500000
2022,Abhishek Sharma,426,5500000
2022,Ishan Kishan,418,152500000
2022,RA Tripathi,413,85000000
2022,Tilak Varma,397,2000000
2022,AK Markram,381,26000000
2022,D Padikkal,376,77500000
2022,N Rana,361,80000000
2022,KD Karthik,330,55000000
2022,WP Saha,317,19000000
2022,SO Hetmyer,314,85000000
2022,N Pooran,306,107500000
2022,SA Yadav,303,5000000
2022,JM Bairstow,253,67500000
2022,DP Conway,252,10000000
2022,MR Marsh,251,65000000
2022,R Powell,250,28000000
2022,JM Sharma,234,2000000
2022,RV Uthappa,230,20000000
2022,Shahbaz Ahmed,219,24000000
2022,R Tewatia,217,90000000
2022,PBB Rajapaksa,206,5000000
2022,R Ashwin,191,50000000
2022,TH David,186,82500000
2022,R Parag,183,38000000
2022,KH Pandya,183,82500000
2022,AR Patel,182,2000000
2022,RK Singh,174,2000000
2022,RK Singh,174,5500000
2022,SW Billings,169,20000000
2022,Lalit Yadav,161,6500000
2022,D Brevis,161,30000000
2022,A Badoni,161,2000000
2022,MS Wade,157,24000000
2022,B Sai Sudharsan,145,2000000
2022,AM Rahane,133,10000000
2022,Anuj Rawat,129,34000000
2022,SN Thakur,120,107500000
2022,M Shahrukh Khan,117,2000000
2022,A Manohar,108,26000000
2022,Washington Sundar,101,87500000
2023,SA Yadav,605,2000000
2023,H Klaasen,448,52500000
2023,N Pooran,358,160000000
2023,Tilak Varma,343,2000000
2023,AM Rahane,326,5000000
2023,SM Curran,276,185000000
2023,MA Agarwal,270,82500000
2023,PD Salt,218,20000000
2023,RR Rossouw,209,46000000
2023,HC Brook,190,132500000
2023,Sikandar Raza,139,5000000
2024,TM Head,567,68000000
2024,Abhishek Sharma,484,2000000
2024,T Stubbs,378,5000000
2024,DJ Mitchell,318,140000000
2024,R Ravindra,222,18000000
2024,RR Rossouw,211,80000000
2024,SD Hope,183,7500000
2024,RK Singh,168,2000000
2024,A Raghuvanshi,163,2000000
2024,Naman Dhir,140,2000000
2024,PJ Cummins,136,205000000
2024,R Powell,103,74000000
2025,MR Marsh,627,34000000
2025,KL Rahul,546,140000000
2025,Priyansh Arya,545,38000000
2025,JC Buttler,538,157500000
2025,AK Markram,445,20000000
2025,Abhishek Sharma,439,3000000
2025,Abhishek Sharma,439,38000000
2025,PD Salt,403,115000000
2025,AM Rahane,390,15000000
2025,RD Rickelton,388,10000000
2025,Ishan Kishan,354,112500000
2025,A Raghuvanshi,300,30000000
2025,SE Rutherford,291,26000000
2025,JP Inglis,278,26000000
2025,RR Pant,269,270000000
2025,JM Sharma,261,110000000
2025,V Suryavanshi,252,11000000
2025,Naman Dhir,252,52500000
2025,D Padikkal,247,20000000
2025,Aniket Verma,236,3000000
2025,WG Jacks,233,52500000
2025,N Rana,217,42000000
2025,F du Plessis,202,20000000
2025,KK Nair,198,5000000
2025,R Ravindra,191,40000000
2025,TH David,187,30000000
2025,M Shahrukh Khan,179,3000000
2025,Abdul Samad,164,42000000
2025,MP Stoinis,160,110000000
2025,DP Conway,156,62500000
2025,DA Miller,153,75000000
2025,Q de Kock,152,36000000
2025,V Nigam,142,5000000
2025,VR Iyer,142,237500000
2025,Washington Sundar,133,32000000
2025,Sameer Rizvi,121,9500000
2025,V Shankar,118,12000000
2025,SM Curran,114,24000000
2025,LS Livingstone,112,87500000
2025,KH Pandya,109,57500000
2025,SB Dubey,106,8000000
