season,player,runs,price,price_per_run
2013,NLTC Perera,235,39150000,166595.74
2013,DJG Sammy,174,24650000,141666.67
2013,MC Henriques,165,17400000,105454.55
2014,RV Uthappa,660,50000000,75757.58
2014,DR Smith,566,45000000,79505.3
2014,DA Warner,528,55000000,104166.67
2014,V Sehwag,455,32000000,70329.67
2014,JP Duminy,410,22000000,53658.54
2014,RG Sharma,390,19000000,48717.95
2014,WP Saha,362,22000000,60773.48
2014,KK Nair,330,7500000,22727.27
2014,KD Karthik,325,125000000,384615.38
2014,AJ Finch,309,40000000,129449.84
2014,F du Plessis,303,47500000,156765.68
2014,KP Pietersen,294,90000000,306122.45
2014,YK Pathan,268,32500000,121268.66
2014,CJ Anderson,265,45000000,169811.32
2014,GJ Bailey,257,32500000,126459.14
2014,NV Ojha,232,5000000,21551.72
2014,Shakib Al Hasan,229,28000000,122270.74
2014,MEK Hussey,209,50000000,239234.45
2014,M Vijay,207,50000000,241545.89
2014,PA Patel,205,14000000,68292.68
2014,KL Rahul,166,10000000,60240.96
2014,SA Yadav,164,7000000,42682.93
2014,Q de Kock,153,35000000,228758.17
2014,MK Tiwary,152,28000000,184210.53
2014,SPD Smith,152,40000000,263157.89
2014,JH Kallis,151,55000000,364238.41
2015,RG Sharma,482,3000000,6224.07
2015,M Vijay,251,30000000,119521.91
2015,EJG Morgan,187,15000000,80213.9
2016,AJ Finch,393,10000000,25445.29
2016,KK Nair,357,40000000,112044.82
2016,KD Karthik,335,23000000,68656.72
2016,DR Smith,324,23000000,70987.65
2016,SV Samson,291,42000000,144329.9
2016,JC Buttler,255,38000000,149019.61
2016,KH Pandya,237,20000000,84388.19
2016,RR Pant,198,19000000,95959.6
2016,CH Morris,195,70000000,358974.36
2016,SR Watson,179,95000000,530726.26
2016,NLTC Perera,150,10000000,66666.67
2017,RA Tripathi,391,1000000,2557.54
2017,MK Tiwary,324,5000000,15432.1
2017,BA Stokes,316,145000000,458860.76
2018,KL Rahul,659,110000000,166919.58
2018,SR Watson,555,40000000,72072.07
2018,JC Buttler,548,44000000,80291.97
2018,SA Yadav,512,32000000,62500.0
2018,KD Karthik,498,74000000,148594.38
2018,CA Lynn,491,96000000,195519.35
2018,SV Samson,441,80000000,181405.9
2018,E Lewis,382,38000000,99476.44
2018,AM Rahane,370,40000000,108108.11
2018,CH Gayle,368,20000000,54347.83
2018,RV Uthappa,351,64000000,182336.18
2018,N Rana,304,34000000,111842.11
2018,KK Nair,301,56000000,186046.51
2018,Ishan Kishan,275,62000000,225454.55
2018,YK Pathan,260,19000000,73076.92
2018,Mandeep Singh,252,14000000,55555.56
2018,PP Shaw,245,12000000,48979.59
2018,Shakib Al Hasan,239,20000000,83682.01
2018,KH Pandya,228,88000000,385964.91
2018,RA Tripathi,226,34000000,150442.48
2018,V Shankar,212,32000000,150943.4
2018,Shubman Gill,203,18000000,88669.95
2018,Q de Kock,201,28000000,139303.48
2018,BA Stokes,196,125000000,637755.1
2018,F du Plessis,162,16000000,98765.43
2018,PA Patel,153,17000000,111111.11
2019,JM Bairstow,445,22000000,49438.2
2019,CA Ingram,184,64000000,347826.09
2019,SN Khan,180,2500000,13888.89
2019,N Pooran,168,42000000,250000.0
2019,R Parag,160,2000000,12500.0
2020,SA Yadav,480,2000000,4166.67
2020,EJG Morgan,419,52500000,125298.33
2020,MP Stoinis,352,48000000,136363.64
2020,AJ Finch,268,44000000,164179.1
2020,RA Tripathi,230,6000000,26086.96
2020,RV Uthappa,196,30000000,153061.22
2020,SM Curran,186,55000000,295698.92
2020,SO Hetmyer,185,77500000,418918.92
2021,VR Iyer,370,2000000,5405.41
2021,MM Ali,357,70000000,196078.43
2021,KS Bharat,191,2000000,10471.2
2021,SPD Smith,152,22000000,144736.84
2022,Q de Kock,508,67500000,132874.02
2022,DA Miller,481,30000000,62370.06
2022,F du Plessis,468,70000000,149572.65
2022,LS Livingstone,437,115000000,263157.89
2022,DA Warner,432,62500000,144675.93
2022,Abhishek Sharma,426,5500000,12910.8
2022,Ishan Kishan,418,152500000,364832.54
2022,RA Tripathi,413,85000000,205811.14
2022,Tilak Varma,397,2000000,5037.78
2022,AK Markram,381,26000000,68241.47
2022,D Padikkal,376,77500000,206117.02
2022,N Rana,361,80000000,221606.65
2022,KD Karthik,330,55000000,166666.67
2022,WP Saha,317,19000000,59936.91
2022,SO Hetmyer,314,85000000,270700.64
2022,N Pooran,306,107500000,351307.19
2022,SA Yadav,303,5000000,16501.65
2022,JM Bairstow,253,67500000,266798.42
2022,DP Conway,252,10000000,39682.54
2022,MR Marsh,251,65000000,258964.14
2022,R Powell,250,28000000,112000.0
2022,JM Sharma,234,2000000,8547.01
2022,RV Uthappa,230,20000000,86956.52
2022,Shahbaz Ahmed,219,24000000,109589.04
2022,R Tewatia,217,90000000,414746.54
2022,PBB Rajapaksa,206,5000000,24271.84
2022,R Ashwin,191,50000000,261780.1
2022,TH David,186,82500000,443548.39
2022,R Parag,183,38000000,207650.27
2022,KH Pandya,183,82500000,450819.67
