season,player,runs,adj_price,price_per_run_adj
2013,NLTC Perera,235,75834269.722776312134550000,322699.02
2013,DJG Sammy,174,47747503.158785085418050000,274410.94
2013,MC Henriques,165,33704119.876789472059800000,204267.39
2014,RV Uthappa,660,87276668.636727627500000000,132237.38
2014,DR Smith,566,78549001.773054864750000000,138779.16
2014,DA Warner,528,96004335.500400390250000000,181826.39
2014,V Sehwag,455,55857067.927505681600000000,122762.79
2014,JP Duminy,410,38401734.200160156100000000,93662.77
2014,RG Sharma,390,33165134.081956498450000000,85038.81
2014,WP Saha,362,38401734.200160156100000000,106082.14
2014,KK Nair,330,13091500.295509144125000000,39671.21
2014,KD Karthik,325,218191671.591819068750000000,671358.99
2014,AJ Finch,309,69821334.909382102000000000,225959.01
2014,F du Plessis,303,82912835.204891246125000000,273639.72
2014,KP Pietersen,294,157098003.546109729500000000,534346.95
2014,YK Pathan,268,56729834.613872957875000000,211678.49
2014,CJ Anderson,265,78549001.773054864750000000,296411.33
2014,GJ Bailey,257,56729834.613872957875000000,220738.66
2014,NV Ojha,232,8727666.863672762750000000,37619.25
2014,Shakib Al Hasan,229,48874934.436567471400000000,213427.66
2014,MEK Hussey,209,87276668.636727627500000000,417591.72
2014,M Vijay,207,87276668.636727627500000000,421626.42
2014,PA Patel,205,24437467.218283735700000000,119207.16
2014,KL Rahul,166,17455333.727345525500000000,105152.61
2014,SA Yadav,164,12218733.609141867850000000,74504.47
2014,Q de Kock,153,61093668.045709339250000000,399305.02
2014,SPD Smith,152,69821334.909382102000000000,459350.89
2014,MK Tiwary,152,48874934.436567471400000000,321545.62
2014,JH Kallis,151,96004335.500400390250000000,635790.30
2015,RG Sharma,482,4909159.199590941828000000,10184.98
2015,M Vijay,251,49091591.995909418280000000,195584.03
2015,EJG Morgan,187,24545795.997954709140000000,131260.94
2016,AJ Finch,393,15598002.095735842870000000,39689.57
2016,KK Nair,357,62392008.382943371480000000,174767.53
2016,KD Karthik,335,35875404.820192438601000000,107090.76
2016,DR Smith,324,35875404.820192438601000000,110726.56
2016,SV Samson,291,65511608.802090540054000000,225125.80
2016,JC Buttler,255,59272407.963796202906000000,232440.82
2016,KH Pandya,237,31196004.191471685740000000,131628.71
2016,RR Pant,198,29636203.981898101453000000,149677.80
2016,CH Morris,195,109186014.670150900090000000,559928.28
2016,SR Watson,179,148181019.909490507265000000,827826.93
2016,NLTC Perera,150,15598002.095735842870000000,103986.68
2017,RA Tripathi,391,1492346.163005725494000000,3816.74
2017,MK Tiwary,324,7461730.815028627470000000,23030.03
2017,BA Stokes,316,216390193.635830196630000000,684779.09
2018,KL Rahul,659,158867780.829023327600000000,241074.02
2018,SR Watson,555,57770102.119644846400000000,104090.27
2018,JC Buttler,548,63547112.331609331040000000,115961.88
2018,SA Yadav,512,46216081.695715877120000000,90265.78
2018,KD Karthik,498,106874688.921342965840000000,214607.81
2018,CA Lynn,491,138648245.087147631360000000,282379.32
2018,SV Samson,441,115540204.239289692800000000,261995.93
2018,E Lewis,382,54881597.013662604080000000,143669.10
2018,AM Rahane,370,57770102.119644846400000000,156135.41
2018,CH Gayle,368,28885051.059822423200000000,78491.99
2018,RV Uthappa,351,92432163.391431754240000000,263339.50
2018,N Rana,304,49104586.801698119440000000,161528.25
2018,KK Nair,301,80878142.967502784960000000,268698.15
2018,Ishan Kishan,275,89543658.285449511920000000,325613.30
2018,YK Pathan,260,27440798.506831302040000000,105541.53
2018,Mandeep Singh,252,20219535.741875696240000000,80236.25
2018,PP Shaw,245,17331030.635893453920000000,70738.90
2018,Shakib Al Hasan,239,28885051.059822423200000000,120857.95
2018,KH Pandya,228,127094224.663218662080000000,557430.81
2018,RA Tripathi,226,49104586.801698119440000000,217276.93
2018,V Shankar,212,46216081.695715877120000000,218000.39
2018,Shubman Gill,203,25996545.953840180880000000,128061.80
2018,Q de Kock,201,40439071.483751392480000000,201189.41
2018,BA Stokes,196,180531569.123890145000000000,921079.43
2018,F du Plessis,162,23108040.847857938560000000,142642.23
2018,PA Patel,153,24552293.400849059720000000,160472.51
2019,JM Bairstow,445,30566191.597695685910000000,68688.07
2019,CA Ingram,184,88919830.102387449920000000,483259.95
2019,SN Khan,180,3473430.863374509762500000,19296.84
2019,N Pooran,168,58353638.504691764010000000,347343.09
2019,R Parag,160,2778744.690699607810000000,17367.15
2020,SA Yadav,480,2652233.168559327870000000,5525.49
2020,EJG Morgan,419,69621120.674682356587500000,166160.19
2020,MP Stoinis,352,63653596.045423868880000000,180834.08
2020,AJ Finch,268,58349129.708305213140000000,217720.63
2020,RA Tripathi,230,7956699.505677983610000000,34594.35
2020,RV Uthappa,196,39783497.528389918050000000,202977.03
2020,SM Curran,186,72936412.135381516425000000,392131.25
2020,SO Hetmyer,185,102774035.281673954962500000,555535.33
2021,VR Iyer,370,2487556.901668850000000000,6723.13
2021,MM Ali,357,87064491.558409750000000000,243878.13
2021,KS Bharat,191,2487556.901668850000000000,13023.86
2021,SPD Smith,152,27363125.918357350000000000,180020.57
2022,Q de Kock,508,79858313.926875000000000000,157201.41
2022,DA Miller,481,35492583.967500000000000000,73789.16
2022,F du Plessis,468,82816029.257500000000000000,176957.33
2022,LS Livingstone,437,136054905.208750000000000000,311338.46
2022,DA Warner,432,73942883.265625000000000000,171164.08
2022,Abhishek Sharma,426,6506973.727375000000000000,15274.59
2022,Ishan Kishan,418,180420635.168125000000000000,431628.31
2022,RA Tripathi,413,100562321.241250000000000000,243492.30
