season,player,wickets,price
2013,JP Faulkner,28,23200000
2013,NLTC Perera,19,39150000
2013,CH Morris,15,36250000
2013,JD Unadkat,13,30450000
2014,MM Sharma,23,20000000
2014,B Kumar,20,42500000
2014,Sandeep Sharma,18,8500000
2014,MG Johnson,17,65000000
2014,AR Patel,17,7500000
2014,VR Aaron,16,20000000
2014,PV Tambe,15,1000000
2014,KV Sharma,15,37500000
2014,R Dhawan,13,30000000
2014,R Bhatia,12,17000000
2014,L Balaji,12,18000000
2014,M Morkel,12,28000000
2014,YS Chahal,12,1000000
2014,Shakib Al Hasan,11,28000000
2014,UT Yadav,11,26000000
2015,MJ McClenaghan,18,3000000
2015,D Wiese,16,28000000
2015,CH Morris,14,14000000
2015,J Suchith,10,1000000
2016,SR Watson,20,95000000
2016,DS Kulkarni,18,20000000
2016,CH Morris,13,70000000
2016,A Mishra,13,1000000
2016,MM Sharma,13,65000000
2016,A Zampa,12,3000000
2016,AB Dinda,11,5000000
2017,JD Unadkat,24,3000000
2017,Rashid Khan,17,40000000
2017,CR Woakes,17,42000000
2017,P Negi,16,10000000
2017,NM Coulter-Nile,15,35000000
2017,PJ Cummins,15,45000000
2017,KV Sharma,13,32000000
2017,BA Stokes,12,145000000
2017,DT Christian,11,10000000
2017,Basil Thampi,11,8500000
2018,AJ Tye,24,72000000
2018,S Kaul,21,38000000
2018,Rashid Khan,21,90000000
2018,UT Yadav,20,42000000
2018,Kuldeep Yadav,17,58000000
2018,SN Thakur,16,26000000
2018,M Markande,15,2000000
2018,Shakib Al Hasan,14,20000000
2018,Mujeeb Ur Rahman,14,40000000
2018,A Mishra,12,40000000
2018,KH Pandya,12,88000000
2018,Sandeep Sharma,12,30000000
2018,YS Chahal,12,60000000
2018,L Ngidi,11,5000000
2018,K Gowtham,11,62000000
2018,JD Unadkat,11,115000000
2018,S Gopal,11,2000000
2018,DL Chahar,10,8000000
2018,R Ashwin,10,76000000
2019,Mohammed Shami,19,48000000
2019,SL Malinga,16,20000000
2019,I Sharma,13,11000000
2019,AR Patel,10,50000000
2019,JD Unadkat,10,84000000
2019,SM Curran,10,72000000
2020,CV Varun,17,40000000
2020,SM Curran,13,55000000
2020,MP Stoinis,13,48000000
2020,PJ Cummins,12,155000000
2020,CH Morris,11,100000000
2021,Arshdeep Singh,18,2000000
2021,CH Morris,15,162500000
2021,C Sakariya,14,12000000
2022,YS Chahal,27,65000000
2022,PWH de Silva,26,107500000
2022,K Rabada,23,92500000
2022,Kuldeep Yadav,21,20000000
2022,Mohammed Shami,20,62500000
2022,JR Hazlewood,20,77500000
2022,HV Patel,19,107500000
2022,M Prasidh Krishna,19,100000000
2022,UT Yadav,16,20000000
2022,KK Ahmed,16,52500000
2022,Mukesh Choudhary,16,2000000
2022,SN Thakur,15,107500000
2022,JO Holder,14,87500000
2022,RD Chahar,14,52500000
2022,TG Southee,14,15000000
2022,DR Sams,13,26000000
2022,LH Ferguson,12,100000000
2022,M Theekshana,12,7000000
2022,R Ashwin,12,50000000
2022,B Kumar,12,42000000
2022,Yash Dayal,11,32000000
2022,OC McCoy,11,7500000
2022,Arshdeep Singh,10,5000000
2022,KH Pandya,10,82500000
2023,MM Sharma,27,5000000
2023,Arshdeep Singh,17,6000000
2023,Yash Thakur,13,4500000
2023,M Markande,12,5000000
2023,Sandeep Sharma,10,2000000
2023,SM Curran,10,185000000
2023,I Sharma,10,5000000
2024,HV Patel,24,117500000
2024,Arshdeep Singh,19,2000000
2024,PJ Cummins,18,205000000
2024,Yash Dayal,15,50000000
2024,Sandeep Sharma,13,2000000
2024,G Coetzee,13,50000000
2025,M Prasidh Krishna,25,95000000
2025,JR Hazlewood,22,125000000
2025,Arshdeep Singh,21,180000000
2025,R Sai Kishore,19,20000000
2025,VG Arora,17,18000000
2025,KH Pandya,17,57500000
2025,B Kumar,17,107500000
2025,YS Chahal,16,180000000
2025,HV Patel,16,80000000
2025,M Jansen,16,70000000
2025,KK Ahmed,15,48000000
2025,MA Starc,14,3000000
2025,E Malinga,13,12000000
2025,Mukesh Kumar,12,80000000
2025,V Nigam,11,5000000
2025,DL Chahar,11,92500000
2025,PWH de Silva,11,52500000
2025,JD Unadkat,11,10000000
2025,M Theekshana,11,44000000
2025,Ashwani Kumar,11,3000000
