season,player,wickets,price,price_per_wicket
2013,JP Faulkner,28,23200000,828571.43
2013,NLTC Perera,19,39150000,2060526.32
2013,CH Morris,15,36250000,2416666.67
2013,JD Unadkat,13,30450000,2342307.69
2014,MM Sharma,23,20000000,869565.22
2014,B Kumar,20,42500000,2125000.00
2014,Sandeep Sharma,18,8500000,472222.22
2014,MG Johnson,17,65000000,3823529.41
2014,AR Patel,17,7500000,441176.47
2014,VR Aaron,16,20000000,1250000.00
2014,PV Tambe,15,1000000,66666.67
2014,KV Sharma,15,37500000,2500000.00
2014,R Dhawan,13,30000000,2307692.31
2014,YS Chahal,12,1000000,83333.33
2014,L Balaji,12,18000000,1500000.00
2014,R Bhatia,12,17000000,1416666.67
2014,M Morkel,12,28000000,2333333.33
2014,Shakib Al Hasan,11,28000000,2545454.55
2014,UT Yadav,11,26000000,2363636.36
2015,MJ McClenaghan,18,3000000,166666.67
2015,D Wiese,16,28000000,1750000.00
2015,CH Morris,14,14000000,1000000.00
2015,J Suchith,10,1000000,100000.00
2016,SR Watson,20,95000000,4750000.00
2016,DS Kulkarni,18,20000000,1111111.11
2016,A Mishra,13,1000000,76923.08
2016,CH Morris,13,70000000,5384615.38
2016,MM Sharma,13,65000000,5000000.00
2016,A Zampa,12,3000000,250000.00
2016,AB Dinda,11,5000000,454545.45
2017,JD Unadkat,24,3000000,125000.00
2017,Rashid Khan,17,40000000,2352941.18
2017,CR Woakes,17,42000000,2470588.24
2017,P Negi,16,10000000,625000.00
2017,PJ Cummins,15,45000000,3000000.00
2017,NM Coulter-Nile,15,35000000,2333333.33
2017,KV Sharma,13,32000000,2461538.46
2017,BA Stokes,12,145000000,12083333.33
2017,Basil Thampi,11,8500000,772727.27
2017,DT Christian,11,10000000,909090.91
2018,AJ Tye,24,72000000,3000000.00
2018,S Kaul,21,38000000,1809523.81
2018,Rashid Khan,21,90000000,4285714.29
2018,UT Yadav,20,42000000,2100000.00
2018,Kuldeep Yadav,17,58000000,3411764.71
2018,SN Thakur,16,26000000,1625000.00
2018,M Markande,15,2000000,133333.33
2018,Mujeeb Ur Rahman,14,40000000,2857142.86
2018,Shakib Al Hasan,14,20000000,1428571.43
2018,YS Chahal,12,60000000,5000000.00
2018,KH Pandya,12,88000000,7333333.33
2018,A Mishra,12,40000000,3333333.33
2018,Sandeep Sharma,12,30000000,2500000.00
2018,JD Unadkat,11,115000000,10454545.45
2018,L Ngidi,11,5000000,454545.45
2018,S Gopal,11,2000000,181818.18
2018,K Gowtham,11,62000000,5636363.64
2018,R Ashwin,10,76000000,7600000.00
2018,DL Chahar,10,8000000,800000.00
2019,Mohammed Shami,19,48000000,2526315.79
2019,SL Malinga,16,20000000,1250000.00
2019,I Sharma,13,11000000,846153.85
2019,JD Unadkat,10,84000000,8400000.00
2019,SM Curran,10,72000000,7200000.00
2019,AR Patel,10,50000000,5000000.00
2020,CV Varun,17,40000000,2352941.18
2020,MP Stoinis,13,48000000,3692307.69
2020,SM Curran,13,55000000,4230769.23
2020,PJ Cummins,12,155000000,12916666.67
2020,CH Morris,11,100000000,9090909.09
2021,Arshdeep Singh,18,2000000,111111.11
2021,CH Morris,15,162500000,10833333.33
2021,C Sakariya,14,12000000,857142.86
2022,YS Chahal,27,65000000,2407407.41
2022,PWH de Silva,26,107500000,4134615.38
2022,K Rabada,23,92500000,4021739.13
2022,Kuldeep Yadav,21,20000000,952380.95
2022,Mohammed Shami,20,62500000,3125000.00
2022,JR Hazlewood,20,77500000,3875000.00
2022,HV Patel,19,107500000,5657894.74
2022,M Prasidh Krishna,19,100000000,5263157.89
2022,KK Ahmed,16,52500000,3281250.00
2022,Mukesh Choudhary,16,2000000,125000.00
2022,UT Yadav,16,20000000,1250000.00
2022,SN Thakur,15,107500000,7166666.67
2022,JO Holder,14,87500000,6250000.00
2022,TG Southee,14,15000000,1071428.57
2022,RD Chahar,14,52500000,3750000.00
2022,DR Sams,13,26000000,2000000.00
2022,R Ashwin,12,50000000,4166666.67
2022,LH Ferguson,12,100000000,8333333.33
2022,M Theekshana,12,7000000,583333.33
2022,B Kumar,12,42000000,3500000.00
2022,Yash Dayal,11,32000000,2909090.91
2022,OC McCoy,11,7500000,681818.18
2022,Arshdeep Singh,10,5000000,500000.00
2022,KH Pandya,10,82500000,8250000.00
2023,MM Sharma,27,5000000,185185.19
2023,Arshdeep Singh,17,6000000,352941.18
2023,Yash Thakur,13,4500000,346153.85
2023,M Markande,12,5000000,416666.67
2023,I Sharma,10,5000000,500000.00
2023,Sandeep Sharma,10,2000000,200000.00
2023,SM Curran,10,185000000,18500000.00
2024,HV Patel,24,117500000,4895833.33
2024,Arshdeep Singh,19,2000000,105263.16
2024,PJ Cummins,18,205000000,11388888.89
2024,Yash Dayal,15,50000000,3333333.33
2024,G Coetzee,13,50000000,3846153.85
2024,Sandeep Sharma,13,2000000,153846.15
2025,M Prasidh Krishna,25,95000000,3800000.00
2025,JR Hazlewood,22,125000000,5681818.18
2025,Arshdeep Singh,21,180000000,8571428.57
2025,R Sai Kishore,19,20000000,1052631.58
2025,B Kumar,17,107500000,6323529.41
2025,KH Pandya,17,57500000,3382352.94
2025,VG Arora,17,18000000,1058823.53
2025,YS Chahal,16,180000000,11250000.00
2025,M Jansen,16,70000000,4375000.00
2025,HV Patel,16,80000000,5000000.00
2025,KK Ahmed,15,48000000,3200000.00
2025,MA Starc,14,3000000,214285.71
2025,E Malinga,13,12000000,923076.92
2025,Mukesh Kumar,12,80000000,6666666.67
2025,Ashwani Kumar,11,3000000,272727.27
2025,V Nigam,11,5000000,454545.45
2025,DL Chahar,11,92500000,8409090.91
2025,JD Unadkat,11,10000000,909090.91
2025,M Theekshana,11,44000000,4000000.00
2025,PWH de Silva,11,52500000,4772727.27
