season,player,wickets,adj_price,price_per_wicket_adj
2013,JP Faulkner,28,44938826.502385962746400000,1604958.09
2013,NLTC Perera,19,75834269.722776312134550000,3991277.35
2013,CH Morris,15,70216916.409978066791250000,4681127.76
2013,JD Unadkat,13,58982209.784381576104650000,4537093.06
2014,MM Sharma,23,34910667.454691051000000000,1517855.11
2014,B Kumar,20,74185168.341218483375000000,3709258.42
2014,Sandeep Sharma,18,14837033.668243696675000000,824279.65
2014,AR Patel,17,13091500.295509144125000000,770088.25
2014,MG Johnson,17,113459669.227745915750000000,6674098.19
2014,VR Aaron,16,34910667.454691051000000000,2181916.72
2014,PV Tambe,15,1745533.372734552550000000,116368.89
2014,KV Sharma,15,65457501.477545720625000000,4363833.43
2014,R Dhawan,13,52366001.182036576500000000,4028153.94
2014,R Bhatia,12,29674067.336487393350000000,2472838.94
2014,M Morkel,12,48874934.436567471400000000,4072911.20
2014,L Balaji,12,31419600.709221945900000000,2618300.06
2014,YS Chahal,12,1745533.372734552550000000,145461.11
2014,UT Yadav,11,45383867.691098366300000000,4125806.15
2014,Shakib Al Hasan,11,48874934.436567471400000000,4443175.86
2015,MJ McClenaghan,18,4909159.199590941828000000,272731.07
2015,D Wiese,16,45818819.196182123728000000,2863676.20
2015,CH Morris,14,22909409.598091061864000000,1636386.40
2015,J Suchith,10,1636386.399863647276000000,163638.64
2016,SR Watson,20,148181019.909490507265000000,7409051.00
2016,DS Kulkarni,18,31196004.191471685740000000,1733111.34
2016,A Mishra,13,1559800.209573584287000000,119984.63
2016,MM Sharma,13,101387013.622282978655000000,7799001.05
2016,CH Morris,13,109186014.670150900090000000,8398924.21
2016,A Zampa,12,4679400.628720752861000000,389950.05
2016,AB Dinda,11,7799001.047867921435000000,709000.10
2017,JD Unadkat,24,4477038.489017176482000000,186543.27
2017,CR Woakes,17,62678538.846240470748000000,3686972.87
2017,Rashid Khan,17,59693846.520229019760000000,3511402.74
2017,P Negi,16,14923461.630057254940000000,932716.35
2017,NM Coulter-Nile,15,52232115.705200392290000000,3482141.05
2017,PJ Cummins,15,67155577.335257647230000000,4477038.49
2017,KV Sharma,13,47755077.216183215808000000,3673467.48
2017,BA Stokes,12,216390193.635830196630000000,18032516.14
2017,DT Christian,11,14923461.630057254940000000,1356678.33
2017,Basil Thampi,11,12684942.385548666699000000,1153176.58
2018,AJ Tye,24,103986183.815360723520000000,4332757.66
2018,Rashid Khan,21,129982729.769200904400000000,6189653.80
2018,S Kaul,21,54881597.013662604080000000,2613409.38
2018,UT Yadav,20,60658607.225627088720000000,3032930.36
2018,Kuldeep Yadav,17,83766648.073485027280000000,4927449.89
2018,SN Thakur,16,37550566.377769150160000000,2346910.40
2018,M Markande,15,2888505.105982242320000000,192567.01
2018,Shakib Al Hasan,14,28885051.059822423200000000,2063217.93
2018,Mujeeb Ur Rahman,14,57770102.119644846400000000,4126435.87
2018,Sandeep Sharma,12,43327576.589733634800000000,3610631.38
2018,KH Pandya,12,127094224.663218662080000000,10591185.39
2018,YS Chahal,12,86655153.179467269600000000,7221262.76
2018,A Mishra,12,57770102.119644846400000000,4814175.18
2018,JD Unadkat,11,166089043.593978933400000000,15099003.96
2018,L Ngidi,11,7221262.764955605800000000,656478.43
2018,S Gopal,11,2888505.105982242320000000,262591.37
2018,K Gowtham,11,89543658.285449511920000000,8140332.57
2018,R Ashwin,10,109763194.027325208160000000,10976319.40
2018,DL Chahar,10,11554020.423928969280000000,1155402.04
2019,Mohammed Shami,19,66689872.576790587440000000,3509993.29
2019,SL Malinga,16,27787446.906996078100000000,1736715.43
2019,I Sharma,13,15283095.798847842955000000,1175622.75
2019,SM Curran,10,100034808.865185881160000000,10003480.89
2019,JD Unadkat,10,116707277.009383528020000000,11670727.70
2019,AR Patel,10,69468617.267490195250000000,6946861.73
2020,CV Varun,17,53044663.371186557400000000,3120274.32
2020,SM Curran,13,72936412.135381516425000000,5610493.24
2020,MP Stoinis,13,63653596.045423868880000000,4896430.47
2020,PJ Cummins,12,205548070.563347909925000000,17129005.88
2020,CH Morris,11,132611658.427966393500000000,12055605.31
2021,Arshdeep Singh,18,2487556.901668850000000000,138197.61
2021,CH Morris,15,202113998.260594062500000000,13474266.55
2021,C Sakariya,14,14925341.410013100000000000,1066095.82
2022,YS Chahal,27,76900598.596250000000000000,2848170.32
2022,PWH de Silva,26,127181759.216875000000000000,4891606.12
2022,K Rabada,23,109435467.233125000000000000,4758063.79
2022,Kuldeep Yadav,21,23661722.645000000000000000,1126748.70
2022,Mohammed Shami,20,73942883.265625000000000000,3697144.16
2022,JR Hazlewood,20,91689175.249375000000000000,4584458.76
2022,M Prasidh Krishna,19,118308613.225000000000000000,6226769.12
2022,HV Patel,19,127181759.216875000000000000,6693776.80
2022,UT Yadav,16,23661722.645000000000000000,1478857.67
2022,KK Ahmed,16,62112021.943125000000000000,3882001.37
2022,Mukesh Choudhary,16,2366172.264500000000000000,147885.77
2022,SN Thakur,15,127181759.216875000000000000,8478783.95
2022,RD Chahar,14,62112021.943125000000000000,4436573.00
2022,JO Holder,14,103520036.571875000000000000,7394288.33
2022,TG Southee,14,17746291.983750000000000000,1267592.28
2022,DR Sams,13,30760239.438500000000000000,2366172.26
2022,B Kumar,12,49689617.554500000000000000,4140801.46
2022,R Ashwin,12,59154306.612500000000000000,4929525.55
2022,LH Ferguson,12,118308613.225000000000000000,9859051.10
2022,M Theekshana,12,8281602.925750000000000000,690133.58
2022,OC McCoy,11,8873145.991875000000000000,806649.64
2022,Yash Dayal,11,37858756.232000000000000000,3441705.11
2022,KH Pandya,10,97604605.910625000000000000,9760460.59
2022,Arshdeep Singh,10,5915430.661250000000000000,591543.07
