name,country,age,height,role,bat_style,bowl_style,t20_no,t20_runs,t20_avg,t20_sr,t20_50,t20_4s,t20_6s,ipl_no,ipl_runs,ipl_avg,ipl_sr,ipl_50,ipl_4s,ipl_6s,t20_wkts,t20_bowl_econ,t20_bowl_avg,t20_bowl_sr,ipl_wkts,ipl_bowl_econ,ipl_bowl_avg,ipl_bowl_sr,team,year,price,Unnamed: 0
CH Morris,south africa,26.0,,bowling-allrounder,right-handed-bat,right-arm-fast-medium,4,133,14.78,130.4,1,12,5,23,618,22.07,155.28,2,41,35,34,8.4,20.5,14.65,95,8.01,24.16,18.11,chennai-super-kings,2013,36250000,0.0
DP Nannes,australia,37.0,6.16828,bowler,right-handed-bat,left-arm-fast,3,22,11.0,122.23,0,1,1,2,4,4.0,30.77,0,0,0,28,7.52,16.39,13.07,28,7.3,28.04,23.04,chennai-super-kings,2013,34800000,1.0
B Laughlin,australia,31.0,,bowler,right-handed-bat,right-arm-fast-medium,0,0,0.0,0.0,0,0,0,2,5,2.5,38.47,0,0,0,2,9.97,59.0,35.5,10,10.13,28.2,16.7,chennai-super-kings,2013,1160000,2.0
A Dananjaya,sri lanka,20.0,,bowler,left-handed-bat,right-arm-offbreak,8,65,8.13,90.28,0,7,0,1,4,0.0,80.0,0,0,0,30,8.26,32.17,23.37,0,11.75,0.0,0.0,chennai-super-kings,2013,1160000,3.0
JO Holder,west indies,22.0,,bowling-allrounder,right-handed-bat,right-arm-fast-medium,14,491,16.37,129.22,0,31,27,6,259,12.33,123.34,0,13,18,66,8.58,28.88,20.2,53,8.81,27.57,18.77,chennai-super-kings,2013,1160000,4.0
J Botha,south africa,31.0,,bowling-allrounder,right-handed-bat,right-arm-offbreak,9,201,18.27,121.82,0,15,9,8,409,20.45,113.93,1,39,5,37,6.38,22.24,20.92,25,6.92,32.0,27.76,delhi-capitals,2013,26100000,5.0
MS Gony,india,29.0,,bowler,right-handed-bat,right-arm-fast-medium,0,0,0.0,0.0,0,0,0,7,99,9.9,139.44,0,6,8,0,0.0,0.0,0.0,37,8.7,34.78,24.0,punjab-kings,2013,29000000,8.0
LA Pomersbach,australia,29.0,5.84018,batsman,left-handed-bat,right-arm-offbreak,0,15,15.0,214.29,0,1,1,5,302,27.45,122.77,1,25,13,0,0.0,0.0,0.0,0,0.0,0.0,0.0,punjab-kings,2013,17400000,9.0
SMSM Senanayake,sri lanka,28.0,,bowler,right-handed-bat,right-arm-offbreak,6,56,9.33,84.85,0,3,1,3,10,10.0,58.83,0,0,0,25,6.78,21.96,19.44,9,6.53,23.22,21.33,kolkata-knight-riders,2013,36250000,10.0
R McLaren,south africa,30.0,,bowling-allrounder,left-handed-bat,right-arm-fast-medium,3,9,9.0,69.24,0,0,0,5,159,19.88,92.99,1,14,1,17,7.57,19.53,15.47,12,9.19,45.17,29.5,kolkata-knight-riders,2013,2900000,11.0
NM Coulter-Nile,australia,26.0,,bowler,right-handed-bat,right-arm-fast,4,150,13.64,125.0,0,10,10,6,82,6.83,113.89,0,7,4,34,8.27,23.59,17.12,48,7.7,22.92,17.85,mumbai-indians,2013,26100000,12.0
RT Ponting,australia,39.0,5.84018,batsman,right-handed-bat,right-arm-medium,2,401,28.64,132.79,2,41,11,0,91,10.11,71.1,0,5,2,0,0.0,0.0,0.0,0,0.0,0.0,0.0,mumbai-indians,2013,23200000,13.0
JDP Oram,new zealand,35.0,6.49638,bowling-allrounder,left-handed-bat,right-arm-fast-medium,7,474,20.61,139.83,2,38,22,4,106,13.25,98.15,0,6,5,19,8.73,41.79,28.74,9,8.84,38.78,26.33,mumbai-indians,2013,2900000,15.0
KW Richardson,australia,22.0,,bowler,right-handed-bat,right-arm-fast-medium,3,17,4.25,100.0,0,0,0,1,36,12.0,92.31,0,2,1,45,8.4,23.53,16.8,19,8.45,24.84,17.63,lucknow-super-giants,2013,40600000,17.0
AM Nayar,india,30.0,,batting-allrounder,left-handed-bat,right-arm-medium,0,0,0.0,0.0,0,0,0,12,672,17.68,116.47,0,55,20,0,0.0,0.0,0.0,9,8.44,35.78,25.44,lucknow-super-giants,2013,39150000,18.0
JP Faulkner,australia,23.0,6.10266,bowling-allrounder,right-handed-bat,left-arm-fast-medium,7,159,14.45,115.22,0,7,5,20,527,21.08,135.83,0,36,23,36,7.97,19.0,14.31,59,8.69,30.14,20.8,rajasthan-royals,2013,23200000,20.0
JD Unadkat,india,22.0,,bowler,right-handed-bat,left-arm-fast-medium,0,0,0.0,0.0,0,0,0,16,197,12.31,118.68,0,16,7,14,8.68,21.5,14.86,99,8.98,32.21,21.53,royal-challengers-bengaluru,2013,30450000,23.0
MC Henriques,australia,26.0,6.13547,batting-allrounder,right-handed-bat,right-arm-fast-medium,4,355,20.88,124.57,2,17,15,18,1000,27.78,126.91,5,87,28,7,8.43,27.71,19.71,42,8.14,30.69,22.62,royal-challengers-bengaluru,2013,17400000,24.0
P Simran Singh,india,28.0,,bowler,right-handed-bat,right-arm-fast-medium,0,0,0.0,0.0,0,0,0,3,7,3.5,58.34,0,0,0,0,0.0,0.0,0.0,11,9.36,42.55,27.27,royal-challengers-bengaluru,2013,8700000,25.0
DT Christian,australia,30.0,,bowling-allrounder,right-handed-bat,right-arm-fast-medium,6,118,14.75,126.89,0,7,6,9,460,14.38,115.58,0,23,19,13,8.56,30.62,21.46,38,8.1,31.37,23.24,royal-challengers-bengaluru,2013,5800000,26.0
NLTC Perera,sri lanka,24.0,6.1,bowling-allrounder,left-handed-bat,right-arm-fast-medium,22,1204,23.15,151.64,3,88,64,8,422,19.18,137.46,0,23,26,51,9.35,33.67,21.61,31,8.73,32.77,22.52,sunrisers-hyderabad,2013,39150000,28.0
DJG Sammy,west indies,30.0,,batting-allrounder,right-handed-bat,right-arm-medium,18,587,17.26,147.49,0,45,31,5,295,19.67,122.41,1,15,18,44,7.31,25.36,20.82,11,8.9,31.82,21.45,sunrisers-hyderabad,2013,24650000,29.0
Kartik Tyagi,india,26.0,,bowler,right-handed-bat,right-arm-fast-medium,0,0,0.0,0.0,0,0,0,2,3,3.0,75.0,0,0,0,0,10.5,0.0,0.0,6,8.47,49.17,34.83,sunrisers-hyderabad,2013,5800000,30.0
BB McCullum,new zealand,33.0,,bowling-allrounder,right-handed-bat,right-arm-offbreak,15,299,11.5,100.68,0,19,8,1,26,26.0,118.19,0,0,1,58,6.83,22.03,19.36,0,6.8,0.0,0.0,sunrisers-hyderabad,2013,5800000,32.0
Q de Kock,south africa,21.0,,wk-batsman,left-handed-bat,,9,2584,31.51,138.33,16,264,103,6,3157,31.26,134.23,23,316,123,0,0.0,0.0,0.0,0,0.0,0.0,0.0,sunrisers-hyderabad,2013,1160000,33.0
F du Plessis,south africa,30.0,,batsman,right-handed-bat,right-arm-legbreak,7,1528,35.53,134.39,10,140,50,11,4571,35.99,136.37,37,421,166,0,2.25,0.0,0.0,0,16.0,0.0,0.0,chennai-super-kings,2014,47500000,34.0
DR Smith,west indies,31.0,,batting-allrounder,right-handed-bat,right-arm-medium,0,582,18.19,122.27,3,62,31,5,2385,28.39,135.21,17,245,117,7,8.96,30.29,20.29,26,9.02,31.15,20.73,chennai-super-kings,2014,45000000,35.0
A Nehra,india,35.0,,bowler,right-handed-bat,left-arm-fast-medium,0,28,5.6,71.8,0,1,2,15,41,5.86,66.13,0,3,1,34,7.73,22.29,17.29,106,7.85,23.54,18.0,chennai-super-kings,2014,20000000,36.0
MM Sharma,india,26.0,,bowler,right-handed-bat,right-arm-fast-medium,2,3,0.0,42.86,0,0,0,14,124,7.29,93.24,0,8,4,6,8.04,30.83,23.0,132,8.67,24.67,17.07,chennai-super-kings,2014,20000000,37.0
IC Pandey,india,25.0,,bowler,right-handed-bat,right-arm-fast-medium,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,18,7.68,32.83,25.67,chennai-super-kings,2014,15000000,38.0
BW Hilfenhaus,australia,31.0,6.10266,bowler,right-handed-bat,right-arm-fast-medium,1,2,1.0,20.0,0,0,0,1,0,0.0,0.0,0,0,0,9,6.19,17.89,17.33,22,7.73,21.77,16.91,chennai-super-kings,2014,10000000,39.0
JW Hastings,australia,29.0,6.39795,bowling-allrounder,right-handed-bat,right-arm-fast-medium,2,46,11.5,124.33,0,3,1,0,0,0.0,0.0,0,0,0,7,7.97,35.29,26.57,3,6.83,22.0,19.33,chennai-super-kings,2014,5000000,40.0
S Badree,west indies,33.0,,bowler,right-handed-bat,right-arm-legbreak,10,43,7.17,66.16,0,1,1,0,13,2.6,56.53,0,0,0,56,6.18,21.07,20.46,11,7.42,29.0,23.45,chennai-super-kings,2014,3000000,41.0
MJ Henry,new zealand,23.0,,bowler,right-handed-bat,right-arm-fast-medium,3,24,6.0,88.89,0,2,1,0,0,0.0,0.0,0,0,0,27,8.3,23.67,17.11,2,10.65,90.5,51.0,chennai-super-kings,2014,3000000,42.0
M Manhas,india,35.0,,batting-allrounder,right-handed-bat,right-arm-offbreak,0,0,0.0,0.0,0,0,0,15,514,22.35,109.37,0,43,10,0,0.0,0.0,0.0,0,6.0,0.0,0.0,chennai-super-kings,2014,3000000,43.0
V Shankar,india,23.0,,batting-allrounder,right-handed-bat,right-arm-medium,0,101,25.25,138.36,0,11,5,16,1115,25.34,129.81,6,80,45,5,9.1,38.2,25.2,9,8.67,38.22,26.44,chennai-super-kings,2014,1000000,44.0
RG More,india,22.0,,bowler,right-handed-bat,right-arm-medium,0,0,0.0,0.0,0,0,0,1,2,0.0,100.0,0,0,0,0,0.0,0.0,0.0,1,10.11,59.0,35.0,chennai-super-kings,2014,1000000,45.0
