name,team,year,price
chris morris,chennai-super-kings,2013,36250000
dirk nannes,chennai-super-kings,2013,34800000
ben laughlin,chennai-super-kings,2013,1160000
akila dananjaya,chennai-super-kings,2013,1160000
jason holder,chennai-super-kings,2013,1160000
johan botha,delhi-capitals,2013,26100000
jesse ryder,delhi-capitals,2013,15080000
jeevan mendis,delhi-capitals,2013,2900000
manpreet gony,punjab-kings,2013,29000000
luke pomersbach,punjab-kings,2013,17400000
sachithra senanayake,kolkata-knight-riders,2013,36250000
ryan mclaren,kolkata-knight-riders,2013,2900000
nathan coulter-nile,mumbai-indians,2013,26100000
ricky ponting,mumbai-indians,2013,23200000
phillip hughes,mumbai-indians,2013,5800000
jacob oram,mumbai-indians,2013,2900000
ajantha mendis,lucknow-super-giants,2013,42050000
kane richardson,lucknow-super-giants,2013,40600000
abhishek nayar,lucknow-super-giants,2013,39150000
michael clarke,lucknow-super-giants,2013,23200000
james faulkner,rajasthan-royals,2013,23200000
fidel edwards,rajasthan-royals,2013,12180000
kusal perera,rajasthan-royals,2013,1160000
jaydev unadkat,royal-challengers-bengaluru,2013,30450000
moises henriques,royal-challengers-bengaluru,2013,17400000
pankaj singh,royal-challengers-bengaluru,2013,8700000
daniel christian,royal-challengers-bengaluru,2013,5800000
christopher barnwell,royal-challengers-bengaluru,2013,2900000
thisara perera,sunrisers-hyderabad,2013,39150000
daren sammy,sunrisers-hyderabad,2013,24650000
sudeep tyagi,sunrisers-hyderabad,2013,5800000
clint mckay,sunrisers-hyderabad,2013,5800000
nathan mccullum,sunrisers-hyderabad,2013,5800000
quinton de kock,sunrisers-hyderabad,2013,1160000
faf du plessis,chennai-super-kings,2014,47500000
dwayne smith,chennai-super-kings,2014,45000000
ashish nehra,chennai-super-kings,2014,20000000
mohit sharma,chennai-super-kings,2014,20000000
ishwar pandey,chennai-super-kings,2014,15000000
ben hilfenhaus,chennai-super-kings,2014,10000000
john hastings,chennai-super-kings,2014,5000000
samuel badree,chennai-super-kings,2014,3000000
matt henry,chennai-super-kings,2014,3000000
mithun manhas,chennai-super-kings,2014,3000000
vijay shankar,chennai-super-kings,2014,1000000
ronit more,chennai-super-kings,2014,1000000
baba aparajith,chennai-super-kings,2014,1000000
pawan negi,chennai-super-kings,2014,1000000
dinesh karthik,delhi-capitals,2014,125000000
kevin pietersen,delhi-capitals,2014,90000000
murali vijay,delhi-capitals,2014,50000000
mohammed shami,delhi-capitals,2014,42500000
nathan coulter-nile,delhi-capitals,2014,42500000
quinton de kock,delhi-capitals,2014,35000000
manoj tiwary,delhi-capitals,2014,28000000
jaydev unadkat,delhi-capitals,2014,28000000
jean-paul duminy,delhi-capitals,2014,22000000
ross taylor,delhi-capitals,2014,20000000
rahul sharma,delhi-capitals,2014,19000000
mayank agarawal,delhi-capitals,2014,16000000
laxmi shukla,delhi-capitals,2014,15000000
james neesham,delhi-capitals,2014,10000000
wayne parnell,delhi-capitals,2014,10000000
shahbaz nadeem,delhi-capitals,2014,8500000
siddarth kaul,delhi-capitals,2014,4500000
rahul shukla,delhi-capitals,2014,4000000
jayant yadav,delhi-capitals,2014,1000000
hs sharath,delhi-capitals,2014,1000000
milind kumar,delhi-capitals,2014,1000000
mitchell johnson,punjab-kings,2014,65000000
george bailey,punjab-kings,2014,32500000
virender sehwag,punjab-kings,2014,32000000
rishi dhawan,punjab-kings,2014,30000000
wriddhiman saha,punjab-kings,2014,22000000
cheteshwar pujara,punjab-kings,2014,19000000
beuran hendricks,punjab-kings,2014,18000000
lakshmipathy balaji,punjab-kings,2014,18000000
thisara perera,punjab-kings,2014,16000000
gurkeerat singh mann,punjab-kings,2014,13000000
sandeep sharma,punjab-kings,2014,8500000
mandeep singh,punjab-kings,2014,8000000
axar patel,punjab-kings,2014,7500000
shardul thakur,punjab-kings,2014,2000000
anureet singh,punjab-kings,2014,2000000
shivam sharma,punjab-kings,2014,1000000
jacques kallis,kolkata-knight-riders,2014,55000000
robin uthappa,kolkata-knight-riders,2014,50000000
yusuf pathan,kolkata-knight-riders,2014,32500000
shakib al hasan,kolkata-knight-riders,2014,28000000
morne morkel,kolkata-knight-riders,2014,28000000
vinay kumar,kolkata-knight-riders,2014,28000000
umesh yadav,kolkata-knight-riders,2014,26000000
chris lynn,kolkata-knight-riders,2014,13000000
pat cummins,kolkata-knight-riders,2014,10000000
ryan ten doeschate,kolkata-knight-riders,2014,10000000
suryakumar yadav,kolkata-knight-riders,2014,7000000
andre russell,kolkata-knight-riders,2014,6000000
manvinder bisla,kolkata-knight-riders,2014,6000000
veer pratap singh,kolkata-knight-riders,2014,4000000
kuldip yadav,kolkata-knight-riders,2014,4000000
debabrata das,kolkata-knight-riders,2014,2000000
michael hussey,mumbai-indians,2014,50000000
corey anderson,mumbai-indians,2014,45000000
pragyan ojha,mumbai-indians,2014,32500000
zaheer khan,mumbai-indians,2014,26000000
jasprit bumrah,mumbai-indians,2014,12000000
jalaj saxena,mumbai-indians,2014,9000000
josh hazlewood,mumbai-indians,2014,5000000
