name,matched_name
chris morris,CH Morris
dirk nannes,DP Nannes
ben laughlin,B Laughlin
akila dananjaya,A Dananjaya
jason holder,JO Holder
johan botha,J Botha
manpreet gony,MS Gony
luke pomersbach,LA Pomersbach
sachithra senanayake,SMSM Senanayake
ryan mclaren,R McLaren
nathan coulter-nile,NM Coulter-Nile
ricky ponting,RT Ponting
jacob oram,JDP Oram
kane richardson,KW Richardson
abhishek nayar,AM Nayar
james faulkner,JP Faulkner
jaydev unadkat,JD Unadkat
moises henriques,MC Henriques
pankaj singh,P Simran Singh
daniel christian,DT Christian
thisara perera,NLTC Perera
daren sammy,DJG Sammy
sudeep tyagi,Kartik Tyagi
nathan mccullum,BB McCullum
quinton de kock,Q de Kock
faf du plessis,F du Plessis
dwayne smith,DR Smith
ashish nehra,A Nehra
mohit sharma,MM Sharma
ishwar pandey,IC Pandey
ben hilfenhaus,BW Hilfenhaus
john hastings,JW Hastings
samuel badree,S Badree
matt henry,MJ Henry
mithun manhas,M Manhas
vijay shankar,V Shankar
ronit more,RG More
pawan negi,P Negi
dinesh karthik,KD Karthik
kevin pietersen,KP Pietersen
murali vijay,M Vijay
mohammed shami,Mohammed Shami
nathan coulter-nile,NM Coulter-Nile
quinton de kock,Q de Kock
manoj tiwary,MK Tiwary
jaydev unadkat,JD Unadkat
jean-paul duminy,JP Duminy
ross taylor,LRPL Taylor
rahul sharma,RG Sharma
mayank agarawal,MA Agarwal
laxmi shukla,LR Shukla
james neesham,JDS Neesham
wayne parnell,WD Parnell
shahbaz nadeem,S Nadeem
siddarth kaul,S Kaul
rahul shukla,R Shukla
jayant yadav,J Yadav
hs sharath,BR Sharath
milind kumar,Mukesh Kumar
mitchell johnson,MG Johnson
george bailey,GJ Bailey
virender sehwag,V Sehwag
rishi dhawan,R Dhawan
wriddhiman saha,WP Saha
cheteshwar pujara,CA Pujara
beuran hendricks,BE Hendricks
lakshmipathy balaji,L Balaji
sandeep sharma,Sandeep Sharma
mandeep singh,Mandeep Singh
axar patel,AR Patel
shardul thakur,SN Thakur
anureet singh,Arshdeep Singh
shivam sharma,Sandeep Sharma
jacques kallis,JH Kallis
robin uthappa,RV Uthappa
yusuf pathan,YK Pathan
shakib al hasan,Shakib Al Hasan
morne morkel,M Morkel
vinay kumar,Ashwani Kumar
umesh yadav,UT Yadav
chris lynn,CA Lynn
pat cummins,PJ Cummins
ryan ten doeschate,RN ten Doeschate
suryakumar yadav,SA Yadav
andre russell,AD Russell
manvinder bisla,MS Bisla
veer pratap singh,Virat Singh
kuldip yadav,Kuldeep Yadav
debabrata das,DB Das
michael hussey,MEK Hussey
corey anderson,CJ Anderson
pragyan ojha,PP Ojha
zaheer khan,Z Khan
jasprit bumrah,JJ Bumrah
jalaj saxena,Jalaj S Saxena
josh hazlewood,JR Hazlewood
marchant de lange,M de Lange
krishmar santokie,K Santokie
ben dunk,BR Dunk
cm gautam,CM Gautam
pawan suyal,P Suyal
shreyas gopal,S Gopal
steven smith,SPD Smith
brad hodge,BJ Hodge
rajat bhatia,R Bhatia
tim southee,TG Southee
dhawal kulkarni,DS Kulkarni
abhishek nayar,AM Nayar
kane richardson,KW Richardson
ben cutting,BCJ Cutting
karun nair,KK Nair
iqbal abdulla,Iqbal Abdulla
dishant yagnik,DH Yagnik
kevon cooper,KK Cooper
vikramjeet singh malik,VS Malik
ankit sharma,Abhishek Sharma
rahul tewatia,R Tewatia
amit mishra,A Mishra
pravin tambe,PV Tambe
yuvraj singh,Yudhvir Singh
varun aaron,VR Aaron
ashok dinda,AB Dinda
parthiv patel,PA Patel
muttiah muralitharan,M Muralitharan
ravi rampaul,R Rampaul
nic maddinson,NJ Maddinson
harshal patel,HV Patel
sachin rana,S Rana
shadab jakati,SB Jakati
sandeep warrier,S Sandeep Warrier
tanmay mishra,A Mishra
yogesh takawale,YV Takawale
yuzvendra chahal,YS Chahal
david warner,DA Warner
amit mishra,A Mishra
bhuvneshwar kumar,B Kumar
aaron finch,AJ Finch
karn sharma,KV Sharma
daren sammy,DJG Sammy
ishant sharma,I Sharma
irfan pathan,IK Pathan
moises henriques,MC Henriques
kl rahul,KL Rahul
parvez rasool,Parvez Rasool
jason holder,JO Holder
venugopal rao,Y Venugopal Rao
naman ojha,NV Ojha
brendan taylor,LRPL Taylor
ashish reddy,A Ashish Reddy
srikkanth anirudha,S Anirudha
ricky bhui,RK Bhui
manprit juneja,MC Juneja
michael hussey,MEK Hussey
irfan pathan,IK Pathan
rahul sharma,RG Sharma
kyle abbott,KJ Abbott
andrew tye,AJ Tye
pratyush singh,P Simran Singh
eklavya dwivedi,ER Dwivedi
yuvraj singh,Yudhvir Singh
angelo mathews,AD Mathews
zaheer khan,Z Khan
amit mishra,A Mishra
gurinder sandhu,GS Sandhu
jaydev unadkat,JD Unadkat
domnic muthuswami,DJ Muthuswami
travis head,TM Head
marcus stoinis,MP Stoinis
cm gautam,CM Gautam
srikar bharat,KS Bharat
murali vijay,M Vijay
nikhil naik,NS Naik
kc cariappa,KC Cariappa
james neesham,JDS Neesham
brad hogg,GB Hogg
sheldon jackson,SP Jackson
sumit narwal,S Narwal
aaron finch,AJ Finch
pragyan ojha,PP Ojha
abhimanyu mithun,A Mithun
mitchell mcclenaghan,MJ McClenaghan
hardik pandya,HH Pandya
nitish rana,N Rana
siddhesh lad,SD Lad
jagadeesha suchith,J Suchith
chris morris,CH Morris
rusty theron,J Theron
sagar trivedi,SK Trivedi
pardeep sahu,P Sahu
daren sammy,DJG Sammy
david wiese,D Wiese
sean abbott,SA Abbott
adam milne,AF Milne
sarfaraz khan,SN Khan
jalaj saxena,Jalaj S Saxena
praveen kumar,P Kumar
kevin pietersen,KP Pietersen
eoin morgan,EJG Morgan
ravi bopara,RS Bopara
laxmi shukla,LR Shukla
hanuma vihari,GH Vihari
siddarth kaul,S Kaul
pawan negi,P Negi
chris morris,CH Morris
sanju samson,SV Samson
carlos brathwaite,CR Brathwaite
karun nair,KK Nair
rishabh pant,RR Pant
sam billings,SW Billings
pratyush singh,P Simran Singh
mahipal lomror,MK Lomror
khaleel ahmed,KK Ahmed
pawan suyal,P Suyal
praveen kumar,P Kumar
dale steyn,DW Steyn
dwayne smith,DR Smith
dhawal kulkarni,DS Kulkarni
aaron finch,AJ Finch
eklavya dwivedi,ER Dwivedi
andrew tye,AJ Tye
ishan kishan,Ishan Kishan
jaydev shah,OA Shah
shadab jakati,SB Jakati
pravin tambe,PV Tambe
pradeep sangwan,PJ Sangwan
amit mishra,A Mishra
akshdeep nath,AD Nath
sarabjit ladda,S Ladda
umang sharma,MM Sharma
paras dogra,P Dogra
mohit sharma,MM Sharma
kyle abbott,KJ Abbott
kc cariappa,KC Cariappa
marcus stoinis,MP Stoinis
farhaan behardien,F Behardien
pardeep sahu,P Sahu
swapnil singh,Simarjeet Singh
jaydev unadkat,JD Unadkat
ankit singh,Arshdeep Singh
john hastings,JW Hastings
jason holder,JO Holder
rajagopal sathish,R Sathish
manan sharma,MM Sharma
jos buttler,JC Buttler
nathu singh,NB Singh
tim southee,TG Southee
krunal pandya,KH Pandya
jitesh sharma,JM Sharma
mitchell marsh,MR Marsh
murugan ashwin,M Ashwin
ishant sharma,I Sharma
kevin pietersen,KP Pietersen
irfan pathan,IK Pathan
rajat bhatia,R Bhatia
ashok dinda,AB Dinda
scott boland,SM Boland
peter handscomb,PSP Handscomb
adam zampa,A Zampa
ishwar pandey,IC Pandey
deepak chahar,DL Chahar
jaskaran singh,Arshdeep Singh
ankit sharma,Abhishek Sharma
shane watson,SR Watson
stuart binny,STR Binny
kane richardson,KW Richardson
samuel badree,S Badree
travis head,TM Head
praveen dubey,P Dubey
vikramjeet singh malik,VS Malik
iqbal abdulla,Iqbal Abdulla
sachin baby,Sachin Baby
yuvraj singh,Yudhvir Singh
ashish nehra,A Nehra
mustafizur rahman,Mujeeb Ur Rahman
ben cutting,BCJ Cutting
vijay shankar,V Shankar
abhimanyu mithun,A Mithun
tirumalsetti suman,TL Suman
kagiso rabada,K Rabada
pat cummins,PJ Cummins
angelo mathews,AD Mathews
corey anderson,CJ Anderson
murugan ashwin,M Ashwin
ankit bawne,AR Bawne
navdeep saini,NA Saini
shashank singh,Simarjeet Singh
jason roy,JJ Roy
basil thampi,Basil Thampi
manpreet gony,MS Gony
nathu singh,NB Singh
munaf patel,MM Patel
akshdeep nath,AD Nath
shubham agarwal,SS Agarwal
pratham singh,P Simran Singh
varun aaron,VR Aaron
eoin morgan,EJG Morgan
matt henry,MJ Henry
daren sammy,DJG Sammy
rahul tewatia,R Tewatia
rinku singh,RK Singh
chris woakes,CR Woakes
nathan coulter-nile,NM Coulter-Nile
rishi dhawan,R Dhawan
darren bravo,DM Bravo
rovman powell,R Powell
sanjay yadav,SA Yadav
ishank jaggi,IR Jaggi
karn sharma,KV Sharma
krishnappa gowtham,K Gowtham
mitchell johnson,MG Johnson
nicholas pooran,N Pooran
kulwant khejroliya,K Khejroliya
ben stokes,BA Stokes
daniel christian,DT Christian
manoj tiwary,MK Tiwary
lockie ferguson,LH Ferguson
jaydev unadkat,JD Unadkat
rahul chahar,RD Chahar
saurabh kumar,Sumit Kumar
rahul tripathi,RA Tripathi
tymal mills,TS Mills
aniket choudhary,A Choudhary
pawan negi,P Negi
praveen dubey,P Dubey
rashid khan,Rashid Khan
eklavya dwivedi,ER Dwivedi
chris jordan,CJ Jordan
mohammad nabi,Mohammad Nabi
ben laughlin,B Laughlin
