id,name,country,age,height,role,bat_style,bowl_style,t20_no,t20_runs,t20_avg,t20_sr,t20_50,t20_4s,t20_6s,ipl_no,ipl_runs,ipl_avg,ipl_sr,ipl_50,ipl_4s,ipl_6s,t20_wkts,t20_bowl_econ,t20_bowl_avg,t20_bowl_sr,ipl_wkts,ipl_bowl_econ,ipl_bowl_avg,ipl_bowl_sr,team,year,price
465,A Dananjaya,sri lanka,25.0,,bowler,left-handed-bat,right-arm-offbreak,8,65,8.13,90.28,0,7,0,1,4,0.0,80.0,0,0,0,30,8.26,32.17,23.37,0,11.75,0.0,0.0,Mumbai Indians,2018,5000000
4,A Dananjaya,sri lanka,20.0,,bowler,left-handed-bat,right-arm-offbreak,8,65,8.13,90.28,0,7,0,1,4,0.0,80.0,0,0,0,30,8.26,32.17,23.37,0,11.75,0.0,0.0,Chennai Super Kings,2013,1160000
921,JO Holder,west indies,32.0,,bowling-allrounder,right-handed-bat,right-arm-fast-medium,14,491,16.37,129.22,0,31,27,6,259,12.33,123.34,0,13,18,66,8.58,28.88,20.2,53,8.81,27.57,18.77,Rajasthan Royals,2023,57500000
780,JO Holder,west indies,31.0,,bowling-allrounder,right-handed-bat,right-arm-fast-medium,14,491,16.37,129.22,0,31,27,6,259,12.33,123.34,0,13,18,66,8.58,28.88,20.2,53,8.81,27.57,18.77,Lucknow Super Giants,2022,87500000
278,JO Holder,west indies,25.0,,bowling-allrounder,right-handed-bat,right-arm-fast-medium,14,491,16.37,129.22,0,31,27,6,259,12.33,123.34,0,13,18,66,8.58,28.88,20.2,53,8.81,27.57,18.77,Kolkata Knight Riders,2016,7000000
162,JO Holder,west indies,23.0,,bowling-allrounder,right-handed-bat,right-arm-fast-medium,14,491,16.37,129.22,0,31,27,6,259,12.33,123.34,0,13,18,66,8.58,28.88,20.2,53,8.81,27.57,18.77,Sunrisers Hyderabad,2014,7500000
5,JO Holder,west indies,22.0,,bowling-allrounder,right-handed-bat,right-arm-fast-medium,14,491,16.37,129.22,0,31,27,6,259,12.33,123.34,0,13,18,66,8.58,28.88,20.2,53,8.81,27.57,18.77,Chennai Super Kings,2013,1160000
6,J Botha,south africa,31.0,,bowling-allrounder,right-handed-bat,right-arm-offbreak,9,201,18.27,121.82,0,15,9,8,409,20.45,113.93,1,39,5,37,6.38,22.24,20.92,25,6.92,32.0,27.76,Delhi Capitals,2013,26100000
333,MS Gony,india,33.0,,bowler,right-handed-bat,right-arm-fast-medium,0,0,0.0,0.0,0,0,0,7,99,9.9,139.44,0,6,8,0,0.0,0.0,0.0,37,8.7,34.78,24.0,Gujarat Titans,2017,6000000
9,MS Gony,india,29.0,,bowler,right-handed-bat,right-arm-fast-medium,0,0,0.0,0.0,0,0,0,7,99,9.9,139.44,0,6,8,0,0.0,0.0,0.0,37,8.7,34.78,24.0,Punjab Kings,2013,29000000
10,LA Pomersbach,australia,29.0,5.84018,batsman,left-handed-bat,right-arm-offbreak,0,15,15.0,214.29,0,1,1,5,302,27.45,122.77,1,25,13,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Punjab Kings,2013,17400000
11,SMSM Senanayake,sri lanka,28.0,,bowler,right-handed-bat,right-arm-offbreak,6,56,9.33,84.85,0,3,1,3,10,10.0,58.83,0,0,0,25,6.78,21.96,19.44,9,6.53,23.22,21.33,Kolkata Knight Riders,2013,36250000
