season,player,team,runs,balls,strike_rate,fours,sixes,boundary_pct,dot_balls,dot_pct,runs_z,strike_rate_z,boundary_pct_z,dot_pct_z,impact_score,impact_score_pos,phase,name,year,adj_price,ROI
2024,T Stubbs,Delhi Capitals,223,74,301.35,16,18,45.95,1,1.35,0.79456721,0.820475324,0.718056523,0.134177943,1.20763721,1.526394208,death,T Stubbs,2024,5543983.75,27.53244376
2022,KD Karthik,Royal Challengers Bengaluru,242,110,220,19,19,34.55,28,25.45,0.882504532,0.540038812,0.532858369,0.488148534,0.940621129,1.259378127,death,KD Karthik,2022,68407814.79,1.840985757
2014,JP Duminy,Delhi Capitals,190,84,226.19,16,13,34.52,12,14.29,0.615051338,0.676888662,0.659772842,0.313528316,0.903005928,1.221762926,death,JP Duminy,2014,42614404.44,2.867018657
2022,SO Hetmyer,Rajasthan Royals,218,106,205.66,13,19,30.19,26,24.53,0.788998407,0.487664738,0.459987617,0.47522189,0.822938624,1.141695622,death,SO Hetmyer,2022,105721168.3,1.079912037
2020,EJG Morgan,Kolkata Knight Riders,170,77,220.78,11,13,31.17,13,16.88,0.589083641,0.582922414,0.522824352,0.364641534,0.773718811,1.09247581,death,EJG Morgan,2020,72942048.13,1.497731196
2017,MK Tiwary,Lucknow Super Giants,169,103,164.08,18,7,24.27,26,25.24,0.811119252,0.36877026,0.405576282,0.513562496,0.749528417,1.068285416,death,MK Tiwary,2017,7799001.048,13.69772114
2014,GJ Bailey,Punjab Kings,188,98,191.84,15,10,25.51,17,17.35,0.608148232,0.520842344,0.467660887,0.364979647,0.741246165,1.060003164,death,GJ Bailey,2014,62953097.47,1.683798266
2022,Q de Kock,Lucknow Super Giants,54,17,317.65,5,4,52.94,1,5.88,0.150039888,0.896686535,0.840219177,0.213176334,0.735170397,1.053927395,death,Q de Kock,2022,83955045.43,1.255347299
2025,MP Stoinis,Punjab Kings,100,34,294.12,5,10,44.12,3,8.82,0.322363971,0.754601715,0.64442996,0.237035759,0.733706719,1.052463717,death,MP Stoinis,2025,115445000,0.911658121
2023,AM Rahane,Chennai Super Kings,33,9,366.67,3,3,66.67,1,11.11,0.058489376,1,0.986837561,0.276318017,0.732315562,1.051072561,death,AM Rahane,2023,5915430.661,17.7683185
2022,RA Tripathi,Sunrisers Hyderabad,27,8,337.5,3,2,62.5,1,12.5,0.044845497,0.969184817,1,0.306191968,0.697992019,1.016749017,death,RA Tripathi,2022,105721168.3,0.961726997
2025,Naman Dhir,Mumbai Indians,173,84,205.95,19,10,34.52,22,26.19,0.640371673,0.457236814,0.497798841,0.513998954,0.684655816,1.003412814,death,Naman Dhir,2025,55098750,1.821117202
2018,KL Rahul,Punjab Kings,91,34,267.65,11,4,44.12,2,5.88,0.286797913,0.668339976,0.66562788,0.242427839,0.666325547,0.985082545,death,KL Rahul,2018,164158077.9,0.600081676
2025,R Shepherd,Royal Challengers Bengaluru,70,22,318.18,5,7,54.55,4,18.18,0.191675875,0.835747224,0.803738561,0.386280175,0.65782381,0.976580809,death,R Shepherd,2025,15742500,6.203467103
2018,KD Karthik,Kolkata Knight Riders,185,99,186.87,20,9,29.29,25,25.25,0.665090567,0.404395383,0.451978375,0.543346281,0.652525145,0.971282144,death,KD Karthik,2018,110433616.1,0.879516744
2018,F du Plessis,Chennai Super Kings,28,9,311.11,3,2,55.56,0,0,0.033261347,0.810343344,0.830439096,0.151080371,0.62048033,0.939237328,death,F du Plessis,2018,23877538.61,3.933560085
2022,TH David,Mumbai Indians,114,46,247.83,4,13,36.96,11,23.91,0.3838052,0.6416825,0.573137844,0.466510456,0.613222581,0.931979579,death,TH David,2022,102611722.2,0.908258393
