season,player,team,runs,strike_rate,fours,sixes,boundary_pct,dot_pct,impact_score_pos,phase,adj_price,ROI_z
2024,A Raghuvanshi,Kolkata Knight Riders,82,149.09,10,3,23.64,34.55,0.592987861,bat_pp,2217593.5,0.350607819
2014,YV Takawale,Royal Challengers Bengaluru,77,114.93,15,0,22.39,53.73,0.558674569,bat_pp,1937018.384,0.378313901
2014,AJ Finch,Sunrisers Hyderabad,118,108.26,15,2,15.6,43.12,0.615998695,bat_pp,77480735.35,0.008602989
2017,JJ Roy,Gujarat Titans,35,152.17,6,0,26.09,34.78,0.599263273,bat_pp,15598002.1,0.04876664
2014,Q de Kock,Delhi Capitals,98,115.29,11,4,17.65,52.94,0.552996884,bat_pp,67795643.43,0.00887516
2018,CA Lynn,Kolkata Knight Riders,246,138.98,32,10,23.73,44.07,0.903476551,bat_pp,143265231.6,0.006435858
2016,MP Stoinis,Punjab Kings,45,140.63,5,1,18.75,28.13,0.606487682,bat_pp,9000125.199,0.086950988
2020,MP Stoinis,Delhi Capitals,69,143.75,8,3,22.92,39.58,0.675628403,bat_pp,66689872.57,0.011477363
2014,KK Nair,Rajasthan Royals,154,137.5,19,4,20.54,43.75,0.858284583,bat_pp,14527637.88,0.07600062
2022,Q de Kock,Lucknow Super Giants,246,153.75,24,12,22.5,35.63,1.072666636,bat_pp,83955045.43,0.014964991
2014,CA Lynn,Kolkata Knight Riders,32,128,3,2,20,48,0.493943572,bat_pp,25181238.99,0.023979879
2017,BA Stokes,Lucknow Super Giants,33,117.86,3,1,14.29,39.29,0.352871181,bat_pp,226171030.4,0.000179584
2015,Yuvraj Singh,Delhi Capitals,32,118.52,6,0,22.22,51.85,0.41198587,bat_pp,279285339.6,6.75E-05
2018,KL Rahul,Punjab Kings,316,159.6,37,15,26.26,36.36,1.163103272,bat_pp,164158077.9,0.007462649
2022,SN Khan,Delhi Capitals,38,165.22,5,2,30.43,47.83,0.628849125,bat_pp,2487556.902,0.331357524
2022,SN Khan,Delhi Capitals,38,165.22,5,2,30.43,47.83,0.628849125,bat_pp,111940060.6,0.005528168
2025,Naman Dhir,Mumbai Indians,40,210.53,3,3,31.58,15.79,0.832404869,bat_pp,55098750,0.018037459
2018,CH Gayle,Punjab Kings,239,161.49,28,15,29.05,45.95,0.982816806,bat_pp,29846923.26,0.041528941
2025,AK Markram,Lucknow Super Giants,249,167.11,25,13,25.5,31.54,0.926181084,bat_pp,20990000,0.056287734
2023,PD Salt,Delhi Capitals,120,169.01,15,5,28.17,33.8,0.768377826,bat_pp,23661722.65,0.040928998
2025,PD Salt,Royal Challengers Bengaluru,282,197.2,35,15,34.97,30.77,1.135938459,bat_pp,120692500,0.010529509
2025,A Raghuvanshi,Kolkata Knight Riders,87,164.15,11,3,26.42,32.08,0.652954529,bat_pp,31485000,0.02546027
2021,VR Iyer,Kolkata Knight Riders,204,124.39,21,7,17.07,40.85,0.780405273,bat_pp,2652233.169,0.385991984
2014,DR Smith,Chennai Super Kings,290,133.64,26,18,20.28,41.01,1.19470756,bat_pp,87165827.27,0.016190202
2017,MK Tiwary,Lucknow Super Giants,33,106.45,3,1,12.9,38.71,0.312235761,bat_pp,7799001.048,0.050896987
2025,V Shankar,Chennai Super Kings,32,139.13,3,1,17.39,34.78,0.408723499,bat_pp,12594000,0.040903128
2016,KP Pietersen,Lucknow Super Giants,31,129.17,3,1,16.67,29.17,0.516507615,bat_pp,57273524,0.010010699
2025,JC Buttler,Gujarat Titans,108,136.71,10,5,18.99,41.77,0.497350682,bat_pp,165296250,0.002089171
2014,PA Patel,Royal Challengers Bengaluru,108,103.85,17,1,17.31,51.92,0.543747802,bat_pp,27118257.37,0.02455388
2023,AM Rahane,Chennai Super Kings,141,190.54,13,7,27.03,17.57,0.928659999,bat_pp,5915430.661,0.205064164
2025,D Padikkal,Royal Challengers Bengaluru,91,165.45,7,7,25.45,40,0.601227185,bat_pp,20990000,0.035880416
2014,RG Sharma,Mumbai Indians,37,92.5,3,2,12.5,55,0.249302335,bat_pp,36803349.29,0.007052219
2025,KK Nair,Delhi Capitals,104,173.33,12,6,30,40,0.679926385,bat_pp,5247500,0.168922244
2024,T Kohler-Cadmore,Rajasthan Royals,42,87.5,6,1,14.58,60.42,0.167481288,bat_pp,4435187,0.047900213
2014,KL Rahul,Sunrisers Hyderabad,64,114.29,6,1,12.5,35.71,0.508399398,bat_pp,19370183.84,0.032720709
2022,Ishan Kishan,Mumbai Indians,227,118.85,29,4,17.28,43.46,0.830160108,bat_pp,189676213.7,0.003892289
2013,RT Ponting,Mumbai Indians,42,89.36,3,1,8.51,42.55,0.337551731,bat_pp,49252953.85,0.007157051
2018,RA Tripathi,Rajasthan Royals,78,165.96,8,4,25.53,34.04,0.717226297,bat_pp,50739769.54,0.016756022
2016,RR Pant,Delhi Capitals,49,125.64,7,0,17.95,35.9,0.511368917,bat_pp,31091341.6,0.019803565
2018,SV Samson,Rajasthan Royals,134,131.37,13,3,15.69,35.29,0.642557562,bat_pp,119387693,0.005217575
2022,Anuj Rawat,Royal Challengers Bengaluru,83,113.7,7,4,15.07,46.58,0.442553181,bat_pp,42288467.33,0.011917906
2020,SA Yadav,Mumbai Indians,175,149.57,28,3,26.5,36.75,1.000068431,bat_pp,2778744.691,0.472537158
2018,AM Rahane,Rajasthan Royals,209,120.81,28,2,17.34,35.26,0.780954032,bat_pp,59693846.52,0.015368326
2025,MR Marsh,Lucknow Super Giants,297,165.92,25,20,25.14,36.31,0.968736844,bat_pp,35683000,0.033909607
2014,F du Plessis,Chennai Super Kings,90,169.81,13,3,30.19,33.96,0.9946985,bat_pp,92008373.23,0.012373804
2025,Abhishek Sharma,Sunrisers Hyderabad,277,202.19,33,17,36.5,36.5,1.11367211,bat_pp,3148500,0.464385206
2025,Abhishek Sharma,Sunrisers Hyderabad,277,202.19,33,17,36.5,36.5,1.11367211,bat_pp,39881000,0.034933133
2025,Ishan Kishan,Sunrisers Hyderabad,104,120.93,14,1,17.44,38.37,0.464474314,bat_pp,118068750,0.003308607
2018,PP Shaw,Delhi Capitals,167,181.52,21,7,30.43,32.61,0.985612701,bat_pp,17908153.96,0.070672064
2023,Tilak Varma,Mumbai Indians,56,280,6,4,50,15,1.212559251,bat_pp,2366172.265,0.67363519
2025,Rahmanullah Gurbaz,Kolkata Knight Riders,57,196.55,7,3,34.48,31.03,0.752313567,bat_pp,20990000,0.04536874
2025,DP Conway,Chennai Super Kings,58,116,10,0,20,36,0.414353533,bat_pp,65593750,0.006449891
2023,RR Rossouw,Delhi Capitals,38,122.58,5,1,19.35,45.16,0.379452849,bat_pp,54421962.09,0.007313902
2020,JR Philippe,Royal Challengers Bengaluru,55,112.24,7,1,16.33,42.86,0.416486579,bat_pp,2778744.691,0.195696583
2025,N Rana,Rajasthan Royals,88,176,11,5,32,44,0.649659887,bat_pp,44079000,0.017551082
2018,BA Stokes,Rajasthan Royals,44,112.82,3,2,12.82,43.59,0.341559997,bat_pp,186543270.4,0.000536549
2022,DP Conway,Chennai Super Kings,84,112,6,4,13.33,36,0.492718868,bat_pp,12437784.51,0.050342464
2025,KL Rahul,Delhi Capitals,189,131.25,22,6,19.44,39.58,0.638998411,bat_pp,146930000,0.003855744
2025,RD Rickelton,Mumbai Indians,268,161.45,33,13,27.71,39.16,0.913237192,bat_pp,10495000,0.112826743
2022,N Rana,Kolkata Knight Riders,94,113.25,12,4,19.28,55.42,0.452142572,bat_pp,99502276.06,0.004112848
2016,KK Nair,Delhi Capitals,143,116.26,22,1,18.7,47.15,0.597710454,bat_pp,65455456,0.010160049
2021,MM Ali,Chennai Super Kings,78,109.86,11,3,19.72,54.93,0.416436996,bat_pp,92828160.9,0.004036477
2025,Washington Sundar,Gujarat Titans,30,214.29,3,2,35.71,21.43,0.822002861,bat_pp,33584000,0.030386904
2014,KD Karthik,Delhi Capitals,92,121.05,11,2,17.11,44.74,0.601956155,bat_pp,242127298,0.001400116
2014,MA Agarwal,Delhi Capitals,71,114.52,8,1,14.52,45.16,0.49244439,bat_pp,30992294.14,0.019067942
2018,WP Saha,Sunrisers Hyderabad,73,130.36,12,0,21.43,37.5,0.561240855,bat_pp,74617308.15,0.008037809
2025,JP Inglis,Punjab Kings,141,154.95,10,11,23.08,46.15,0.599584555,bat_pp,27287000,0.027087804
