season,player,team,runs,balls,strike_rate,fours,sixes,boundary_pct,dot_balls,dot_pct,runs_z,strike_rate_z,boundary_pct_z,dot_pct_z,impact_score,impact_score_pos,phase,name,year,adj_price,ROI
2024,A Raghuvanshi,Kolkata Knight Riders,74,46,160.87,6,4,21.74,10,21.74,0.14743477606185595,0.3303267556770255,0.3524630303900254,0.31544933868448355,0.22444858589370076,0.304173848995694,middle,A Raghuvanshi,2024,2217593.5,13.716393423578035
2023,Vivrant Sharma,Sunrisers Hyderabad,40,21,190.48,4,2,28.57,4,19.05,0.07626047134869608,0.5198086089302529,0.526699255894174,0.23383999845347384,0.2755228112461728,0.3552480743481661,middle,Vivrant Sharma,2023,30760239.439799998,1.1548937226038574
2022,Lalit Yadav,Delhi Capitals,113,93,121.51,7,5,12.9,33,35.48,0.2220696123327697,0.23530798065992825,0.24121491361804426,0.5383038654407851,0.1888302936996461,0.26855555680163934,middle,Lalit Yadav,2022,8084559.9302,3.3218327171828594
2017,P Negi,Royal Challengers Bengaluru,61,56,108.93,5,2,12.5,20,35.71,0.10859466520871924,0.18563502091237927,0.2500619316601183,0.5771828657310529,0.07714205162650228,0.15686731472849555,middle,P Negi,2017,15598002.096,1.005688509099015
2014,Yuvraj Singh,Royal Challengers Bengaluru,240,191,125.65,17,14,16.23,77,40.31,0.4653294269639539,0.26515450859537704,0.3315716345010314,0.6847288314545574,0.3811784547590711,0.4609037178610643,middle,Yuvraj Singh,2014,271182573.718,0.16996066950096633
2014,AJ Finch,Sunrisers Hyderabad,98,78,125.64,7,3,12.82,23,29.49,0.1698705123862521,0.2651048008260039,0.26071309370891477,0.4266528158727654,0.1822399057240327,0.26196516882602594,middle,AJ Finch,2014,77480735.34799999,0.33810361717583787
2016,Yuvraj Singh,Sunrisers Hyderabad,182,143,127.27,16,10,18.18,64,44.76,0.3856502370927004,0.26084386037434565,0.34909801560001924,0.7557268259859111,0.30544758570928565,0.3851728488112789,middle,Yuvraj Singh,2016,114547047.99299999,0.33625733317441486
2013,MC Henriques,Royal Challengers Bengaluru,68,73,93.15,5,1,8.22,29,39.73,0.13801990449403542,0.14172620574502054,0.18882420546013065,0.6098610194301073,0.06872642252473916,0.14845168562673244,middle,MC Henriques,2013,36939715.38564,0.4018755533900019
2018,SW Billings,Chennai Super Kings,41,36,113.89,2,2,11.11,14,38.89,0.08194056338435819,0.17373801957796192,0.2029951773841295,0.6460829877157128,0.029056294514558434,0.1087815576165517,middle,SW Billings,2018,14923461.629999999,0.7289297906450389
2025,M Shahrukh Khan,Gujarat Titans,113,60,188.33,9,8,28.33,15,25.0,0.2143886636130349,0.4338282784338827,0.44396891012312406,0.4132873200359164,0.3077957324380343,0.3875209955400276,middle,M Shahrukh Khan,2025,3148500.0000000005,12.308114833731223
2018,CA Lynn,Kolkata Knight Riders,175,135,129.63,14,6,14.81,43,31.85,0.3288111857562108,0.24691680998072926,0.2709725989491558,0.5012714355260758,0.29106422428380346,0.37078948738579676,middle,CA Lynn,2018,143265231.648,0.258813309496347
2016,MP Stoinis,Punjab Kings,58,44,131.82,3,2,11.36,11,25.0,0.12082427760644071,0.27943904168428635,0.22888938974791279,0.37427080957860814,0.15141485062429938,0.23114011372629265,middle,MP Stoinis,2016,9000125.19945,2.5681877596593625
2025,LS Livingstone,Royal Challengers Bengaluru,71,61,116.39,2,4,9.84,20,32.79,0.13564003325252558,0.13123368515742817,0.12538024123991828,0.5667110117375327,0.05961597804972603,0.1393412411517193,middle,LS Livingstone,2025,91831250.00000001,0.1517361912766289
2020,MP Stoinis,Delhi Capitals,178,124,143.55,12,9,16.94,33,26.61,0.3791322807782212,0.3632269141494027,0.361850537287486,0.38088804594361236,0.40846639713617255,0.48819166023816585,middle,MP Stoinis,2020,66689872.5744,0.7320326781154568
2014,KK Nair,Rajasthan Royals,147,99,148.48,16,4,20.2,28,28.28,0.27182464488137453,0.3786373460742788,0.4140667685024106,0.3977921893613081,0.3343058355556037,0.414031098657597,middle,KK Nair,2014,14527637.87775,2.849954701112918
2022,Q de Kock,Lucknow Super Giants,177,120,147.5,16,6,18.33,30,25.0,0.3574066293731333,0.3211842524464487,0.32074016006541894,0.3394525418821964,0.37853810286908574,0.458263365971079,middle,Q de Kock,2022,83955045.429,0.5458437472452182
2017,BA Stokes,Lucknow Super Giants,247,168,147.02,17,12,17.26,46,27.38,0.5476260232358661,0.3575168341811774,0.3438712176681842,0.41843054607292474,0.5304440031620979,0.6101692662640912,middle,BA Stokes,2017,226171030.39200002,0.2697822374539059
2015,KD Karthik,Royal Challengers Bengaluru,92,80,115.0,10,2,15.0,30,37.5,0.16990506240562067,0.19335749841400462,0.28267627773913506,0.5967355010974069,0.13111945477704354,0.2108447178790368,middle,KD Karthik,2015,183281004.1335,0.11503904557695442
2015,Yuvraj Singh,Delhi Capitals,176,158,111.39,14,7,13.29,66,41.77,0.38314465965964445,0.17552672336235836,0.24762169697472927,0.68780271302328,0.2711375415267129,0.3508628046287061,middle,Yuvraj Singh,2015,279285339.63199997,0.1256287942256547
2018,KL Rahul,Punjab Kings,156,122,127.87,9,6,12.3,32,26.23,0.293807142285575,0.23873417522158885,0.2248581859415299,0.3856690316474165,0.27450379725375934,0.35422906035575263,middle,KL Rahul,2018,164158077.92999998,0.2157853361969811
2016,CH Morris,Delhi Capitals,70,43,162.79,5,5,23.26,14,32.56,0.14645259626640134,0.4060088801829379,0.43863757855144164,0.5202124838720905,0.22264976000387265,0.30237502310586595,middle,CH Morris,2016,114547047.99299999,0.2639745226121796
2025,Sameer Rizvi,Delhi Capitals,75,50,150.0,6,4,20.0,13,26.0,0.14313990281066932,0.2726043312516961,0.3004403210589216,0.43298227404125866,0.16978483102757685,0.24951009412957012,middle,Sameer Rizvi,2025,9970250.000000002,2.5025460156923858
2018,Yuvraj Singh,Punjab Kings,50,49,102.04,3,2,10.2,22,44.9,0.09852142608097514,0.11864471168261292,0.1862764061343528,0.7697076224685139,-0.0022756888972682576,0.07744957420472501,middle,Yuvraj Singh,2018,29846923.259999998,0.25948930658631986
2025,MP Stoinis,Punjab Kings,45,32,140.63,2,4,18.75,13,40.63,0.0868908811245912,0.23319216362589154,0.2789024175378828,0.7211194511394163,0.05102694726713372,0.130752210369127,middle,MP Stoinis,2025,115445000.00000001,0.11325930994770407
2018,CH Gayle,Punjab Kings,104,72,144.44,2,10,16.67,25,34.72,0.19800660226067693,0.31577182178917806,0.30514503249265557,0.5603068268306578,0.20210446947769448,0.28182973257968774,middle,CH Gayle,2018,29846923.259999998,0.9442505350539363
2018,AJ Finch,Punjab Kings,94,67,140.3,3,6,13.43,15,22.39,0.17958342148665812,0.29652403320801823,0.24561885793301086,0.30668091227125077,0.220411536284084,0.3001367993860773,middle,AJ Finch,2018,92525462.10599999,0.32438292395906265
2025,AK Markram,Lucknow Super Giants,146,100,146.0,6,9,15.0,25,25.0,0.2762625874677208,0.2557794998212566,0.21428870697476643,0.4132873200359164,0.25794419730832363,0.33766946041031687,middle,AK Markram,2025,20990000.000000004,1.6087158666522954
2023,PD Salt,Delhi Capitals,66,41,160.98,6,3,21.95,9,21.95,0.1266610411310694,0.37790855695616576,0.3929536067181313,0.2990587107595576,0.23348037918342004,0.3132056422854133,middle,PD Salt,2023,23661722.645999998,1.3236806422391254
2018,V Shankar,Delhi Capitals,100,84,119.05,7,3,11.9,25,29.76,0.1906373299510694,0.1977280169399873,0.21750927550206758,0.45828050596977715,0.16367402294930977,0.24339928605130304,middle,V Shankar,2018,47755077.216,0.5096825306142607
2022,KD Karthik,Royal Challengers Bengaluru,88,68,129.41,8,3,16.18,23,33.82,0.1692035900513777,0.2614111952468275,0.289252263221615,0.5068064229687187,0.1702753986657297,0.25000066176772295,middle,KD Karthik,2022,68407814.794,0.36545628963673654
2015,RS Bopara,Sunrisers Hyderabad,86,72,119.44,3,4,9.72,23,31.94,0.15467366260176182,0.2152878699456693,0.1744375722209699,0.4781561806506028,0.12758156937918366,0.20730683248117693,middle,RS Bopara,2015,17455333.726999998,1.1876417588081611
2025,PD Salt,Royal Challengers Bengaluru,66,33,200.0,5,5,30.3,8,24.24,0.1262651963048459,0.4829147241321899,0.47791264607228123,0.3983191549918563,0.2618052724996187,0.34153053560161195,middle,PD Salt,2025,120692500.00000001,0.2829757736409569
2025,A Raghuvanshi,Kolkata Knight Riders,161,126,127.78,14,3,13.49,29,23.02,0.3043870983107599,0.17914239265560464,0.18827091952135158,0.3742913111053387,0.26004831812849194,0.3397735812304852,middle,A Raghuvanshi,2025,31485000.000000004,1.0791601754184061
2021,VR Iyer,Kolkata Knight Riders,128,98,130.61,10,6,16.33,32,32.65,0.2895343614748125,0.2892428150173288,0.3312951720688455,0.4871581142320988,0.28722774525239797,0.36695300835439126,middle,VR Iyer,2021,2652233.1686,13.835623982792207
2014,DR Smith,Chennai Super Kings,189,122,154.92,10,15,20.49,41,33.61,0.35921390130576525,0.41064914955058746,0.4200928614143501,0.5249220565564052,0.3896000268813774,0.46932528998337064,middle,DR Smith,2014,87165827.2665,0.5384280797891814
