season,player,team,runs,balls,strike_rate,fours,sixes,boundary_pct,dot_balls,dot_pct,runs_z,strike_rate_z,boundary_pct_z,dot_pct_z,impact_score,impact_score_pos,phase,name,year,adj_price,ROI,ROI_z
2024,A Raghuvanshi,Kolkata Knight Riders,74,46,160.87,6,4,21.74,10,21.74,0.1474347760618559,0.3303267556770255,0.3524630303900254,0.3154493386844835,0.2244485858937007,0.304173848995694,middle,A Raghuvanshi,2024,2217593.5,13.716393423578037,0.3362716464349726
2023,Vivrant Sharma,Sunrisers Hyderabad,40,21,190.48,4,2,28.57,4,19.05,0.076260471348696,0.5198086089302529,0.526699255894174,0.2338399984534738,0.2755228112461728,0.3552480743481661,middle,Vivrant Sharma,2023,30760239.4398,1.1548937226038574,0.028313420413403918
2022,Lalit Yadav,Delhi Capitals,113,93,121.51,7,5,12.9,33,35.48,0.2220696123327697,0.2353079806599282,0.2412149136180442,0.5383038654407851,0.1888302936996461,0.2685555568016393,middle,Lalit Yadav,2022,8084559.9302,3.3218327171828594,0.0814381829459985
2017,P Negi,Royal Challengers Bengaluru,61,56,108.93,5,2,12.5,20,35.71,0.1085946652087192,0.1856350209123792,0.2500619316601183,0.5771828657310529,0.0771420516265022,0.1568673147284955,middle,P Negi,2017,15598002.096,1.005688509099015,0.024655499467821508
2014,Yuvraj Singh,Royal Challengers Bengaluru,240,191,125.65,17,14,16.23,77,40.31,0.4653294269639539,0.265154508595377,0.3315716345010314,0.6847288314545574,0.3811784547590711,0.4609037178610643,middle,Yuvraj Singh,2014,271182573.718,0.1699606695009663,0.004166762529867078
2014,AJ Finch,Sunrisers Hyderabad,98,78,125.64,7,3,12.82,23,29.49,0.1698705123862521,0.2651048008260039,0.2607130937089147,0.4266528158727654,0.1822399057240327,0.2619651688260259,middle,AJ Finch,2014,77480735.34799999,0.3381036171758378,0.008288961719186416
2016,Yuvraj Singh,Sunrisers Hyderabad,182,143,127.27,16,10,18.18,64,44.76,0.3856502370927004,0.2608438603743456,0.3490980156000192,0.7557268259859111,0.3054475857092856,0.3851728488112789,middle,Yuvraj Singh,2016,114547047.993,0.3362573331744148,0.00824369814721291
2013,MC Henriques,Royal Challengers Bengaluru,68,73,93.15,5,1,8.22,29,39.73,0.1380199044940354,0.1417262057450205,0.1888242054601306,0.6098610194301073,0.0687264225247391,0.1484516856267324,middle,MC Henriques,2013,36939715.38564,0.4018755533900019,0.009852397042514215
2018,SW Billings,Chennai Super Kings,41,36,113.89,2,2,11.11,14,38.89,0.0819405633843581,0.1737380195779619,0.2029951773841295,0.6460829877157128,0.0290562945145584,0.1087815576165517,middle,SW Billings,2018,14923461.63,0.7289297906450389,0.017870471724320512
2025,M Shahrukh Khan,Gujarat Titans,113,60,188.33,9,8,28.33,15,25.0,0.2143886636130349,0.4338282784338827,0.443968910123124,0.4132873200359164,0.3077957324380343,0.3875209955400276,middle,M Shahrukh Khan,2025,3148500.0000000005,12.308114833731224,0.30174623254352884
2018,CA Lynn,Kolkata Knight Riders,175,135,129.63,14,6,14.81,43,31.85,0.3288111857562108,0.2469168099807292,0.2709725989491558,0.5012714355260758,0.2910642242838034,0.3707894873857967,middle,CA Lynn,2018,143265231.648,0.258813309496347,0.0063450773841187925
2016,MP Stoinis,Punjab Kings,58,44,131.82,3,2,11.36,11,25.0,0.1208242776064407,0.2794390416842863,0.2288893897479127,0.3742708095786081,0.1514148506242993,0.2311401137262926,middle,MP Stoinis,2016,9000125.19945,2.5681877596593625,0.06296179320799315
2025,LS Livingstone,Royal Challengers Bengaluru,71,61,116.39,2,4,9.84,20,32.79,0.1356400332525255,0.1312336851574281,0.1253802412399182,0.5667110117375327,0.059615978049726,0.1393412411517193,middle,LS Livingstone,2025,91831250.0,0.1517361912766289,0.0037199704972485205
2020,MP Stoinis,Delhi Capitals,178,124,143.55,12,9,16.94,33,26.61,0.3791322807782212,0.3632269141494027,0.361850537287486,0.3808880459436123,0.4084663971361725,0.4881916602381658,middle,MP Stoinis,2020,66689872.5744,0.7320326781154568,0.017946542236893175
2014,KK Nair,Rajasthan Royals,147,99,148.48,16,4,20.2,28,28.28,0.2718246448813745,0.3786373460742788,0.4140667685024106,0.3977921893613081,0.3343058355556037,0.414031098657597,middle,KK Nair,2014,14527637.87775,2.849954701112918,0.0698696027456418
2022,Q de Kock,Lucknow Super Giants,177,120,147.5,16,6,18.33,30,25.0,0.3574066293731333,0.3211842524464487,0.3207401600654189,0.3394525418821964,0.3785381028690857,0.458263365971079,middle,Q de Kock,2022,83955045.429,0.5458437472452182,0.013381927006181158
2017,BA Stokes,Lucknow Super Giants,247,168,147.02,17,12,17.26,46,27.38,0.5476260232358661,0.3575168341811774,0.3438712176681842,0.4184305460729247,0.5304440031620979,0.6101692662640912,middle,BA Stokes,2017,226171030.392,0.2697822374539059,0.006613992057969897
2015,KD Karthik,Royal Challengers Bengaluru,92,80,115.0,10,2,15.0,30,37.5,0.1699050624056206,0.1933574984140046,0.282676277739135,0.5967355010974069,0.1311194547770435,0.2108447178790368,middle,KD Karthik,2015,183281004.1335,0.1150390455769544,0.002820301814467725
2015,Yuvraj Singh,Delhi Capitals,176,158,111.39,14,7,13.29,66,41.77,0.3831446596596444,0.1755267233623583,0.2476216969747292,0.68780271302328,0.2711375415267129,0.3508628046287061,middle,Yuvraj Singh,2015,279285339.632,0.1256287942256547,0.003079920513309483
2018,KL Rahul,Punjab Kings,156,122,127.87,9,6,12.3,32,26.23,0.293807142285575,0.2387341752215888,0.2248581859415299,0.3856690316474165,0.2745037972537593,0.3542290603557526,middle,KL Rahul,2018,164158077.92999998,0.2157853361969811,0.0052902018802369975
2016,CH Morris,Delhi Capitals,70,43,162.79,5,5,23.26,14,32.56,0.1464525962664013,0.4060088801829379,0.4386375785514416,0.5202124838720905,0.2226497600038726,0.3023750231058659,middle,CH Morris,2016,114547047.993,0.2639745226121796,0.006471609890038271
2025,Sameer Rizvi,Delhi Capitals,75,50,150.0,6,4,20.0,13,26.0,0.1431399028106693,0.2726043312516961,0.3004403210589216,0.4329822740412586,0.1697848310275768,0.2495100941295701,middle,Sameer Rizvi,2025,9970250.000000002,2.5025460156923858,0.061352517603467646
2018,Yuvraj Singh,Punjab Kings,50,49,102.04,3,2,10.2,22,44.9,0.0985214260809751,0.1186447116826129,0.1862764061343528,0.7697076224685139,-0.0022756888972682,0.077449574204725,middle,Yuvraj Singh,2018,29846923.26,0.2594893065863198,0.006361650155649218
2025,MP Stoinis,Punjab Kings,45,32,140.63,2,4,18.75,13,40.63,0.0868908811245912,0.2331921636258915,0.2789024175378828,0.7211194511394163,0.0510269472671337,0.130752210369127,middle,MP Stoinis,2025,115445000.0,0.113259309947704,0.0027766697450318737
2018,CH Gayle,Punjab Kings,104,72,144.44,2,10,16.67,25,34.72,0.1980066022606769,0.315771821789178,0.3051450324926555,0.5603068268306578,0.2021044694776944,0.2818297325796877,middle,CH Gayle,2018,29846923.26,0.9442505350539364,0.023149283653812112
2018,AJ Finch,Punjab Kings,94,67,140.3,3,6,13.43,15,22.39,0.1795834214866581,0.2965240332080182,0.2456188579330108,0.3066809122712507,0.220411536284084,0.3001367993860773,middle,AJ Finch,2018,92525462.106,0.3243829239590626,0.007952584658850494
2025,AK Markram,Lucknow Super Giants,146,100,146.0,6,9,15.0,25,25.0,0.2762625874677208,0.2557794998212566,0.2142887069747664,0.4132873200359164,0.2579441973083236,0.3376694604103168,middle,AK Markram,2025,20990000.000000004,1.6087158666522954,0.039439342137513274
2023,PD Salt,Delhi Capitals,66,41,160.98,6,3,21.95,9,21.95,0.1266610411310694,0.3779085569561657,0.3929536067181313,0.2990587107595576,0.23348037918342,0.3132056422854133,middle,PD Salt,2023,23661722.646,1.3236806422391254,0.03245140724490391
2018,V Shankar,Delhi Capitals,100,84,119.05,7,3,11.9,25,29.76,0.1906373299510694,0.1977280169399873,0.2175092755020675,0.4582805059697771,0.1636740229493097,0.243399286051303,middle,V Shankar,2018,47755077.216,0.5096825306142607,0.012495397181753612
2022,KD Karthik,Royal Challengers Bengaluru,88,68,129.41,8,3,16.18,23,33.82,0.1692035900513777,0.2614111952468275,0.289252263221615,0.5068064229687187,0.1702753986657297,0.2500006617677229,middle,KD Karthik,2022,68407814.794,0.3654562896367365,0.00895954092457812
2015,RS Bopara,Sunrisers Hyderabad,86,72,119.44,3,4,9.72,23,31.94,0.1546736626017618,0.2152878699456693,0.1744375722209699,0.4781561806506028,0.1275815693791836,0.2073068324811769,middle,RS Bopara,2015,17455333.726999998,1.1876417588081611,0.029116272570808767
2025,PD Salt,Royal Challengers Bengaluru,66,33,200.0,5,5,30.3,8,24.24,0.1262651963048459,0.4829147241321899,0.4779126460722812,0.3983191549918563,0.2618052724996187,0.3415305356016119,middle,PD Salt,2025,120692500.0,0.2829757736409569,0.006937445315609229
2025,A Raghuvanshi,Kolkata Knight Riders,161,126,127.78,14,3,13.49,29,23.02,0.3043870983107599,0.1791423926556046,0.1882709195213515,0.3742913111053387,0.2600483181284919,0.3397735812304852,middle,A Raghuvanshi,2025,31485000.000000004,1.079160175418406,0.0264567337599987
2021,VR Iyer,Kolkata Knight Riders,128,98,130.61,10,6,16.33,32,32.65,0.2895343614748125,0.2892428150173288,0.3312951720688455,0.4871581142320988,0.2872277452523979,0.3669530083543912,middle,VR Iyer,2021,2652233.1686,13.835623982792209,0.33919470756439396
2014,DR Smith,Chennai Super Kings,189,122,154.92,10,15,20.49,41,33.61,0.3592139013057652,0.4106491495505874,0.4200928614143501,0.5249220565564052,0.3896000268813774,0.4693252899833706,middle,DR Smith,2014,87165827.2665,0.5384280797891814,0.013200124208036772
2017,MK Tiwary,Lucknow Super Giants,122,101,120.79,10,3,12.87,29,28.71,0.2525780675724609,0.2391534852171297,0.2573538299422578,0.4437775550939704,0.2365237545927651,0.3162490176947584,middle,MK Tiwary,2017,7799001.048,4.054993912019774,0.09941239194369642
2025,V Shankar,Chennai Super Kings,63,52,121.15,4,1,9.62,13,25.0,0.120640294136238,0.1512552345596511,0.1215895702202154,0.4132873200359164,0.0835492557137456,0.1632745188157389,middle,V Shankar,2025,12594000.000000002,1.296446870063037,0.03178374300362121
2025,SM Curran,Chennai Super Kings,78,44,177.27,8,3,25.0,9,20.45,0.1487648049792771,0.3873076195287174,0.3865919351430767,0.323675279311609,0.2477874610083304,0.3275127241103237,middle,SM Curran,2025,25188000.000000004,1.3002728446495302,0.03187754074867618
2016,KP Pietersen,Lucknow Super Giants,42,37,113.51,1,2,8.11,12,32.43,0.0866531860598265,0.2046087626106567,0.171605220536865,0.5177029048167793,0.0614856407750754,0.1412109038770686,middle,KP Pietersen,2016,57273523.99649999,0.2465552912122154,0.006044559320576717
2025,JC Buttler,Gujarat Titans,333,205,162.44,33,13,22.44,49,23.9,0.626881489310941,0.3249295570003629,0.3424823087319893,0.3916228706300398,0.5891559461692516,0.6688812092712448,middle,JC Buttler,2025,165296250.00000003,0.4046560096016968,0.009920562817530537
2014,PA Patel,Royal Challengers Bengaluru,48,42,114.29,5,0,11.9,10,23.81,0.0658356833095965,0.2086864825874785,0.2415958334365548,0.2911748335710483,0.105358691397022,0.1850839544990153,middle,PA Patel,2014,27118257.3718,0.6825068143629401,0.016732364192353785
2023,AM Rahane,Chennai Super Kings,150,104,144.23,8,6,13.46,22,21.15,0.2894936511971986,0.2973381884624044,0.2214278421403968,0.2810673418475344,0.3088684775550526,0.3885937406570459,middle,AM Rahane,2023,5915430.661499999,6.569153843458435,0.1610496367672833
2022,JM Sharma,Punjab Kings,157,104,150.96,14,8,21.15,39,37.5,0.3151138115480196,0.332616799594635,0.3620405642977572,0.5766320785694445,0.3089577862624688,0.3886830493644621,middle,JM Sharma,2022,2487556.9016,15.625091796471494,0.38306537162058385
2025,D Padikkal,Royal Challengers Bengaluru,141,97,145.36,12,7,19.59,29,29.9,0.2668877505200411,0.2530875267923863,0.2933758887040208,0.5097925946620935,0.2461531172621343,0.3258783803641275,middle,D Padikkal,2025,20990000.000000004,1.552541116551346,0.038062159730945073
2014,RG Sharma,Mumbai Indians,231,194,119.07,18,6,12.37,63,32.47,0.4466031577301559,0.2324467963478442,0.251362259880043,0.4977310530662718,0.3777428064512322,0.4574680695532255,middle,RG Sharma,2014,36803349.2903,1.2430066240568958,0.030473599808145027
2018,DA Miller,Punjab Kings,46,42,109.52,1,1,4.76,10,23.81,0.0911521537713676,0.1534209094089597,0.0863312241576654,0.3358900605822287,0.0690362285548693,0.1487614916568626,middle,DA Miller,2018,44770384.88999999,0.3322765529542953,0.008146105181090029
2025,KK Nair,Delhi Capitals,83,45,184.44,10,4,31.11,11,24.44,0.1581396419269568,0.4174661298677802,0.4918692075539144,0.4022581457929248,0.2696737648540974,0.3493990279560907,middle,KK Nair,2025,5247500.000000001,6.658390242136076,0.16323735986464472
2014,KL Rahul,Sunrisers Hyderabad,91,98,92.86,6,1,7.14,33,33.67,0.1553056363155203,0.1021627328208177,0.1426847911578231,0.5263531620032544,0.0781596547295753,0.1578849178315685,middle,KL Rahul,2014,19370183.837,0.8150925110477494,0.01998284040290698
2022,Ishan Kishan,Mumbai Indians,126,101,124.75,7,5,11.88,25,24.75,0.2495599439190935,0.246013602844935,0.226276469534007,0.3347089511484514,0.2517655396658664,0.3314908027678597,middle,Ishan Kishan,2022,189676213.747,0.1747666701160638,0.00428458663199791
2022,M Shahrukh Khan,Punjab Kings,68,78,87.18,1,5,7.69,40,51.28,0.1269107722262641,0.1218746443601496,0.1649116845221285,0.8380987998134669,0.0034535880307884,0.0831788511327817,middle,M Shahrukh Khan,2022,2487556.9016,3.343796922968114,0.08197665828816446
2016,SW Billings,Delhi Capitals,78,54,144.44,4,3,12.96,10,18.52,0.1635381420397084,0.3310151269879022,0.2570908268979671,0.2491779458984804,0.2317176279280347,0.311442891030028,middle,SW Billings,2016,4909159.1997,6.344118786146931,0.155532668356502
2018,KH Pandya,Mumbai Indians,120,91,131.87,13,4,18.68,35,38.46,0.2274836914991071,0.2573310724014535,0.3420733074509536,0.6372379639314025,0.2001533436236319,0.2798786067256252,middle,KH Pandya,2018,131326462.344,0.2131166877795762,0.005224777189550141
2018,RA Tripathi,Rajasthan Royals,107,87,122.99,8,2,11.49,26,29.89,0.2035335564928826,0.2160459606621539,0.2099766423016187,0.4609545829278245,0.1774450452677111,0.2571703083697043,middle,RA Tripathi,2018,50739769.542,0.5068416957566804,0.012425751161454552
2014,SA Yadav,Kolkata Knight Riders,62,46,134.78,4,2,13.04,13,28.26,0.09496543545106,0.3105377020330631,0.2652846124696964,0.3973151542123584,0.1427275506222345,0.2224528137242278,middle,SA Yadav,2014,13559128.6859,1.6406128953961052,0.04022133096218688
2016,RR Pant,Delhi Capitals,118,90,131.11,10,4,15.56,30,33.33,0.2489658709062438,0.2765373760293286,0.3029181622668053,0.5350769136612414,0.2357021592549064,0.3154274223568997,middle,RR Pant,2016,31091341.5981,1.0145185319895478,0.024871976660022325
2014,SPD Smith,Rajasthan Royals,71,68,104.41,3,2,7.35,23,33.82,0.113691704684858,0.1595752064468061,0.1470485136112965,0.5299309256203772,0.0622494432801121,0.1419747063821054,middle,SPD Smith,2014,77480735.34799999,0.1832387183013102,0.004492287702093496
2018,SV Samson,Rajasthan Royals,239,191,125.13,14,8,11.52,51,26.7,0.4467195427099314,0.2259953006533815,0.2105278105845784,0.3953368483418951,0.3882124168124963,0.4679376799144896,middle,SV Samson,2018,119387693.04,0.3919480040188987,0.00960901284748618
2022,SO Hetmyer,Rajasthan Royals,96,98,97.96,8,2,10.2,42,42.86,0.1861207171814231,0.1574939675559437,0.2016719733955927,0.6783346639009366,0.1008122259108528,0.1805374890128461,middle,SO Hetmyer,2022,105721168.318,0.1707675878777703,0.004186544972869922
