season,player,team,runs,balls,strike_rate,fours,sixes,boundary_pct,dot_balls,dot_pct,runs_z,strike_rate_z,boundary_pct_z,dot_pct_z,impact_score,impact_score_pos,phase,name,year,adj_price,ROI,ROI_z
2024,A Raghuvanshi,Kolkata Knight Riders,82,55,149.09,10,3,23.64,19,34.55,0.1534971288865683,0.3942235604761862,0.4193407315217728,0.3802376544038949,0.394541516210977,0.5929878611166342,powerplay,A Raghuvanshi,2024,2217593.5,26.74015148027058,0.3506078193007123
2014,YV Takawale,Royal Challengers Bengaluru,77,67,114.93,15,0,22.39,36,53.73,0.1410234034981445,0.3764649443444546,0.5663540503093302,0.6522743115856658,0.3602282241342417,0.5586745690398989,powerplay,YV Takawale,2014,1937018.3837,28.841985896527497,0.37831390084657296
2014,AJ Finch,Sunrisers Hyderabad,118,109,108.26,15,2,15.6,47,43.12,0.2670122143452471,0.3346550635033646,0.3641294751832161,0.4241440578231479,0.4175523497133829,0.61599869461904,powerplay,AJ Finch,2014,77480735.34799999,0.7950346519716411,0.008602989138170185
2017,JJ Roy,Gujarat Titans,35,23,152.17,6,0,26.09,8,34.78,0.0267793841652043,0.4888797863389034,0.5527566500028015,0.3792898831749899,0.4008169280503788,0.5992632729560359,powerplay,JJ Roy,2017,15598002.096,3.841923274966816,0.048766640469084896
2014,Q de Kock,Delhi Capitals,98,85,115.29,11,4,17.65,45,52.94,0.2055542578344654,0.3787215496072421,0.4251840229017041,0.6352881758201249,0.3545505386309228,0.5529968835365799,powerplay,Q de Kock,2014,67795643.4295,0.8156820343649895,0.008875159988487423
2018,CA Lynn,Kolkata Knight Riders,246,177,138.98,32,10,23.73,78,44.07,0.5559175960760235,0.414084114375557,0.4862335681604103,0.5518367796398401,0.7050302058288299,0.9034765507344872,powerplay,CA Lynn,2018,143265231.648,0.630632108252414,0.006435858251264457
2016,MP Stoinis,Punjab Kings,45,32,140.63,5,1,18.75,9,28.13,0.0669609898572852,0.4646393274854862,0.4138113665593033,0.2135407777235259,0.4080413372631999,0.6064876821688571,powerplay,MP Stoinis,2016,9000125.19945,6.738658282286115,0.08695098825061234
2020,MP Stoinis,Delhi Capitals,69,48,143.75,8,3,22.92,19,39.58,0.1067275396351239,0.5219439479703742,0.5579715673158085,0.4008638445282048,0.4771820576269387,0.6756284025325958,powerplay,MP Stoinis,2020,66689872.5744,1.0130899587172804,0.011477363096210783
2014,KK Nair,Rajasthan Royals,154,112,137.5,19,4,20.54,49,43.75,0.3776365360646543,0.5179415576253241,0.5112560438316702,0.4376899635602249,0.6598382383205698,0.8582845832262269,powerplay,KK Nair,2014,14527637.87775,5.9079431250192735,0.07600061951052589
2022,Q de Kock,Lucknow Super Giants,246,160,153.75,24,12,22.5,57,35.63,0.6155123813593969,0.5171443292097064,0.4789330847046025,0.3076055560991589,0.8742202909796942,1.0726666358853514,powerplay,Q de Kock,2022,83955045.429,1.2776678642768355,0.014964991317524498
