season,player,team,runs,balls,strike_rate,fours,sixes,boundary_pct,dot_balls,dot_pct,runs_z,strike_rate_z,boundary_pct_z,dot_pct_z,impact_score,impact_score_pos,phase,name,year,adj_price,ROI
2015,JA Morkel,Delhi Daredevils,35,18,194.44,4,1,27.78,3,16.67,0.07772547667217186,0.4679730392044247,0.44239568767181386,0.3690983544555289,0.28124626545928244,0.6000032637765909,death,,,,
2013,MK Tiwary,Kolkata Knight Riders,37,29,127.59,3,0,10.34,8,27.59,0.08818592912276989,0.245861082911619,0.18591017421551664,0.5221624362521015,0.04038736251783981,0.35914436083514817,death,,,,
2017,S Dhawan,Sunrisers Hyderabad,26,14,185.71,2,1,21.43,2,14.29,0.04627429496014965,0.44429533204708643,0.36391246427251006,0.3297550873230459,0.23643880634419756,0.555195804661506,death,,,,
2018,Abhishek Sharma,Delhi Daredevils,57,25,228.0,2,5,28.0,1,4.0,0.14996865497990472,0.5387855926804045,0.43339389302457093,0.213221505649448,0.43409728597171815,0.7528542842890265,death,Abhishek Sharma,2018.0,2984692.326,14.544121757215862
2023,K Gowtham,Lucknow Super Giants,36,21,171.43,1,3,19.05,6,28.57,0.07083283364525647,0.36378719961905454,0.28803613953059426,0.556333565382696,0.10243728243183234,0.42119428074914067,death,,,,
2019,CH Gayle,Kings XI Punjab,31,14,221.43,3,2,35.71,2,14.29,0.09331746329272848,0.5687684067422525,0.5956076247425997,0.3180443582745178,0.41050271811828176,0.7292597164355901,death,,,,
2017,AJ Finch,Gujarat Lions,58,27,214.81,7,3,37.04,8,29.63,0.2174284111423974,0.5459032657052417,0.5929167607839335,0.5872533207600381,0.3898680616977036,0.7086250600150119,death,,,,
2021,Harpreet Brar,Punjab Kings,54,46,117.39,3,2,10.87,14,30.43,0.18374100669405735,0.2385084249475092,0.22616226270783676,0.5385319469884557,0.11868291784596921,0.4374399161632776,death,,,,
2021,DA Miller,Rajasthan Royals,31,22,140.91,3,1,18.18,7,31.82,0.06614280606314706,0.319970453625405,0.33164440437905957,0.558939715636801,0.08881690672221759,0.40757390503952595,death,,,,
2023,AR Patel,Delhi Capitals,130,71,183.1,7,9,22.54,16,22.54,0.4575944989151326,0.40181528494312385,0.3392502714234168,0.45962716456827685,0.4849074572033823,0.8036644555206907,death,,,,
2023,SV Samson,Rajasthan Royals,25,14,178.57,3,1,28.57,3,21.43,0.02557348983707947,0.3870537402543463,0.42773772566803586,0.4418254887964684,0.16557678417866006,0.4843337824959684,death,,,,
2020,KD Karthik,Kolkata Knight Riders,85,43,197.67,11,3,32.56,9,20.93,0.2634701840856895,0.48981019531096776,0.5491549985323518,0.4311328182067754,0.4479746172010309,0.7667316155183392,death,,,,
2020,N Pooran,Kings XI Punjab,81,45,180.0,4,6,22.22,14,31.11,0.2481471978915407,0.41861621446036007,0.3532852957098434,0.598263996736065,0.2745058555619396,0.5932628538792479,death,,,,
2023,Washington Sundar,Sunrisers Hyderabad,42,27,155.56,6,0,22.22,4,14.81,0.09551974844971667,0.3120729139212841,0.33455441978854483,0.3356569359952322,0.19855580725888597,0.5173128055761943,death,,,,
2018,HV Patel,Delhi Daredevils,30,11,272.73,0,4,36.36,1,9.09,0.04131012657971732,0.6849386213606198,0.5538328588250979,0.2922960989210507,0.42474883002319286,0.7435058283405012,death,HV Patel,2018.0,2984692.326,14.230908369454255
2016,Bipul Sharma,Sunrisers Hyderabad,50,24,208.33,1,5,25.0,6,25.0,0.17711924766821033,0.5549308653872356,0.41567881073562574,0.5277030844929617,0.33278324025168915,0.6515402385689975,death,,,,
2019,HH Pandya,Mumbai Indians,265,117,226.5,19,21,34.19,26,22.22,0.7851650698521633,0.5876803948771061,0.5688096231337473,0.457289751769483,0.9096992395526147,1.228456237869923,death,,,,
2014,AJ Finch,Sunrisers Hyderabad,55,37,148.65,4,3,18.92,10,27.03,0.14909172334948018,0.3246373808830853,0.3271483685056998,0.5277407184382875,0.16864029229752167,0.48739729061483006,death,AJ Finch,2014.0,77480735.34799999,0.2176544808720311
2016,Yuvraj Singh,Sunrisers Hyderabad,46,26,176.92,5,3,30.77,9,34.62,0.15588361535462175,0.40214424157205514,0.5230532399543221,0.7307632314058532,0.19038969249368032,0.5091466908109887,death,Yuvraj Singh,2016.0,114547047.99299999,0.16621091143729438
2013,BJ Rohrer,Delhi Daredevils,73,30,243.33,6,5,36.67,3,10.0,0.22782371856536254,0.676383221101946,0.6045638429531915,0.23275817462519643,0.608716468439142,0.9274734667564504,death,,,,
2014,M Manhas,Chennai Super Kings,25,13,192.31,2,1,23.08,3,23.08,0.045545142363032025,0.522977475733385,0.4158482281540126,0.46132478527185294,0.23814940609458068,0.556906404411889,death,M Manhas,2014.0,5811055.151099999,4.09821280132749
