season,player,team,runs,balls,strike_rate,fours,sixes,boundary_pct,dot_balls,dot_pct,runs_z,strike_rate_z,boundary_pct_z,dot_pct_z,impact_score,impact_score_pos,phase,name,year,adj_price,ROI
2018,DA Miller,Kings XI Punjab,46,42,109.52,1,1,4.76,10,23.81,0.09115215377136762,0.1534209094089598,0.08633122415766552,0.33589006058222887,0.06903622855486935,0.1487614916568626,middle,DA Miller,2018.0,44770384.88999999,0.15420065903942995
2021,S Dube,Rajasthan Royals,170,130,130.77,16,7,17.69,44,33.85,0.3918005052297829,0.28994034131023444,0.35701645531863035,0.5129273068860014,0.36924033626342245,0.4489655993654157,middle,,,,
2024,A Raghuvanshi,Kolkata Knight Riders,74,46,160.87,6,4,21.74,10,21.74,0.14743477606185595,0.3303267556770256,0.35246303039002536,0.31544933868448366,0.22444858589370076,0.304173848995694,middle,A Raghuvanshi,2024.0,2217593.5,10.121268207798263
2013,MK Tiwary,Kolkata Knight Riders,95,98,96.94,8,1,9.18,38,38.78,0.1966036458998003,0.16298149350273067,0.21116002709025525,0.5897331917249938,0.13046273184371174,0.210187994945705,middle,,,,
2018,CH Gayle,Kings XI Punjab,104,72,144.44,2,10,16.67,25,34.72,0.19800660226067693,0.3157718217891782,0.30514503249265557,0.5603068268306579,0.2021044694776945,0.28182973257968774,middle,CH Gayle,2018.0,29846923.259999998,0.6771366941816385
2023,Vivrant Sharma,Sunrisers Hyderabad,40,21,190.48,4,2,28.57,4,19.05,0.07626047134869608,0.519808608930253,0.5266992558941739,0.23383999845347386,0.2755228112461728,0.355248074348166,middle,Vivrant Sharma,2023.0,30760239.439799998,0.8957108795768342
2014,V Sehwag,Kings XI Punjab,134,86,155.81,12,6,20.93,22,25.58,0.2447755893214441,0.415073141024798,0.42923589893591346,0.3333924442530975,0.3395111047011579,0.41923636780315116,middle,V Sehwag,2014.0,61984588.2784,0.5477347097576328
2017,S Dhawan,Sunrisers Hyderabad,155,130,119.23,13,1,10.77,28,21.54,0.3304707278675999,0.2321139570286466,0.21596738023281695,0.3071324011985588,0.31577776520952555,0.3955030283115188,middle,,,,
2022,Lalit Yadav,Delhi Capitals,113,93,121.51,7,5,12.9,33,35.48,0.22206961233276967,0.2353079806599283,0.24121491361804426,0.5383038654407852,0.18883029369964607,0.26855555680163934,middle,Lalit Yadav,2022.0,8084559.9302,2.3356904436352504
2019,CH Gayle,Kings XI Punjab,156,101,154.46,10,11,20.79,29,28.71,0.3019511772917499,0.39195782687272146,0.405640692369419,0.43553540765869225,0.35316934683736173,0.43289460993935497,middle,,,,
2023,DA Warner,Delhi Capitals,172,142,121.13,15,3,12.68,39,27.46,0.33214028716689914,0.18622323250981412,0.205669291331135,0.42297426414111683,0.2781182049244672,0.35784346802646044,middle,,,,
2017,AJ Finch,Gujarat Lions,155,95,163.16,11,10,22.11,25,26.32,0.3304707278675999,0.43034887582356135,0.4394542086637974,0.3982291704621665,0.40172625268147455,0.4814515157834678,middle,,,,
2019,KM Jadhav,Chennai Super Kings,96,92,104.35,11,1,13.04,37,40.22,0.13573952006693343,0.13870669186509194,0.24646640508366785,0.6625294890425426,0.06699100682129938,0.14671626992329262,middle,,,,
2021,RG Sharma,Mumbai Indians,94,69,136.23,6,4,14.49,18,26.09,0.2067474831969793,0.31374342605563743,0.29649578884854844,0.34628652772409846,0.24956286659916466,0.3292881297011579,middle,,,,
2021,PK Garg,Sunrisers Hyderabad,69,65,106.15,2,3,7.69,20,30.77,0.14587477858092548,0.18260848298938753,0.16788937259962428,0.4467863790743183,0.11570296646661785,0.1954282295686111,middle,,,,
2021,DA Miller,Rajasthan Royals,74,63,117.46,7,2,14.29,21,33.33,0.15804931950413625,0.23191487281915102,0.29271324719416825,0.5017606567359769,0.15420443554069257,0.2339296986426858,middle,,,,
2023,AR Patel,Delhi Capitals,147,119,123.53,13,6,15.97,43,36.13,0.283678200837694,0.19776764351787549,0.2721380505137907,0.6179557247251674,0.21710931888324253,0.29683458198523577,middle,,,,
2023,SV Samson,Rajasthan Royals,238,153,155.56,10,19,18.95,46,30.07,0.4600801950760007,0.3518374287629607,0.33234379591327806,0.48167110521659223,0.4437499228290259,0.5234751859310192,middle,,,,
