season,player,team,runs,balls,strike_rate,fours,sixes,boundary_pct,dot_balls,dot_pct,runs_z,strike_rate_z,boundary_pct_z,dot_pct_z,impact_score,impact_score_pos,phase,name,year,adj_price,ROI
2018,DA Miller,Kings XI Punjab,14,10,140.0,1,1,20.0,4,40.0,0.04063152709661914,0.5206861344027173,0.3725046906708953,0.4624334156008443,0.32174537500030354,0.6023858692092672,powerplay,DA Miller,2018.0,44770384.88999999,0.7186567097665699
2021,S Dube,Rajasthan Royals,44,49,89.8,2,2,8.16,24,48.98,0.12661122901640953,0.4088815921536263,0.21349107631862307,0.47942667666861183,0.25797276063273766,0.5386132548417013,powerplay,,,,
2015,JA Morkel,Delhi Daredevils,20,15,133.33,3,0,20.0,5,33.33,0.06049623432957512,0.5366840052379203,0.3962674844514467,0.3764166889451783,0.3821343514022178,0.6627748456111815,powerplay,,,,
2024,A Raghuvanshi,Kolkata Knight Riders,82,55,149.09,10,3,23.64,19,34.55,0.1791463873891634,0.5137362940552218,0.3762725843083177,0.4042530102595026,0.4482320167998338,0.7288725110087975,powerplay,A Raghuvanshi,2024.0,2217593.5,20.212541964964895
2013,MK Tiwary,Kolkata Knight Riders,14,13,107.69,1,0,7.69,5,38.46,0.0640512186067966,0.4858320431129059,0.19627589449994454,0.3637670363977224,0.27335103804754857,0.5539915322565123,powerplay,,,,
2018,CH Gayle,Kings XI Punjab,239,148,161.49,28,15,29.05,68,45.95,0.5368035634840028,0.5987849308170713,0.5277715300390466,0.5108524925913595,0.8130767569359011,1.0937172511448647,powerplay,CH Gayle,2018.0,29846923.259999998,2.7241560205489037
2023,Vivrant Sharma,Sunrisers Hyderabad,24,20,120.0,4,0,20.0,6,30.0,0.07539562143669232,0.4603693300793444,0.36596469718451863,0.36687770170378686,0.3451219654109234,0.6257624596198871,powerplay,Vivrant Sharma,2023.0,30760239.439799998,1.1219742488882505
2014,V Sehwag,Kings XI Punjab,221,166,133.13,29,8,22.29,73,43.98,0.5817686803597448,0.583434464236785,0.5048194130371492,0.4128430306836708,0.8604480030678043,1.141088497276768,powerplay,V Sehwag,2014.0,61984588.2784,1.3881644243616729
2017,S Dhawan,Sunrisers Hyderabad,266,197,135.03,33,7,20.3,72,36.55,0.6406441780063084,0.537626584493447,0.39462414925807837,0.40194184477119654,0.8383269483865466,1.1189674425955103,powerplay,,,,
2013,MA Agarwal,Royal Challengers Bangalore,39,44,88.64,5,1,13.64,26,59.09,0.1267985853970312,0.4082112608157081,0.31210602623697353,0.5588922043874522,0.27832454921588146,0.5589650434248452,powerplay,,,,
2022,Lalit Yadav,Delhi Capitals,27,37,72.97,3,0,8.11,19,51.35,0.07472742870144065,0.3158224507391749,0.15819912948406836,0.4900514625126105,0.1418673378447876,0.4225078320537513,powerplay,Lalit Yadav,2022.0,8084559.9302,1.7547935703320097
2019,CH Gayle,Kings XI Punjab,255,167,152.69,23,20,25.75,83,49.7,0.5617955771595813,0.5554303110325839,0.42839327983896014,0.5280123465323951,0.7615248892117705,1.0421653834207343,powerplay,,,,
2022,DJ Mitchell,Rajasthan Royals,4,8,50.0,0,0,0.0,5,62.5,0.01827246796733849,0.23581117185712183,0.009906542420965473,0.581624649633438,-0.03750589049816522,0.24313460371079848,powerplay,DJ Mitchell,2022.0,9328338.381000001,-0.40206400075020193
2023,DA Warner,Delhi Capitals,290,180,161.11,47,7,30.0,75,41.67,0.6105144924810899,0.5990206852902825,0.5287993355018002,0.45690269465103683,0.8888108292105122,1.1694513234194759,powerplay,,,,
2017,AJ Finch,Gujarat Lions,85,55,154.55,7,6,23.64,24,43.64,0.20912976167434566,0.60897677151689,0.4566035093123007,0.4595431207516898,0.5394008380629499,0.8200413322719136,powerplay,,,,
2019,KM Jadhav,Chennai Super Kings,47,48,97.92,8,1,18.75,32,66.67,0.11348351272763284,0.3854741846907427,0.3306110941128335,0.6660921606919578,0.23247124667066535,0.5131117408796291,powerplay,,,,
2015,Q de Kock,Delhi Daredevils,78,47,165.96,14,1,31.91,17,36.17,0.19354983417769378,0.6529356533277844,0.6176130353561783,0.3979043139776125,0.6398622657230437,0.9205027599320075,powerplay,,,,
2021,RG Sharma,Mumbai Indians,237,180,131.67,24,9,18.33,68,37.78,0.5711878546930751,0.541334107949676,0.38724933584104376,0.391753232582256,0.784353569083091,1.0649940632920547,powerplay,,,,
2021,PK Garg,Sunrisers Hyderabad,3,9,33.33,0,0,0.0,6,66.67,0.03216748988302462,0.23024310237567241,0.07407441971066311,0.6179037504085794,-0.011182093158519507,0.26945840105044416,powerplay,,,,
2020,M Vijay,Chennai Super Kings,26,32,81.25,4,0,12.5,17,53.13,0.06271089497115116,0.34906200970698953,0.2713043813534429,0.5305199792105268,0.18763069867630697,0.46827119288527064,powerplay,,,,
2021,DA Miller,Rajasthan Royals,19,28,67.86,1,0,3.57,15,53.57,0.06902358320336996,0.33947609426575115,0.1350692069766456,0.5153571327718595,0.13113091700350427,0.41177141121246796,powerplay,,,,
2015,Gurkeerat Singh,Kings XI Punjab,6,6,100.0,1,0,16.67,3,50.0,0.028379848159339582,0.4179384511209981,0.3343799374730458,0.5025429950334451,0.2313811774408078,0.5120216716497715,powerplay,,,,
2023,AR Patel,Delhi Capitals,6,11,54.55,1,0,9.09,8,72.73,0.03918457001263533,0.2396266592314752,0.18831210678036436,0.6965064890761938,0.026949486954151697,0.3075899811631154,powerplay,,,,
2023,SV Samson,Rajasthan Royals,95,65,146.15,11,4,23.08,27,41.54,0.21822810205380594,0.5485652176679123,0.4161177657862413,0.45589984554365526,0.499348131417713,0.7799886256266767,powerplay,,,,
2022,SS Prabhudessai,Royal Challengers Bangalore,21,24,87.5,1,1,8.33,13,54.17,0.06000004764037051,0.36643472249173187,0.16222186304188377,0.5132116766543803,0.15025373473069595,0.4308942289396597,powerplay,SS Prabhudessai,2022.0,3731335.3524,4.02680864999316
2020,KD Karthik,Kolkata Knight Riders,25,35,71.43,4,0,11.43,19,54.29,0.06036719217885781,0.30993368523861453,0.25148804420850185,0.5414128135573953,0.15400637218900076,0.43464686639796446,powerplay,,,,
2013,DR Smith,Mumbai Indians,201,169,118.93,19,9,16.57,77,45.56,0.5334015221977514,0.5316303419591266,0.3691450658990735,0.43092111747998524,0.7293753331483519,1.0100158273573157,powerplay,,,,
2020,N Pooran,Kings XI Punjab,35,23,152.17,2,3,21.74,10,43.48,0.08380422010179132,0.6316466096354167,0.4424286385677002,0.43990286589390554,0.4499887084864349,0.7306292026953987,powerplay,,,,
2016,CA Lynn,Kolkata Knight Riders,15,12,125.0,0,1,8.33,4,33.33,0.05856659633444576,0.5279882356917641,0.19946652626946182,0.3472987545860792,0.29641770535887274,0.5770581995678364,powerplay,,,,
