season,player,team,runs,balls,strike_rate,fours,sixes,boundary_pct,dot_balls,dot_pct
2018,DA Miller,Kings XI Punjab,14,11,127.27,1,0,9.09,1,9.09
2021,S Dube,Rajasthan Royals,16,14,114.29,0,1,7.14,3,21.43
2015,JA Morkel,Delhi Daredevils,35,18,194.44,4,1,27.78,3,16.67
2022,Mohsin Khan,Lucknow Super Giants,22,13,169.23,2,1,23.08,3,23.08
2013,NM Coulter-Nile,Mumbai Indians,9,6,150.0,0,1,16.67,2,33.33
2013,MK Tiwary,Kolkata Knight Riders,37,29,127.59,3,0,10.34,8,27.59
2018,CH Gayle,Kings XI Punjab,20,12,166.67,0,2,16.67,2,16.67
2013,R Sharma,Pune Warriors,11,17,64.71,1,0,5.88,9,52.94
2014,V Sehwag,Kings XI Punjab,18,7,257.14,1,2,42.86,2,28.57
2017,DM Bravo,Kolkata Knight Riders,6,5,120.0,1,0,20.0,2,40.0
2017,S Dhawan,Sunrisers Hyderabad,26,14,185.71,2,1,21.43,2,14.29
2013,MA Agarwal,Royal Challengers Bangalore,3,3,100.0,0,0,0.0,1,33.33
2022,Lalit Yadav,Delhi Capitals,21,14,150.0,1,2,21.43,5,35.71
2018,Abhishek Sharma,Delhi Daredevils,57,25,228.0,2,5,28.0,1,4.0
2023,K Gowtham,Lucknow Super Giants,36,21,171.43,1,3,19.05,6,28.57
2019,CH Gayle,Kings XI Punjab,31,14,221.43,3,2,35.71,2,14.29
2022,Ravi Bishnoi,Lucknow Super Giants,0,1,0.0,0,0,0.0,1,100.0
2023,DA Warner,Delhi Capitals,16,20,80.0,0,0,0.0,7,35.0
2017,AJ Finch,Gujarat Lions,58,27,214.81,7,3,37.04,8,29.63
2019,HF Gurney,Kolkata Knight Riders,1,5,20.0,0,0,0.0,4,80.0
2019,KM Jadhav,Chennai Super Kings,19,26,73.08,0,1,3.85,11,42.31
2025,R Powell,Kolkata Knight Riders,5,5,100.0,1,0,20.0,3,60.0
2018,P Negi,Royal Challengers Bangalore,0,1,0.0,0,0,0.0,1,100.0
2020,JDS Neesham,Kings XI Punjab,12,11,109.09,0,1,9.09,4,36.36
2025,Mohammed Siraj,Gujarat Titans,3,4,75.0,0,0,0.0,1,25.0
2013,SP Narine,Kolkata Knight Riders,21,18,116.67,0,2,11.11,6,33.33
2020,JD Unadkat,Rajasthan Royals,5,8,62.5,0,0,0.0,4,50.0
2021,SN Thakur,Chennai Super Kings,5,3,166.67,0,0,0.0,1,33.33
2021,Harpreet Brar,Punjab Kings,54,46,117.39,3,2,10.87,14,30.43
2021,RG Sharma,Mumbai Indians,1,4,25.0,0,0,0.0,3,75.0
2015,KS Williamson,Sunrisers Hyderabad,21,14,150.0,1,1,14.29,1,7.14
2016,ER Dwivedi,Gujarat Lions,19,9,211.11,1,2,33.33,2,22.22
2021,DA Miller,Rajasthan Royals,31,22,140.91,3,1,18.18,7,31.82
2015,Gurkeerat Singh,Kings XI Punjab,12,11,109.09,0,1,9.09,4,36.36
2015,DW Steyn,Sunrisers Hyderabad,20,13,153.85,3,0,23.08,3,23.08
2023,AR Patel,Delhi Capitals,130,71,183.1,7,9,22.54,16,22.54
2023,SV Samson,Rajasthan Royals,25,14,178.57,3,1,28.57,3,21.43
2016,Mohammed Shami,Delhi Daredevils,2,4,50.0,0,0,0.0,1,25.0
2018,Anureet Singh,Rajasthan Royals,3,4,75.0,0,0,0.0,0,0.0
2020,KD Karthik,Kolkata Knight Riders,85,43,197.67,11,3,32.56,9,20.93
2013,DR Smith,Mumbai Indians,0,1,0.0,0,0,0.0,1,100.0
2020,N Pooran,Kings XI Punjab,81,45,180.0,4,6,22.22,14,31.11
