season,player,team,runs,balls,strike_rate,fours,sixes,boundary_pct,dot_balls,dot_pct
2021,S Dube,Rajasthan Royals,16,14,114.29,0,1,7.14,3,21.43
2022,Mohsin Khan,Lucknow Super Giants,22,13,169.23,2,1,23.08,3,23.08
2013,NM Coulter-Nile,Mumbai Indians,9,6,150.00,0,1,16.67,2,33.33
2013,LJ Wright,Lucknow Super Giants,72,30,240.00,12,2,46.67,7,23.33
2015,R Dhawan,Punjab Kings,23,21,109.52,0,2,9.52,8,38.10
2013,MK Tiwary,Kolkata Knight Riders,37,29,127.59,3,0,10.34,8,27.59
2013,V Kohli,Royal Challengers Bengaluru,103,47,219.15,11,6,36.17,13,27.66
2013,AB McDonald,Royal Challengers Bengaluru,0,2,0.00,0,0,0.00,2,100.00
2017,DM Bravo,Kolkata Knight Riders,6,5,120.00,1,0,20.00,2,40.00
2017,S Dhawan,Sunrisers Hyderabad,26,14,185.71,2,1,21.43,2,14.29
2022,Lalit Yadav,Delhi Capitals,21,14,150.00,1,2,21.43,5,35.71
2016,M Ashwin,Lucknow Super Giants,0,1,0.00,0,0,0.00,1,100.00
2017,P Negi,Royal Challengers Bengaluru,83,55,150.91,5,5,18.18,19,34.55
2023,SS Prabhudessai,Royal Challengers Bengaluru,19,13,146.15,0,2,15.38,6,46.15
2023,K Gowtham,Lucknow Super Giants,36,21,171.43,1,3,19.05,6,28.57
2022,Ravi Bishnoi,Lucknow Super Giants,0,1,0.00,0,0,0.00,1,100.00
2023,Shahbaz Ahmed,Royal Challengers Bengaluru,23,14,164.29,3,0,21.43,1,7.14
2023,DA Warner,Delhi Capitals,16,20,80.00,0,0,0.00,7,35.00
2023,V Kohli,Royal Challengers Bengaluru,54,25,216.00,4,4,32.00,5,20.00
2019,HF Gurney,Kolkata Knight Riders,1,5,20.00,0,0,0.00,4,80.00
2019,KM Jadhav,Chennai Super Kings,19,26,73.08,0,1,3.85,11,42.31
2025,R Powell,Kolkata Knight Riders,5,5,100.00,1,0,20.00,3,60.00
2013,BAW Mendis,Lucknow Super Giants,2,4,50.00,0,0,0.00,2,50.00
2025,Mohammed Siraj,Gujarat Titans,3,4,75.00,0,0,0.00,1,25.00
2013,SP Narine,Kolkata Knight Riders,21,18,116.67,0,2,11.11,6,33.33
2020,JD Unadkat,Rajasthan Royals,5,8,62.50,0,0,0.00,4,50.00
2021,SN Thakur,Chennai Super Kings,5,3,166.67,0,0,0.00,1,33.33
2017,AR Bawne,Delhi Capitals,12,12,100.00,1,0,8.33,4,33.33
2021,Harpreet Brar,Punjab Kings,54,46,117.39,3,2,10.87,14,30.43
2020,CH Gayle,Punjab Kings,57,35,162.86,2,6,22.86,11,31.43
2017,Ankit Soni,Gujarat Titans,7,9,77.78,0,1,11.11,5,55.56
2021,RG Sharma,Mumbai Indians,1,4,25.00,0,0,0.00,3,75.00
2015,KS Williamson,Sunrisers Hyderabad,21,14,150.00,1,1,14.29,1,7.14
2014,Yuvraj Singh,Royal Challengers Bengaluru,117,50,234.00,4,14,36.00,20,40.00
2021,DA Miller,Rajasthan Royals,31,22,140.91,3,1,18.18,7,31.82
2015,DW Steyn,Sunrisers Hyderabad,20,13,153.85,3,0,23.08,3,23.08
2023,AR Patel,Delhi Capitals,130,71,183.10,7,9,22.54,16,22.54
2023,SV Samson,Rajasthan Royals,25,14,178.57,3,1,28.57,3,21.43
2018,Anureet Singh,Rajasthan Royals,3,4,75.00,0,0,0.00,0,0.00
2020,KD Karthik,Kolkata Knight Riders,85,43,197.67,11,3,32.56,9,20.93
2013,DR Smith,Mumbai Indians,0,1,0.00,0,0,0.00,1,100.00
2021,KA Jamieson,Royal Challengers Bengaluru,45,30,150.00,4,2,20.00,8,26.67
2018,B Kumar,Sunrisers Hyderabad,11,13,84.62,1,0,7.69,5,38.46
2023,Washington Sundar,Sunrisers Hyderabad,42,27,155.56,6,0,22.22,4,14.81
2016,CA Lynn,Kolkata Knight Riders,10,9,111.11,0,0,0.00,3,33.33
2020,CJ Jordan,Punjab Kings,22,20,110.00,2,0,10.00,6,30.00
2016,AM Rahane,Lucknow Super Giants,30,17,176.47,2,2,23.53,3,17.65
2016,Bipul Sharma,Sunrisers Hyderabad,50,24,208.33,1,5,25.00,6,25.00
2019,HH Pandya,Mumbai Indians,265,117,226.50,19,21,34.19,26,22.22
2024,Noor Ahmad,Gujarat Titans,4,5,80.00,1,0,20.00,4,80.00
2025,PVSN Raju,Mumbai Indians,1,1,100.00,0,0,0.00,0,0.00
2014,DW Steyn,Sunrisers Hyderabad,17,19,89.47,1,0,5.26,7,36.84
2020,JL Pattinson,Mumbai Indians,15,13,115.38,2,0,15.38,4,30.77
2014,MA Starc,Royal Challengers Bengaluru,44,43,102.33,5,0,11.63,15,34.88
2014,AJ Finch,Sunrisers Hyderabad,55,37,148.65,4,3,18.92,10,27.03
2016,Yuvraj Singh,Sunrisers Hyderabad,46,26,176.92,5,3,30.77,9,34.62
2022,R Sanjay Yadav,Mumbai Indians,0,2,0.00,0,0,0.00,2,100.00
2013,Harmeet Singh,Punjab Kings,3,4,75.00,0,0,0.00,2,50.00
2013,PJ Sangwan,Kolkata Knight Riders,4,2,200.00,1,0,50.00,1,50.00
2013,G Gambhir,Kolkata Knight Riders,0,1,0.00,0,0,0.00,1,100.00
2025,MM Sharma,Delhi Capitals,1,3,33.33,0,0,0.00,2,66.67
2015,Karanveer Singh,Punjab Kings,7,9,77.78,1,0,11.11,5,55.56
2013,A Nehra,Delhi Capitals,1,8,12.50,0,0,0.00,7,87.50
2018,Washington Sundar,Royal Challengers Bengaluru,52,22,236.36,4,4,36.36,5,22.73
2016,JO Holder,Kolkata Knight Riders,21,18,116.67,2,1,16.67,8,44.44
2014,M Manhas,Chennai Super Kings,25,13,192.31,2,1,23.08,3,23.08
2013,MC Henriques,Royal Challengers Bengaluru,76,42,180.95,11,2,30.95,13,30.95
2025,S Dube,Chennai Super Kings,86,58,148.28,7,5,20.69,21,36.21
2013,R Sharma,Lucknow Super Giants,11,17,64.71,1,0,5.88,9,52.94
2021,N Pooran,Punjab Kings,26,20,130.00,2,1,15.00,7,35.00
2022,PWH de Silva,Royal Challengers Bengaluru,13,11,118.18,2,0,18.18,6,54.55
2020,DA Warner,Sunrisers Hyderabad,34,16,212.50,5,0,31.25,1,6.25
2021,LS Livingstone,Rajasthan Royals,0,1,0.00,0,0,0.00,1,100.00
2017,HH Pandya,Mumbai Indians,160,90,177.78,8,13,23.33,22,24.44
2013,DB Das,Kolkata Knight Riders,15,16,93.75,2,0,12.50,6,37.50
