season,player,team,runs,balls,strike_rate,fours,sixes,boundary_pct,dot_balls,dot_pct
2021,S Dube,Rajasthan Royals,170,130,130.77,16,7,17.69,44,33.85
2022,Mohsin Khan,Lucknow Super Giants,1,3,33.33,0,0,0.00,2,66.67
2013,LJ Wright,Lucknow Super Giants,25,20,125.00,4,0,20.00,7,35.00
2024,A Raghuvanshi,Kolkata Knight Riders,74,46,160.87,6,4,21.74,10,21.74
2015,R Dhawan,Punjab Kings,13,12,108.33,2,0,16.67,6,50.00
2015,RR Rossouw,Royal Challengers Bengaluru,0,1,0.00,0,0,0.00,1,100.00
2013,MK Tiwary,Kolkata Knight Riders,95,98,96.94,8,1,9.18,38,38.78
2013,V Kohli,Royal Challengers Bengaluru,356,250,142.40,28,13,16.40,70,28.00
2014,YV Takawale,Royal Challengers Bengaluru,26,18,144.44,2,1,16.67,4,22.22
2023,Vivrant Sharma,Sunrisers Hyderabad,40,21,190.48,4,2,28.57,4,19.05
2017,S Dhawan,Sunrisers Hyderabad,155,130,119.23,13,1,10.77,28,21.54
2022,Lalit Yadav,Delhi Capitals,113,93,121.51,7,5,12.90,33,35.48
2017,P Negi,Royal Challengers Bengaluru,61,56,108.93,5,2,12.50,20,35.71
2023,SS Prabhudessai,Royal Challengers Bengaluru,16,16,100.00,1,0,6.25,6,37.50
2023,K Gowtham,Lucknow Super Giants,25,16,156.25,1,2,18.75,4,25.00
2022,DJ Mitchell,Rajasthan Royals,29,36,80.56,1,0,2.78,11,30.56
2023,Shahbaz Ahmed,Royal Challengers Bengaluru,15,16,93.75,0,1,6.25,4,25.00
2023,DA Warner,Delhi Capitals,172,142,121.13,15,3,12.68,39,27.46
2023,V Kohli,Royal Challengers Bengaluru,249,177,140.68,18,8,14.69,35,19.77
2019,KM Jadhav,Chennai Super Kings,96,92,104.35,11,1,13.04,37,40.22
2013,SP Narine,Kolkata Knight Riders,0,1,0.00,0,0,0.00,1,100.00
2020,JD Unadkat,Rajasthan Royals,4,5,80.00,0,0,0.00,1,20.00
2021,SN Thakur,Chennai Super Kings,0,1,0.00,0,0,0.00,1,100.00
2021,Harpreet Brar,Punjab Kings,10,12,83.33,0,0,0.00,3,25.00
2020,CH Gayle,Punjab Kings,135,115,117.39,5,9,12.17,44,38.26
2021,RG Sharma,Mumbai Indians,94,69,136.23,6,4,14.49,18,26.09
2018,TA Boult,Delhi Capitals,0,2,0.00,0,0,0.00,2,100.00
2021,PK Garg,Sunrisers Hyderabad,69,65,106.15,2,3,7.69,20,30.77
2015,KS Williamson,Sunrisers Hyderabad,10,13,76.92,0,0,0.00,3,23.08
2014,Yuvraj Singh,Royal Challengers Bengaluru,240,191,125.65,17,14,16.23,77,40.31
2020,M Vijay,Chennai Super Kings,0,1,0.00,0,0,0.00,1,100.00
2021,DA Miller,Rajasthan Royals,74,63,117.46,7,2,14.29,21,33.33
2023,AR Patel,Delhi Capitals,147,119,123.53,13,6,15.97,43,36.13
2023,SV Samson,Rajasthan Royals,238,153,155.56,10,19,18.95,46,30.07
2020,KD Karthik,Kolkata Knight Riders,59,56,105.36,5,1,10.71,22,39.29
2013,DR Smith,Mumbai Indians,180,116,155.17,15,10,21.55,37,31.90
2021,KA Jamieson,Royal Challengers Bengaluru,20,25,80.00,1,1,8.00,13,52.00
2018,B Kumar,Sunrisers Hyderabad,2,3,66.67,0,0,0.00,1,33.33
2023,Washington Sundar,Sunrisers Hyderabad,18,33,54.55,0,0,0.00,16,48.48
2016,CA Lynn,Kolkata Knight Riders,0,1,0.00,0,0,0.00,1,100.00
2020,CJ Jordan,Punjab Kings,7,11,63.64,0,0,0.00,7,63.64
2016,AM Rahane,Lucknow Super Giants,219,153,143.14,19,4,15.03,29,18.95
2016,Bipul Sharma,Sunrisers Hyderabad,1,1,100.00,0,0,0.00,0,0.00
2019,HH Pandya,Mumbai Indians,137,92,148.91,9,8,18.48,29,31.52
2024,Noor Ahmad,Gujarat Titans,1,4,25.00,0,0,0.00,3,75.00
2013,KK Nair,Royal Challengers Bengaluru,0,4,0.00,0,0,0.00,4,100.00
2014,DW Steyn,Sunrisers Hyderabad,5,7,71.43,0,0,0.00,3,42.86
2014,MA Starc,Royal Challengers Bengaluru,41,41,100.00,4,0,9.76,15,36.59
2014,AJ Finch,Sunrisers Hyderabad,98,78,125.64,7,3,12.82,23,29.49
2016,Yuvraj Singh,Sunrisers Hyderabad,182,143,127.27,16,10,18.18,64,44.76
2013,G Gambhir,Kolkata Knight Riders,110,108,101.85,7,2,8.33,36,33.33
2015,Karanveer Singh,Punjab Kings,4,7,57.14,0,0,0.00,4,57.14
2014,R Rampaul,Royal Challengers Bengaluru,13,13,100.00,0,1,7.69,6,46.15
2018,Washington Sundar,Royal Challengers Bengaluru,13,16,81.25,1,0,6.25,8,50.00
2016,JO Holder,Kolkata Knight Riders,1,1,100.00,0,0,0.00,0,0.00
2014,M Manhas,Chennai Super Kings,10,10,100.00,1,0,10.00,4,40.00
2013,MC Henriques,Royal Challengers Bengaluru,68,73,93.15,5,1,8.22,29,39.73
2025,S Dube,Chennai Super Kings,258,198,130.30,13,16,14.65,67,33.84
2019,JC Buttler,Rajasthan Royals,134,73,183.56,13,8,28.77,21,28.77
2021,N Pooran,Punjab Kings,58,53,109.43,1,4,9.43,21,39.62
2022,PWH de Silva,Royal Challengers Bengaluru,25,32,78.13,2,1,9.38,18,56.25
2020,DA Warner,Sunrisers Hyderabad,209,150,139.33,12,7,12.67,33,22.00
2021,LS Livingstone,Rajasthan Royals,35,31,112.90,2,1,9.68,7,22.58
2017,HH Pandya,Mumbai Indians,90,69,130.43,3,7,14.49,28,40.58
2013,DB Das,Kolkata Knight Riders,60,58,103.45,3,5,13.79,31,53.45
2013,CH Gayle,Royal Challengers Bengaluru,298,176,169.32,18,23,23.30,55,31.25
2018,AR Patel,Punjab Kings,68,57,119.30,3,3,10.53,13,22.81
2023,JM Sharma,Punjab Kings,204,132,154.55,15,13,21.21,46,34.85
2018,JC Archer,Rajasthan Royals,0,1,0.00,0,0,0.00,1,100.00
2017,KV Sharma,Mumbai Indians,23,26,88.46,1,1,7.69,12,46.15
2023,PWH de Silva,Royal Challengers Bengaluru,5,3,166.67,0,0,0.00,0,0.00
2014,Q de Kock,Delhi Capitals,25,21,119.05,3,0,14.29,5,23.81
2018,SW Billings,Chennai Super Kings,41,36,113.89,2,2,11.11,14,38.89
2013,CH Morris,Chennai Super Kings,1,5,20.00,0,0,0.00,4,80.00
2025,M Shahrukh Khan,Gujarat Titans,113,60,188.33,9,8,28.33,15,25.00
2024,Mohammad Nabi,Mumbai Indians,1,2,50.00,0,0,0.00,1,50.00
2016,TG Southee,Mumbai Indians,3,4,75.00,0,0,0.00,1,25.00
2013,R Vinay Kumar,Royal Challengers Bengaluru,8,5,160.00,1,0,20.00,1,20.00
2019,AM Rahane,Rajasthan Royals,129,83,155.42,10,4,16.87,17,20.48
2023,BA Stokes,Chennai Super Kings,7,7,100.00,1,0,14.29,3,42.86
2023,Lalit Yadav,Delhi Capitals,40,29,137.93,5,0,17.24,7,24.14
2013,S Badrinath,Chennai Super Kings,100,91,109.89,8,0,8.79,25,27.47
2018,CA Lynn,Kolkata Knight Riders,175,135,129.63,14,6,14.81,43,31.85
2013,SPD Smith,Lucknow Super Giants,90,85,105.88,10,0,11.76,33,38.82
2013,AB Agarkar,Delhi Capitals,3,7,42.86,0,0,0.00,4,57.14
2015,Gurkeerat Singh,Punjab Kings,17,22,77.27,2,0,9.09,11,50.00
2023,TH David,Mumbai Indians,65,61,106.56,2,2,6.56,17,27.87
2018,MM Sharma,Punjab Kings,3,5,60.00,0,0,0.00,2,40.00
2015,KL Rahul,Sunrisers Hyderabad,96,83,115.66,5,3,9.64,26,31.33
2025,Dhruv Jurel,Rajasthan Royals,168,127,132.28,9,11,15.75,45,35.43
2022,AS Roy,Kolkata Knight Riders,0,2,0.00,0,0,0.00,2,100.00
2017,KA Pollard,Mumbai Indians,262,185,141.62,18,15,17.84,53,28.65
2021,FA Allen,Punjab Kings,5,8,62.50,0,0,0.00,4,50.00
2016,MP Stoinis,Punjab Kings,58,44,131.82,3,2,11.36,11,25.00
2019,SE Rutherford,Delhi Capitals,26,30,86.67,0,2,6.67,16,53.33
2020,JDS Neesham,Punjab Kings,7,7,100.00,0,0,0.00,2,28.57
2017,YK Pathan,Kolkata Knight Riders,83,76,109.21,3,4,9.21,30,39.47
2021,PWH de Silva,Royal Challengers Bengaluru,0,1,0.00,0,0,0.00,1,100.00
2021,Rashid Khan,Sunrisers Hyderabad,6,4,150.00,1,0,25.00,1,25.00
2022,Kartik Tyagi,Sunrisers Hyderabad,0,1,0.00,0,0,0.00,1,100.00
2021,NT Ellis,Punjab Kings,1,2,50.00,0,0,0.00,1,50.00
2025,LS Livingstone,Royal Challengers Bengaluru,71,61,116.39,2,4,9.84,20,32.79
2017,JC Buttler,Mumbai Indians,48,34,141.18,1,4,14.71,8,23.53
2016,JJ Bumrah,Mumbai Indians,6,6,100.00,1,0,16.67,3,50.00
2013,DT Christian,Royal Challengers Bengaluru,3,10,30.00,0,0,0.00,7,70.00
2019,BA Stokes,Rajasthan Royals,59,55,107.27,3,1,7.27,19,34.55
2013,KB Arun Karthik,Royal Challengers Bengaluru,19,14,135.71,1,1,14.29,5,35.71
2024,MM Sharma,Gujarat Titans,2,14,14.29,0,0,0.00,11,78.57
2019,SM Curran,Punjab Kings,10,16,62.50,1,0,6.25,10,62.50
2025,R Sai Kishore,Gujarat Titans,1,3,33.33,0,0,0.00,2,66.67
2018,NV Ojha,Delhi Capitals,1,3,33.33,0,0,0.00,1,33.33
2022,VR Iyer,Kolkata Knight Riders,49,39,125.64,4,1,12.82,10,25.64
2017,STR Binny,Royal Challengers Bengaluru,36,48,75.00,2,1,6.25,23,47.92
2017,CR Brathwaite,Delhi Capitals,12,15,80.00,2,0,13.33,9,60.00
2020,Ishan Kishan,Mumbai Indians,298,190,156.84,15,18,17.37,41,21.58
2018,MJ McClenaghan,Mumbai Indians,0,2,0.00,0,0,0.00,2,100.00
2022,Harshit Rana,Kolkata Knight Riders,2,1,200.00,0,0,0.00,0,0.00
2025,Shashank Singh,Punjab Kings,146,125,116.80,6,7,10.40,35,28.00
2020,MP Stoinis,Delhi Capitals,178,124,143.55,12,9,16.94,33,26.61
2025,R Parag,Rajasthan Royals,245,152,161.18,17,15,21.05,44,28.95
2017,AB de Villiers,Royal Challengers Bengaluru,81,75,108.00,2,5,9.33,22,29.33
2018,P Negi,Royal Challengers Bengaluru,3,4,75.00,0,0,0.00,1,25.00
2014,KK Nair,Rajasthan Royals,147,99,148.48,16,4,20.20,28,28.28
2023,YBK Jaiswal,Rajasthan Royals,184,131,140.46,18,7,19.08,35,26.72
2023,WP Saha,Gujarat Titans,75,58,129.31,8,0,13.79,12,20.69
2025,MK Pandey,Kolkata Knight Riders,74,53,139.62,4,4,15.09,15,28.30
2017,RV Uthappa,Kolkata Knight Riders,247,130,190.00,19,17,27.69,26,20.00
2022,Q de Kock,Lucknow Super Giants,177,120,147.50,16,6,18.33,30,25.00
2014,CA Lynn,Kolkata Knight Riders,26,24,108.33,2,1,12.50,9,37.50
