season,player,team,runs,balls,strike_rate,fours,sixes,boundary_pct,dot_balls,dot_pct
2018,DA Miller,Kings XI Punjab,14,10,140.0,1,1,20.0,4,40.0
2021,S Dube,Rajasthan Royals,44,49,89.8,2,2,8.16,24,48.98
2015,JA Morkel,Delhi Daredevils,20,15,133.33,3,0,20.0,5,33.33
2024,A Raghuvanshi,Kolkata Knight Riders,82,55,149.09,10,3,23.64,19,34.55
2013,MK Tiwary,Kolkata Knight Riders,14,13,107.69,1,0,7.69,5,38.46
2018,CH Gayle,Kings XI Punjab,239,148,161.49,28,15,29.05,68,45.95
2023,Vivrant Sharma,Sunrisers Hyderabad,24,20,120.0,4,0,20.0,6,30.0
2014,V Sehwag,Kings XI Punjab,221,166,133.13,29,8,22.29,73,43.98
2017,S Dhawan,Sunrisers Hyderabad,266,197,135.03,33,7,20.3,72,36.55
2013,MA Agarwal,Royal Challengers Bangalore,39,44,88.64,5,1,13.64,26,59.09
2022,Lalit Yadav,Delhi Capitals,27,37,72.97,3,0,8.11,19,51.35
2019,CH Gayle,Kings XI Punjab,255,167,152.69,23,20,25.75,83,49.7
2022,DJ Mitchell,Rajasthan Royals,4,8,50.0,0,0,0.0,5,62.5
2023,DA Warner,Delhi Capitals,290,180,161.11,47,7,30.0,75,41.67
2017,AJ Finch,Gujarat Lions,85,55,154.55,7,6,23.64,24,43.64
2019,KM Jadhav,Chennai Super Kings,47,48,97.92,8,1,18.75,32,66.67
2015,Q de Kock,Delhi Daredevils,78,47,165.96,14,1,31.91,17,36.17
2021,RG Sharma,Mumbai Indians,237,180,131.67,24,9,18.33,68,37.78
2021,PK Garg,Sunrisers Hyderabad,3,9,33.33,0,0,0.0,6,66.67
2020,M Vijay,Chennai Super Kings,26,32,81.25,4,0,12.5,17,53.13
2021,DA Miller,Rajasthan Royals,19,28,67.86,1,0,3.57,15,53.57
2015,Gurkeerat Singh,Kings XI Punjab,6,6,100.0,1,0,16.67,3,50.0
2023,AR Patel,Delhi Capitals,6,11,54.55,1,0,9.09,8,72.73
2023,SV Samson,Rajasthan Royals,95,65,146.15,11,4,23.08,27,41.54
2022,SS Prabhudessai,Royal Challengers Bangalore,21,24,87.5,1,1,8.33,13,54.17
2020,KD Karthik,Kolkata Knight Riders,25,35,71.43,4,0,11.43,19,54.29
2013,DR Smith,Mumbai Indians,201,169,118.93,19,9,16.57,77,45.56
