season,player,team,runs,balls,strike_rate,fours,sixes,boundary_pct,dot_balls,dot_pct
2021,S Dube,Rajasthan Royals,44,49,89.80,2,2,8.16,24,48.98
2013,LJ Wright,Lucknow Super Giants,9,9,100.00,0,1,11.11,5,55.56
2024,A Raghuvanshi,Kolkata Knight Riders,82,55,149.09,10,3,23.64,19,34.55
2015,RR Rossouw,Royal Challengers Bengaluru,14,9,155.56,1,1,22.22,3,33.33
2013,MK Tiwary,Kolkata Knight Riders,14,13,107.69,1,0,7.69,5,38.46
2013,V Kohli,Royal Challengers Bengaluru,170,151,112.58,24,3,17.88,73,48.34
2014,YV Takawale,Royal Challengers Bengaluru,77,67,114.93,15,0,22.39,36,53.73
2023,Vivrant Sharma,Sunrisers Hyderabad,24,20,120.00,4,0,20.00,6,30.00
2017,S Dhawan,Sunrisers Hyderabad,266,197,135.03,33,7,20.30,72,36.55
2022,Lalit Yadav,Delhi Capitals,27,37,72.97,3,0,8.11,19,51.35
2022,DJ Mitchell,Rajasthan Royals,4,8,50.00,0,0,0.00,5,62.50
2023,Shahbaz Ahmed,Royal Challengers Bengaluru,3,7,42.86,0,0,0.00,4,57.14
2023,DA Warner,Delhi Capitals,290,180,161.11,47,7,30.00,75,41.67
2023,V Kohli,Royal Challengers Bengaluru,264,199,132.66,31,4,17.59,63,31.66
2019,KM Jadhav,Chennai Super Kings,47,48,97.92,8,1,18.75,32,66.67
2020,CH Gayle,Punjab Kings,96,60,160.00,8,8,26.67,29,48.33
2021,RG Sharma,Mumbai Indians,237,180,131.67,24,9,18.33,68,37.78
2021,PK Garg,Sunrisers Hyderabad,3,9,33.33,0,0,0.00,6,66.67
2014,Yuvraj Singh,Royal Challengers Bengaluru,19,32,59.38,1,0,3.13,19,59.38
2020,M Vijay,Chennai Super Kings,26,32,81.25,4,0,12.50,17,53.13
2021,DA Miller,Rajasthan Royals,19,28,67.86,1,0,3.57,15,53.57
2023,AR Patel,Delhi Capitals,6,11,54.55,1,0,9.09,8,72.73
2023,SV Samson,Rajasthan Royals,95,65,146.15,11,4,23.08,27,41.54
2020,KD Karthik,Kolkata Knight Riders,25,35,71.43,4,0,11.43,19,54.29
2013,DR Smith,Mumbai Indians,201,169,118.93,19,9,16.57,77,45.56
2016,CA Lynn,Kolkata Knight Riders,15,12,125.00,0,1,8.33,4,33.33
2016,AM Rahane,Lucknow Super Giants,179,149,120.13,23,3,17.45,59,39.60
2013,KK Nair,Royal Challengers Bengaluru,9,8,112.50,0,0,0.00,4,50.00
2014,AJ Finch,Sunrisers Hyderabad,118,109,108.26,15,2,15.60,47,43.12
2016,Yuvraj Singh,Sunrisers Hyderabad,8,10,80.00,1,0,10.00,5,50.00
2013,G Gambhir,Kolkata Knight Riders,248,199,124.62,38,1,19.60,81,40.70
2013,MC Henriques,Royal Challengers Bengaluru,21,9,233.33,4,0,44.44,1,11.11
2017,MA Agarwal,Lucknow Super Giants,15,18,83.33,1,0,5.56,8,44.44
2025,S Dube,Chennai Super Kings,13,12,108.33,2,0,16.67,5,41.67
2019,JC Buttler,Rajasthan Royals,158,116,136.21,23,5,24.14,56,48.28
2021,N Pooran,Punjab Kings,1,3,33.33,0,0,0.00,2,66.67
2020,DA Warner,Sunrisers Hyderabad,256,183,139.89,31,6,20.22,66,36.07
2021,LS Livingstone,Rajasthan Royals,6,6,100.00,1,0,16.67,3,50.00
2013,CH Gayle,Royal Challengers Bengaluru,277,184,150.54,26,20,25.00,85,46.20
2023,JM Sharma,Punjab Kings,16,21,76.19,3,0,14.29,14,66.67
2018,JC Archer,Rajasthan Royals,0,4,0.00,0,0,0.00,4,100.00
2017,JJ Roy,Gujarat Titans,35,23,152.17,6,0,26.09,8,34.78
2018,M Vijay,Chennai Super Kings,11,7,157.14,0,1,14.29,2,28.57
2014,Q de Kock,Delhi Capitals,98,85,115.29,11,4,17.65,45,52.94
2018,SW Billings,Chennai Super Kings,18,16,112.50,3,0,18.75,9,56.25
2025,M Shahrukh Khan,Gujarat Titans,2,6,33.33,0,0,0.00,4,66.67
2024,Mohammad Nabi,Mumbai Indians,22,15,146.67,2,1,20.00,4,26.67
2019,AM Rahane,Rajasthan Royals,205,139,147.48,27,5,23.02,49,35.25
2023,BA Stokes,Chennai Super Kings,2,3,66.67,0,0,0.00,1,33.33
2023,Lalit Yadav,Delhi Capitals,4,6,66.67,0,0,0.00,3,50.00
2013,S Badrinath,Chennai Super Kings,24,28,85.71,3,0,10.71,15,53.57
2018,CA Lynn,Kolkata Knight Riders,246,177,138.98,32,10,23.73,78,44.07
2013,SPD Smith,Lucknow Super Giants,20,23,86.96,2,0,8.70,10,43.48
2015,Gurkeerat Singh,Punjab Kings,6,6,100.00,1,0,16.67,3,50.00
2015,KL Rahul,Sunrisers Hyderabad,14,24,58.33,1,0,4.17,14,58.33
2025,Dhruv Jurel,Rajasthan Royals,32,19,168.42,5,1,31.58,7,36.84
2017,KA Pollard,Mumbai Indians,19,22,86.36,1,1,9.09,10,45.45
2015,AP Tare,Mumbai Indians,12,14,85.71,1,0,7.14,6,42.86
2016,MP Stoinis,Punjab Kings,45,32,140.63,5,1,18.75,9,28.13
2017,YK Pathan,Kolkata Knight Riders,31,19,163.16,4,1,26.32,6,31.58
2025,MM Ali,Kolkata Knight Riders,5,6,83.33,0,0,0.00,1,16.67
2025,LS Livingstone,Royal Challengers Bengaluru,4,10,40.00,1,0,10.00,8,80.00
2017,JC Buttler,Mumbai Indians,192,117,164.10,22,10,27.35,44,37.61
2013,DT Christian,Royal Challengers Bengaluru,1,3,33.33,0,0,0.00,2,66.67
2019,BA Stokes,Rajasthan Royals,5,2,250.00,1,0,50.00,0,0.00
2019,SM Curran,Punjab Kings,20,10,200.00,3,1,40.00,5,50.00
2022,VR Iyer,Kolkata Knight Riders,118,106,111.32,12,6,16.98,56,52.83
2017,STR Binny,Royal Challengers Bengaluru,8,9,88.89,2,0,22.22,7,77.78
2020,Ishan Kishan,Mumbai Indians,141,125,112.80,18,4,17.60,58,46.40
2025,Shashank Singh,Punjab Kings,2,3,66.67,0,0,0.00,2,66.67
2020,MP Stoinis,Delhi Capitals,69,48,143.75,8,3,22.92,19,39.58
2025,R Parag,Rajasthan Royals,104,58,179.31,8,8,27.59,20,34.48
2017,AB de Villiers,Royal Challengers Bengaluru,84,71,118.31,9,4,18.31,36,50.70
2014,KK Nair,Rajasthan Royals,154,112,137.50,19,4,20.54,49,43.75
2023,YBK Jaiswal,Rajasthan Royals,292,173,168.79,41,12,30.64,73,42.20
2023,WP Saha,Gujarat Titans,237,153,154.90,32,7,25.49,51,33.33
2017,RV Uthappa,Kolkata Knight Riders,124,93,133.33,16,3,20.43,33,35.48
2022,Q de Kock,Lucknow Super Giants,246,160,153.75,24,12,22.50,57,35.63
2014,CA Lynn,Kolkata Knight Riders,32,25,128.00,3,2,20.00,12,48.00
2016,JP Duminy,Delhi Capitals,12,15,80.00,0,0,0.00,5,33.33
2017,BA Stokes,Lucknow Super Giants,33,28,117.86,3,1,14.29,11,39.29
2015,KD Karthik,Royal Challengers Bengaluru,29,29,100.00,4,0,13.79,12,41.38
2015,Yuvraj Singh,Delhi Capitals,32,27,118.52,6,0,22.22,14,51.85
2015,PA Patel,Mumbai Indians,223,157,142.04,33,2,22.29,58,36.94
2016,MS Dhoni,Lucknow Super Giants,10,15,66.67,1,0,6.67,8,53.33
2018,KL Rahul,Punjab Kings,316,198,159.60,37,15,26.26,72,36.36
2019,M Vijay,Chennai Super Kings,43,30,143.33,6,1,23.33,14,46.67
2013,KV Sharma,Sunrisers Hyderabad,10,14,71.43,1,0,7.14,9,64.29
2015,SR Watson,Rajasthan Royals,161,144,111.81,20,4,16.67,74,51.39
2014,Ankit Sharma,Rajasthan Royals,27,19,142.11,4,1,26.32,10,52.63
2025,Sameer Rizvi,Delhi Capitals,10,16,62.50,2,0,12.50,12,75.00
2016,KA Pollard,Mumbai Indians,3,13,23.08,0,0,0.00,9,69.23
2020,S Dhawan,Delhi Capitals,258,180,143.33,33,6,21.67,61,33.89
2018,Yuvraj Singh,Punjab Kings,14,21,66.67,3,0,14.29,16,76.19
2023,PBB Rajapaksa,Punjab Kings,36,27,133.33,3,2,18.52,11,40.74
2025,MP Stoinis,Punjab Kings,15,19,78.95,1,1,10.53,12,63.16
2014,V Kohli,Royal Challengers Bengaluru,60,84,71.43,6,0,7.14,42,50.00
2019,E Lewis,Mumbai Indians,29,32,90.63,3,1,12.50,18,56.25
2023,LS Livingstone,Punjab Kings,32,33,96.97,5,0,15.15,18,54.55
2025,RK Singh,Kolkata Knight Riders,4,6,66.67,0,0,0.00,3,50.00
2022,TL Seifert,Delhi Capitals,12,12,100.00,2,0,16.67,8,66.67
2019,DA Miller,Punjab Kings,7,4,175.00,1,0,25.00,0,0.00
2025,Urvil Patel,Chennai Super Kings,44,22,200.00,3,4,31.82,9,40.91
2021,AR Patel,Delhi Capitals,6,5,120.00,1,0,20.00,2,40.00
2023,DJ Hooda,Lucknow Super Giants,28,36,77.78,1,1,5.56,17,47.22
2022,SN Khan,Delhi Capitals,38,23,165.22,5,2,30.43,11,47.83
2017,R Tewatia,Punjab Kings,4,3,133.33,1,0,33.33,2,66.67
2023,Shubman Gill,Gujarat Titans,389,253,153.75,57,6,24.90,85,33.60
2017,MP Stoinis,Punjab Kings,6,9,66.67,1,0,11.11,6,66.67
2017,M Vohra,Punjab Kings,138,99,139.39,17,4,21.21,36,36.36
2013,CL White,Sunrisers Hyderabad,42,49,85.71,5,0,10.20,23,46.94
2022,RD Gaikwad,Chennai Super Kings,179,142,126.06,19,7,18.31,61,42.96
2024,WP Saha,Gujarat Titans,107,79,135.44,14,3,21.52,28,35.44
2025,BKG Mendis,Gujarat Titans,18,8,225.00,1,2,37.50,3,37.50
2025,Naman Dhir,Mumbai Indians,40,19,210.53,3,3,31.58,3,15.79
2014,BB McCullum,Chennai Super Kings,205,161,127.33,20,9,18.01,68,42.24
2018,CH Gayle,Punjab Kings,239,148,161.49,28,15,29.05,68,45.95
2025,MA Agarwal,Royal Challengers Bengaluru,32,27,118.52,3,1,14.81,12,44.44
2024,Tanush Kotian,Rajasthan Royals,14,20,70.00,2,0,10.00,12,60.00
2021,DJ Malan,Punjab Kings,3,4,75.00,0,0,0.00,1,25.00
2019,CA Lynn,Kolkata Knight Riders,244,163,149.69,27,14,25.15,72,44.17
2017,MN Samuels,Delhi Capitals,1,4,25.00,0,0,0.00,3,75.00
2015,YK Pathan,Kolkata Knight Riders,27,20,135.00,3,1,20.00,8,40.00
2024,KL Rahul,Lucknow Super Giants,277,207,133.82,24,13,17.87,74,35.75
2018,AJ Finch,Punjab Kings,24,23,104.35,2,1,13.04,9,39.13
2021,Shubman Gill,Kolkata Knight Riders,253,204,124.02,28,6,16.67,80,39.22
2013,DJ Hussey,Punjab Kings,79,56,141.07,10,2,21.43,22,39.29
2020,SN Khan,Punjab Kings,4,2,200.00,1,0,50.00,1,50.00
2020,R Tewatia,Rajasthan Royals,4,8,50.00,0,0,0.00,4,50.00
2025,AK Markram,Lucknow Super Giants,249,149,167.11,25,13,25.50,47,31.54
2023,SP Narine,Kolkata Knight Riders,0,1,0.00,0,0,0.00,1,100.00
2017,EJG Morgan,Punjab Kings,28,30,93.33,2,1,10.00,13,43.33
2023,PD Salt,Delhi Capitals,120,71,169.01,15,5,28.17,24,33.80
2021,Q de Kock,Mumbai Indians,165,125,132.00,16,7,18.40,46,36.80
2024,Shahbaz Ahmed,Sunrisers Hyderabad,6,6,100.00,0,0,0.00,1,16.67
2013,LRPL Taylor,Lucknow Super Giants,3,4,75.00,0,0,0.00,1,25.00
2016,NV Ojha,Sunrisers Hyderabad,8,12,66.67,1,0,8.33,7,58.33
2018,V Shankar,Delhi Capitals,3,4,75.00,0,0,0.00,2,50.00
2023,C Green,Mumbai Indians,199,119,167.23,23,8,26.05,36,30.25
2017,GJ Maxwell,Punjab Kings,10,15,66.67,2,0,13.33,11,73.33
2022,M Vohra,Lucknow Super Giants,19,11,172.73,1,2,27.27,4,36.36
2013,AP Tare,Mumbai Indians,75,51,147.06,9,4,25.49,25,49.02
2024,SP Narine,Kolkata Knight Riders,286,162,176.54,32,18,30.86,61,37.65
2021,SS Iyer,Delhi Capitals,28,47,59.57,1,0,2.13,25,53.19
2015,RS Bopara,Sunrisers Hyderabad,2,2,100.00,0,0,0.00,0,0.00
2024,MA Agarwal,Sunrisers Hyderabad,55,43,127.91,7,1,18.60,18,41.86
2023,JC Buttler,Rajasthan Royals,200,142,140.85,25,7,22.54,58,40.85
2016,V Kohli,Royal Challengers Bengaluru,283,231,122.51,28,7,15.15,81,35.06
2022,KS Williamson,Sunrisers Hyderabad,114,128,89.06,12,3,11.72,64,50.00
2021,Ishan Kishan,Mumbai Indians,98,60,163.33,14,2,26.67,20,33.33
2021,AK Markram,Punjab Kings,9,11,81.82,1,0,9.09,6,54.55
2025,PD Salt,Royal Challengers Bengaluru,282,143,197.20,35,15,34.97,44,30.77
2016,G Gambhir,Kolkata Knight Riders,235,196,119.90,29,2,15.82,64,32.65
2019,RG Sharma,Mumbai Indians,237,180,131.67,31,6,20.56,73,40.56
2025,A Raghuvanshi,Kolkata Knight Riders,87,53,164.15,11,3,26.42,17,32.08
2016,Q de Kock,Delhi Capitals,218,159,137.11,28,7,22.01,65,40.88
2025,SB Dubey,Rajasthan Royals,15,8,187.50,2,1,37.50,4,50.00
2025,MJ Owen,Punjab Kings,0,2,0.00,0,0,0.00,2,100.00
2014,SV Samson,Rajasthan Royals,144,120,120.00,14,8,18.33,60,50.00
2019,S Dhawan,Delhi Capitals,330,222,148.65,41,10,22.97,75,33.78
2023,KH Pandya,Lucknow Super Giants,36,37,97.30,5,0,13.51,21,56.76
2015,LMP Simmons,Mumbai Indians,247,207,119.32,29,9,18.36,100,48.31
2023,Rahmanullah Gurbaz,Kolkata Knight Riders,125,87,143.68,11,9,22.99,40,45.98
2021,VR Iyer,Kolkata Knight Riders,204,164,124.39,21,7,17.07,67,40.85
2015,SPD Smith,Rajasthan Royals,78,61,127.87,10,0,16.39,17,27.87
2013,BMAJ Mendis,Delhi Capitals,3,7,42.86,0,0,0.00,4,57.14
2013,Mandeep Singh,Punjab Kings,157,125,125.60,24,0,19.20,46,36.80
2018,SK Raina,Chennai Super Kings,168,127,132.28,25,2,21.26,52,40.94
