season,player,team,wickets,balls,economy,dot_balls,dot_pct,boundaries_conceded,boundary_pct_conceded,wickets_z,economy_z,dot_pct_z,boundary_pct_conceded_z,impact_score,impact_score_pos,phase,name,year,adj_price,ROI
2017,JD Unadkat,Lucknow Super Giants,16,107,8.69,42,39.25,19,17.76,0.833704727,0.29952853,0.483934375,0.272143681,1.194282887,1.760638539,death,JD Unadkat,2017,4679400.629,37.6253003
2024,HV Patel,Punjab Kings,14,102,11.12,28,27.45,23,22.55,0.798840596,0.326536157,0.336273732,0.255994497,1.091730202,1.658085855,death,HV Patel,2024,130283618.1,1.272674093
2014,MM Sharma,Chennai Super Kings,14,119,10.59,27,22.69,30,25.21,0.836445529,0.380309063,0.283652039,0.373568412,1.075569756,1.641925408,death,MM Sharma,2014,38740367.67,4.238280396
2023,MM Sharma,Gujarat Titans,13,91,8.18,30,32.97,14,15.38,0.732820328,0.2429831,0.414520475,0.208376971,1.063880303,1.630235955,death,MM Sharma,2023,5915430.661,27.5590409
2025,Arshdeep Singh,Punjab Kings,11,86,10.4,27,31.4,20,23.26,0.712917114,0.321161881,0.383820087,0.282615201,0.971272384,1.537628036,death,Arshdeep Singh,2025,188910000,0.813947401
2013,JP Faulkner,Rajasthan Royals,14,115,8.3,35,30.43,14,12.17,0.666142189,0.271286291,0.381284538,0.18538513,0.94946859,1.515824242,death,JP Faulkner,2013,49252953.85,3.077631135
2025,M Prasidh Krishna,Gujarat Titans,11,90,11.53,30,33.33,26,28.89,0.712917114,0.36054343,0.401993222,0.339536914,0.943895191,1.510250843,death,M Prasidh Krishna,2025,99702500,1.514757246
2018,AJ Tye,Punjab Kings,11,114,9.53,33,28.95,22,19.3,0.647104846,0.327802153,0.358981263,0.284863432,0.861771758,1.42812741,death,AJ Tye,2018,107448923.7,1.329122117
2016,MM Sharma,Punjab Kings,10,105,9.2,33,31.43,20,19.05,0.624863336,0.302592907,0.375593176,0.259100954,0.851205508,1.41756116,death,MM Sharma,2016,106365116,1.332731269
2022,K Rabada,Punjab Kings,9,66,9.36,28,42.42,14,21.21,0.566283163,0.28799827,0.47130179,0.258282185,0.798131319,1.364486971,death,K Rabada,2022,115049506.7,1.185999845
2022,B Kumar,Sunrisers Hyderabad,9,115,8.87,38,33.04,19,16.52,0.566283163,0.271521469,0.3866399,0.212466744,0.793068105,1.359423757,death,B Kumar,2022,52238694.93,2.602331009
2022,HV Patel,Royal Challengers Bengaluru,9,129,9.91,47,36.43,26,20.16,0.566283163,0.306492639,0.417237321,0.248024996,0.777591387,1.343947039,death,HV Patel,2022,133706183.5,1.005149504
2016,SR Watson,Royal Challengers Bengaluru,10,117,11.64,34,29.06,32,27.35,0.624863336,0.397957114,0.35162581,0.357041847,0.776487348,1.342843,death,SR Watson,2016,155456708,0.863805118
2014,MG Johnson,Punjab Kings,9,75,8.72,27,36,12,16,0.54573782,0.295844695,0.446357661,0.238547542,0.762611888,1.32896754,death,MG Johnson,2014,125906194.9,1.055521963
2019,SL Malinga,Mumbai Indians,11,71,10.82,25,35.21,17,23.94,0.564195056,0.362194919,0.410295524,0.317460832,0.729265024,1.295620677,death,SL Malinga,2019,28885051.06,4.485436684
2022,OC McCoy,Rajasthan Royals,8,59,8.54,24,40.68,10,16.95,0.504773149,0.260424848,0.455596919,0.216667307,0.724668668,1.291024321,death,OC McCoy,2022,9328338.381,13.83981013
2016,CH Morris,Delhi Capitals,8,96,7.56,27,28.13,10,10.42,0.506019665,0.238495654,0.342220894,0.157266025,0.719117697,1.285473349,death,CH Morris,2016,114547048,1.122223027
2019,Mohammed Shami,Punjab Kings,11,114,10.26,30,26.32,24,21.05,0.564195056,0.343558087,0.32278739,0.28875175,0.719080042,1.285435694,death,Mohammed Shami,2019,69324122.54,1.854240121
2017,P Negi,Royal Challengers Bengaluru,7,24,4.25,13,54.17,1,4.17,0.381578943,0.121671486,0.654892053,0.120069201,0.684146675,1.250502328,death,P Negi,2017,15598002.1,8.017067313
2022,Mohammed Shami,Gujarat Titans,8,66,9.64,21,31.82,14,21.21,0.504773149,0.297413585,0.375628439,0.258282185,0.673398166,1.239753818,death,Mohammed Shami,2022,77736153.18,1.594822702
2025,JD Unadkat,Sunrisers Hyderabad,6,23,6.78,15,65.22,4,17.39,0.397855294,0.195001521,0.702273664,0.223266986,0.662484337,1.228839989,death,JD Unadkat,2025,10495000,11.70881362
2020,CH Morris,Royal Challengers Bengaluru,7,58,7.03,25,43.1,7,12.07,0.425004072,0.216508788,0.550737727,0.180391985,0.662006316,1.228361968,death,CH Morris,2020,138937234.5,0.884112867
2022,JR Hazlewood,Royal Challengers Bengaluru,8,87,10.97,25,28.74,22,25.29,0.504773149,0.342136331,0.347829012,0.298138687,0.635212289,1.201567941,death,JR Hazlewood,2022,96392829.94,1.246532488
2014,B Kumar,Sunrisers Hyderabad,8,83,9.11,24,28.92,16,19.28,0.487596278,0.313460258,0.359809516,0.28663315,0.627963224,1.194318876,death,B Kumar,2014,82323281.31,1.450766851
2020,SM Curran,Chennai Super Kings,8,66,10.82,21,31.82,15,22.73,0.481314009,0.349168743,0.418648074,0.293182764,0.619943109,1.186298761,death,SM Curran,2020,76415478.99,1.55243254
2023,Yash Thakur,Lucknow Super Giants,8,83,10.05,28,33.73,17,20.48,0.465640656,0.319562814,0.423872396,0.272223373,0.616130566,1.182486218,death,Yash Thakur,2023,5323887.595,22.21095387
2022,SN Thakur,Delhi Capitals,8,86,12.07,23,26.74,22,25.58,0.504773149,0.379125069,0.329777437,0.300971625,0.61415144,1.180507092,death,SN Thakur,2022,133706183.5,0.882911367
2025,HV Patel,Sunrisers Hyderabad,7,77,10.44,26,33.77,15,19.48,0.460867658,0.322555919,0.40613632,0.244397781,0.610800682,1.177156334,death,HV Patel,2025,83960000,1.402044228
2022,YS Chahal,Rajasthan Royals,7,78,9.62,23,29.49,13,16.67,0.443263135,0.296741062,0.354598353,0.213932056,0.588398166,1.154753818,death,YS Chahal,2022,80845599.3,1.428344682
2025,E Malinga,Sunrisers Hyderabad,6,40,7.8,19,47.5,9,22.5,0.397855294,0.230549468,0.535419809,0.274931276,0.582709715,1.149065367,death,E Malinga,2025,12594000,9.123911123
