season,player,team,wickets,economy,dot_pct,boundary_pct_conceded,impact_score_pos,phase,adj_price,ROI_z
2013,AM Nayar,Lucknow Super Giants,1,7,50,16.67,0.747832063,bowl_pp,83114359.62,0.008859175
2013,CH Morris,Chennai Super Kings,4,8.67,45.37,21.3,0.970696835,bowl_pp,76957740.39,0.012419284
2013,DJG Sammy,Sunrisers Hyderabad,0,9.75,33.33,20.83,0.531342381,bowl_pp,52331263.46,0.009997202
2013,DP Nannes,Chennai Super Kings,2,5.63,43.75,8.33,0.878297466,bowl_pp,73879430.77,0.011705321
2013,DT Christian,Royal Challengers Bengaluru,0,6.75,45.83,12.5,0.657214611,bowl_pp,12313238.46,0.052553322
2013,J Botha,Delhi Capitals,1,7.5,45.83,16.67,0.724555135,bowl_pp,55409573.08,0.012875138
2013,JD Unadkat,Royal Challengers Bengaluru,5,6.27,45.56,14.44,1.138886012,bowl_pp,64644501.92,0.017346582
2013,JDP Oram,Mumbai Indians,0,3,66.67,0,0.835302876,bowl_pp,6156619.231,0.133587842
2013,JO Holder,Chennai Super Kings,2,9.21,42.86,23.81,0.753779372,bowl_pp,2462647.692,0.301374993
2013,JP Faulkner,Rajasthan Royals,7,5.81,53.09,13.58,1.364104385,bowl_pp,49252953.85,0.027269713
2013,KW Richardson,Lucknow Super Giants,1,7.17,55.56,19.44,0.752659028,bowl_pp,86192669.23,0.008597916
2013,MC Henriques,Royal Challengers Bengaluru,5,7.75,44.79,19.79,1.08907791,bowl_pp,36939715.39,0.029028905
2013,MS Gony,Punjab Kings,0,10.5,37.5,37.5,0.481627899,bowl_pp,61566192.31,0.007702551
2013,NLTC Perera,Sunrisers Hyderabad,6,7,49.17,19.17,1.215623208,bowl_pp,83114359.62,0.014400851
2013,NM Coulter-Nile,Mumbai Indians,1,7.5,58.33,25,0.738286521,bowl_pp,55409573.08,0.013119141
2013,R McLaren,Kolkata Knight Riders,1,15.25,33.33,50,0.424848006,bowl_pp,6156619.231,0.067944849
2013,SMSM Senanayake,Kolkata Knight Riders,4,5.4,44.17,9.17,1.073173935,bowl_pp,76957740.39,0.013730396
