season,player,team,wickets,balls,economy,dot_balls,dot_pct,boundaries_conceded,boundary_pct_conceded,wickets_z,economy_z,dot_pct_z,boundary_pct_conceded_z,impact_score,impact_score_pos,phase,name,year,adj_price,ROI
2013,AM Nayar,Lucknow Super Giants,1,42,7.43,10,23.81,3,7.14,0.07099391835357045,0.2954077173083614,0.3262829608252121,0.13112989914499348,-0.05817638789776852,0.8698287006997487,middle,AM Nayar,2013,83114359.61769001,1.0465444295074793
2013,B Laughlin,Chennai Super Kings,1,24,6.75,6,25.0,2,8.33,0.07099391835357045,0.2645629710498034,0.338973852538847,0.14784985473538376,-0.03303731449490972,0.8949677741026075,middle,B Laughlin,2013,2462647.6923760003,36.34168934814743
2013,CH Morris,Chennai Super Kings,4,96,6.88,39,40.63,13,13.54,0.20719463978997454,0.2704597607757042,0.5056617831977669,0.22105234937902532,0.20191221614792343,1.1299173047454407,middle,CH Morris,2013,76957740.38675001,1.4682308745904669
2013,DJG Sammy,Sunrisers Hyderabad,7,78,5.77,34,43.59,8,10.26,0.34339536122637865,0.220110248500705,0.5372290432585731,0.174967093634084,0.46518013728975904,1.3931852258872763,middle,DJG Sammy,2013,52331263.46299,2.662242670430788
2013,DP Nannes,Chennai Super Kings,0,18,10.67,5,27.78,4,22.22,0.025593677874769075,0.44237386124619676,0.36862148192028,0.343009672508931,-0.27352406211050606,0.6544810264870112,middle,DP Nannes,2013,73879430.77128,0.8858771916004462
2013,DT Christian,Royal Challengers Bengaluru,0,6,5.0,1,16.67,0,0.0,0.025593677874769075,0.18518310935498494,0.2501376105434023,0.0308101656026517,-0.040876720629344006,0.8871283679681733,middle,DT Christian,2013,12313238.46188,7.204671384498838
2013,J Botha,Delhi Capitals,4,72,6.75,25,34.72,8,11.11,0.20719463978997454,0.2645629710498034,0.4426339092250082,0.18690991905579135,0.19454977180146327,1.1225548603989806,middle,J Botha,2013,55409573.07846001,2.025922233346649
2013,JD Unadkat,Royal Challengers Bengaluru,5,168,8.64,48,28.57,30,17.86,0.2525948802687759,0.3502932216802074,0.3770465276797519,0.2817500032869968,0.1554217007055242,1.0834267893030414,middle,JD Unadkat,2013,64644501.92487001,1.6759766987797395
2013,JDP Oram,Mumbai Indians,0,6,8.0,3,50.0,1,16.67,0.025593677874769075,0.321262872260388,0.6055892246740354,0.26503004769660654,-0.0899490231332675,0.8380560654642498,middle,JDP Oram,2013,6156619.23094,13.612277031079188
2013,JO Holder,Chennai Super Kings,0,36,7.33,11,30.56,4,11.11,0.025593677874769075,0.29087172521151466,0.3982691113017129,0.18690991905579135,-0.11220811377770254,0.8157969748198147,middle,JO Holder,2013,2462647.6923760003,33.12682432592383
2013,JP Faulkner,Rajasthan Royals,7,102,7.06,40,39.22,14,13.73,0.34339536122637865,0.2786245465500284,0.4906246762093422,0.22372192212034814,0.39463642303827823,1.3226415116357955,middle,JP Faulkner,2013,49252953.84752,2.685405459600457
2013,KW Richardson,Lucknow Super Giants,0,18,9.33,3,16.67,2,11.11,0.025593677874769075,0.38159156714845,0.2501376105434023,0.18690991905579135,-0.229223437554744,0.6987816510427733,middle,KW Richardson,2013,86192669.23316,0.8107205140062403
2013,MC Henriques,Royal Challengers Bengaluru,1,24,14.0,3,12.5,8,33.33,0.07099391835357045,0.5934223980711942,0.20566616647125283,0.49910942596207064,-0.406369076177638,0.5216360124198793,middle,MC Henriques,2013,36939715.38564,1.412127860147674
2013,MS Gony,Punjab Kings,7,126,9.0,47,37.3,27,21.43,0.34339536122637865,0.3666227932288557,0.47014861562935967,0.3319098700581677,0.2964574179336577,1.224462506531175,middle,MS Gony,2013,61566192.30940001,1.9888553451180746
2013,NLTC Perera,Sunrisers Hyderabad,4,126,6.9,43,34.13,15,11.9,0.20719463978997454,0.2713669591950736,0.43634178644261784,0.19800972150655466,0.18499898396037734,1.1130040725578947,middle,NLTC Perera,2013,83114359.61769001,1.3391236817290035
2013,NM Coulter-Nile,Mumbai Indians,0,6,12.0,0,0.0,2,33.33,0.025593677874769075,0.5027025561342587,0.07235848040365864,0.49910942596207064,-0.44188586916656997,0.4861192194309473,middle,NM Coulter-Nile,2013,55409573.07846001,0.8773199149948369
2013,SMSM Senanayake,Kolkata Knight Riders,4,54,9.44,14,25.93,10,18.52,0.20719463978997454,0.3865811584549815,0.348891944382276,0.2910232559673813,0.04798996504218315,0.9759950536397004,middle,SMSM Senanayake,2013,76957740.38675001,1.2682220771229136
2014,A Mishra,Sunrisers Hyderabad,3,162,8.11,52,32.1,23,14.2,0.17941441735530966,0.30370101892454693,0.42314378318213797,0.20975773944329645,0.11115239795930906,1.0391574865568263,middle,A Mishra,2014,92008373.22575,1.129416215203772
2014,A Mishra,Sunrisers Hyderabad,3,162,8.11,52,32.1,23,14.2,0.17941441735530966,0.30370101892454693,0.42314378318213797,0.20975773944329645,0.11115239795930906,1.0391574865568263,middle,A Mishra,2014,1937018.3837,53.647270222179166
2014,A Mishra,Sunrisers Hyderabad,3,162,8.11,52,32.1,23,14.2,0.17941441735530966,0.30370101892454693,0.42314378318213797,0.20975773944329645,0.11115239795930906,1.0391574865568263,middle,A Mishra,2014,1937018.3837,53.647270222179166
2014,A Nehra,Chennai Super Kings,0,12,16.5,2,16.67,5,41.67,0.025661740602515005,0.6531529556540906,0.24940005053712788,0.582741544054872,-0.5257580472693361,0.40224704132818123,middle,A Nehra,2014,38740367.673999995,1.0383149811924557
2014,AB Dinda,Royal Challengers Bengaluru,1,84,6.07,31,36.9,3,3.57,0.07691263285344656,0.2187329675624172,0.4771923843938066,0.06542509135370611,0.0704552722776368,0.9984603608751541,middle,AB Dinda,2014,29055275.7555,3.436416743304015
2014,AD Russell,Kolkata Knight Riders,1,12,10.0,3,25.0,3,25.0,0.07691263285344656,0.38242141945122604,0.34319689388987795,0.3563986236735482,-0.15888884284855725,0.76911624574896,middle,AD Russell,2014,11622110.302199999,6.617698728976705
2014,AR Patel,Punjab Kings,10,258,6.02,107,41.47,27,10.47,0.5381706631118305,0.21665041728393358,0.5286511567974163,0.15911232294525582,0.7607085432907726,1.68871363188829,middle,AR Patel,2014,14527637.87775,11.624144586331287
2014,B Kumar,Sunrisers Hyderabad,4,44,7.36,16,36.36,7,15.91,0.2306653096062412,0.27246276474729336,0.4711119167574939,0.23297587944641965,0.22276615174949135,1.1507712403470087,middle,B Kumar,2014,82323281.30725,1.3978685276793787
