season,player,team,wickets,balls,economy,dot_balls,dot_pct,boundaries_conceded,boundary_pct_conceded,wickets_z,economy_z,dot_pct_z,boundary_pct_conceded_z,impact_score,impact_score_pos,phase,name,year,adj_price,ROI,ROI_z
2013,AM Nayar,Lucknow Super Giants,1,42,7.43,10,23.81,3,7.14,0.0709939183535704,0.2954077173083614,0.3262829608252121,0.1311298991449934,-0.0581763878977685,0.8698287006997487,middle,AM Nayar,2013,83114359.61769001,1.0465444295074793,0.010405310728640323
2013,B Laughlin,Chennai Super Kings,1,24,6.75,6,25.0,2,8.33,0.0709939183535704,0.2645629710498034,0.338973852538847,0.1478498547353837,-0.0330373144949097,0.8949677741026075,middle,B Laughlin,2013,2462647.6923760003,36.34168934814743,0.3613287304478359
2013,CH Morris,Chennai Super Kings,4,96,6.88,39,40.63,13,13.54,0.2071946397899745,0.2704597607757042,0.5056617831977669,0.2210523493790253,0.2019122161479234,1.1299173047454407,middle,CH Morris,2013,76957740.38675001,1.4682308745904669,0.014597945429499767
2013,DJG Sammy,Sunrisers Hyderabad,7,78,5.77,34,43.59,8,10.26,0.3433953612263786,0.220110248500705,0.5372290432585731,0.174967093634084,0.465180137289759,1.3931852258872763,middle,DJG Sammy,2013,52331263.46299,2.662242670430788,0.026469456470103517
2013,DP Nannes,Chennai Super Kings,0,18,10.67,5,27.78,4,22.22,0.025593677874769,0.4423738612461967,0.36862148192028,0.343009672508931,-0.273524062110506,0.6544810264870112,middle,DP Nannes,2013,73879430.77128,0.8858771916004462,0.008807870154500692
2013,DT Christian,Royal Challengers Bengaluru,0,6,5.0,1,16.67,0,0.0,0.025593677874769,0.1851831093549849,0.2501376105434023,0.0308101656026517,-0.040876720629344,0.8871283679681733,middle,DT Christian,2013,12313238.46188,7.204671384498838,0.07163273946117538
2013,J Botha,Delhi Capitals,4,72,6.75,25,34.72,8,11.11,0.2071946397899745,0.2645629710498034,0.4426339092250082,0.1869099190557913,0.1945497718014632,1.1225548603989806,middle,J Botha,2013,55409573.07846001,2.025922233346649,0.02014281453865614
2013,JD Unadkat,Royal Challengers Bengaluru,5,168,8.64,48,28.57,30,17.86,0.2525948802687759,0.3502932216802074,0.3770465276797519,0.2817500032869968,0.1554217007055242,1.0834267893030414,middle,JD Unadkat,2013,64644501.92487001,1.6759766987797395,0.016663466770322512
2013,JDP Oram,Mumbai Indians,0,6,8.0,3,50.0,1,16.67,0.025593677874769,0.321262872260388,0.6055892246740354,0.2650300476966065,-0.0899490231332675,0.8380560654642498,middle,JDP Oram,2013,6156619.23094,13.612277031079188,0.13534062027292101
2013,JO Holder,Chennai Super Kings,0,36,7.33,11,30.56,4,11.11,0.025593677874769,0.2908717252115146,0.3982691113017129,0.1869099190557913,-0.1122081137777025,0.8157969748198147,middle,JO Holder,2013,2462647.6923760003,33.12682432592383,0.32936480367731485
2013,JP Faulkner,Rajasthan Royals,7,102,7.06,40,39.22,14,13.73,0.3433953612263786,0.2786245465500284,0.4906246762093422,0.2237219221203481,0.3946364230382782,1.3226415116357957,middle,JP Faulkner,2013,49252953.84752,2.685405459600457,0.026699753447333444
2013,KW Richardson,Lucknow Super Giants,0,18,9.33,3,16.67,2,11.11,0.025593677874769,0.38159156714845,0.2501376105434023,0.1869099190557913,-0.229223437554744,0.6987816510427733,middle,KW Richardson,2013,86192669.23316,0.8107205140062403,0.008060621818309188
2013,MC Henriques,Royal Challengers Bengaluru,1,24,14.0,3,12.5,8,33.33,0.0709939183535704,0.5934223980711942,0.2056661664712528,0.4991094259620706,-0.406369076177638,0.5216360124198793,middle,MC Henriques,2013,36939715.38564,1.412127860147674,0.01404013891729523
2013,MS Gony,Punjab Kings,7,126,9.0,47,37.3,27,21.43,0.3433953612263786,0.3666227932288557,0.4701486156293596,0.3319098700581677,0.2964574179336577,1.224462506531175,middle,MS Gony,2013,61566192.30940001,1.9888553451180744,0.019774275488724343
2013,NLTC Perera,Sunrisers Hyderabad,4,126,6.9,43,34.13,15,11.9,0.2071946397899745,0.2713669591950736,0.4363417864426178,0.1980097215065546,0.1849989839603773,1.113004072557895,middle,NLTC Perera,2013,83114359.61769001,1.3391236817290035,0.013314291892059177
2013,NM Coulter-Nile,Mumbai Indians,0,6,12.0,0,0.0,2,33.33,0.025593677874769,0.5027025561342587,0.0723584804036586,0.4991094259620706,-0.4418858691665699,0.4861192194309473,middle,NM Coulter-Nile,2013,55409573.07846001,0.8773199149948369,0.008722789082391606
2013,SMSM Senanayake,Kolkata Knight Riders,4,54,9.44,14,25.93,10,18.52,0.2071946397899745,0.3865811584549815,0.348891944382276,0.2910232559673813,0.0479899650421831,0.9759950536397004,middle,SMSM Senanayake,2013,76957740.38675001,1.2682220771229136,0.012609349792818574
2014,A Mishra,Sunrisers Hyderabad,3,162,8.11,52,32.1,23,14.2,0.1794144173553096,0.3037010189245469,0.4231437831821379,0.2097577394432964,0.111152397959309,1.0391574865568265,middle,A Mishra,2014,92008373.22575,1.129416215203772,0.011229266842202582
2014,A Mishra,Sunrisers Hyderabad,3,162,8.11,52,32.1,23,14.2,0.1794144173553096,0.3037010189245469,0.4231437831821379,0.2097577394432964,0.111152397959309,1.0391574865568265,middle,A Mishra,2014,1937018.3837,53.647270222179166,0.5333901750046227
2014,A Mishra,Sunrisers Hyderabad,3,162,8.11,52,32.1,23,14.2,0.1794144173553096,0.3037010189245469,0.4231437831821379,0.2097577394432964,0.111152397959309,1.0391574865568265,middle,A Mishra,2014,1937018.3837,53.647270222179166,0.5333901750046227
2014,A Nehra,Chennai Super Kings,0,12,16.5,2,16.67,5,41.67,0.025661740602515,0.6531529556540906,0.2494000505371278,0.582741544054872,-0.5257580472693361,0.4022470413281812,middle,A Nehra,2014,38740367.674,1.0383149811924557,0.010323489102698072
2014,AB Dinda,Royal Challengers Bengaluru,1,84,6.07,31,36.9,3,3.57,0.0769126328534465,0.2187329675624172,0.4771923843938066,0.0654250913537061,0.0704552722776368,0.998460360875154,middle,AB Dinda,2014,29055275.7555,3.436416743304015,0.03416671380498229
2014,AD Russell,Kolkata Knight Riders,1,12,10.0,3,25.0,3,25.0,0.0769126328534465,0.382421419451226,0.3431968938898779,0.3563986236735482,-0.1588888428485572,0.76911624574896,middle,AD Russell,2014,11622110.3022,6.617698728976705,0.06579673986314846
2014,AR Patel,Punjab Kings,10,258,6.02,107,41.47,27,10.47,0.5381706631118305,0.2166504172839335,0.5286511567974163,0.1591123229452558,0.7607085432907726,1.68871363188829,middle,AR Patel,2014,14527637.87775,11.624144586331289,0.11557353225064858
2014,B Kumar,Sunrisers Hyderabad,4,44,7.36,16,36.36,7,15.91,0.2306653096062412,0.2724627647472933,0.4711119167574939,0.2329758794464196,0.2227661517494913,1.1507712403470087,middle,B Kumar,2014,82323281.30725,1.3978685276793787,0.013898364921913658
2014,BCJ Cutting,Rajasthan Royals,1,12,7.0,7,58.33,3,25.0,0.0769126328534465,0.2574684027422116,0.7184968685534026,0.3563986236735482,0.0536635629177116,0.9816686515152288,middle,BCJ Cutting,2014,15496147.0696,6.334920849073798,0.06298520924427105
2014,BE Hendricks,Punjab Kings,0,6,8.0,1,16.67,0,0.0,0.025661740602515,0.2991194083118831,0.2494000505371278,0.0169521323998173,-0.129373327064559,0.7986317615329582,middle,BE Hendricks,2014,34866330.9066,2.290552922452135,0.02277391597194423
2014,BW Hilfenhaus,Chennai Super Kings,2,24,12.5,7,29.17,7,29.17,0.1281635251043781,0.4865489333754047,0.3901516161925151,0.4130182984180066,-0.1625520338696033,0.7654530547279139,middle,BW Hilfenhaus,2014,19370183.837,3.951707744073044,0.0392900156233266
2014,CJ Anderson,Mumbai Indians,0,30,9.8,4,13.33,6,20.0,0.025661740602515,0.3740912183372917,0.2117912321940084,0.288509325418802,-0.2549448591916188,0.6730602294058985,middle,CJ Anderson,2014,87165827.2665,0.7721606626276721,0.007677238921289692
