season,player,team,wickets,balls,economy,dot_balls,dot_pct,boundaries_conceded,boundary_pct_conceded,wickets_z,economy_z,dot_pct_z,boundary_pct_conceded_z,impact_score,impact_score_pos,phase,name,year,adj_price,ROI
2013,AM Nayar,Lucknow Super Giants,1,6,7.0,3,50.0,1,16.67,0.09012591804099229,0.29704459110910236,0.5382984346534175,0.26700558543669384,0.09475499481562374,0.7478320634105298,powerplay,AM Nayar,2013,83114359.61769001,0.8997627688529547
2013,CH Morris,Chennai Super Kings,4,108,8.67,49,45.37,23,21.3,0.2809043870637742,0.3718156113504669,0.493576328025983,0.3295095362819778,0.3176197660718272,0.9706968346667332,powerplay,CH Morris,2013,76957740.38675001,1.261337494823146
2013,DJG Sammy,Sunrisers Hyderabad,0,24,9.75,8,33.33,5,20.83,0.026533095033398336,0.4201705226442835,0.3772795323900627,0.3231646427836445,-0.12173468761175434,0.5313423809831517,powerplay,DJG Sammy,2013,52331263.46299,1.0153440712528001
2013,DP Nannes,Chennai Super Kings,2,48,5.63,21,43.75,4,8.33,0.15371874104858627,0.23570549067157576,0.47792842030752863,0.1544174752747783,0.22522039727439444,0.8782974658693005,powerplay,DP Nannes,2013,73879430.77128,1.1888254372023817
2013,DT Christian,Royal Challengers Bengaluru,0,24,6.75,11,45.83,3,12.5,0.026533095033398336,0.28585132460590407,0.4980195610818404,0.2107115303557361,0.004137542500550387,0.6572146110954564,powerplay,DT Christian,2013,12313238.46188,5.337463520503541
2013,J Botha,Delhi Capitals,1,24,7.5,11,45.83,4,16.67,0.09012591804099229,0.31943112411549895,0.4980195610818404,0.26700558543669384,0.07147806624095232,0.7245551348358583,powerplay,J Botha,2013,55409573.07846001,1.3076352958177238
2013,JD Unadkat,Royal Challengers Bengaluru,5,90,6.27,41,45.56,13,14.44,0.34449721007136813,0.26436025291976334,0.4954115764620981,0.2369010907531121,0.48580894343517755,1.1388860120300834,powerplay,JD Unadkat,2013,64644501.92487001,1.7617677886260144
2013,JDP Oram,Mumbai Indians,0,6,3.0,4,66.67,0,0.0,0.026533095033398336,0.11795232705792971,0.6993173369167724,0.04196436284686992,0.18222580752679038,0.8353028761216964,powerplay,JDP Oram,2013,6156619.23094,13.567557855842278
2013,JO Holder,Chennai Super Kings,2,84,9.21,36,42.86,20,23.81,0.15371874104858627,0.39599306699737524,0.46933173026467406,0.36339396751775815,0.10070230365004235,0.7537793722449484,powerplay,JO Holder,2013,2462647.6923760003,30.608494043973074
2013,JP Faulkner,Rajasthan Royals,7,162,5.81,86,53.09,22,13.58,0.4716828560865561,0.2437646425538785,0.568145369746025,0.22529128562850212,0.711027316651002,1.364104385245908,powerplay,JP Faulkner,2013,49252953.84752,2.76958898641689
2013,KW Richardson,Lucknow Super Giants,1,36,7.17,20,55.56,7,19.44,0.09012591804099229,0.3046560123312772,0.5920035994155203,0.30439995775665857,0.0995819591691742,0.7526590277640802,powerplay,KW Richardson,2013,86192669.23316,0.8732285871412805
2013,MC Henriques,Royal Challengers Bengaluru,5,96,7.75,43,44.79,19,19.79,0.34449721007136813,0.3306243906186972,0.4879739906946845,0.30912487844690684,0.43600084131672756,1.0890779099116337,powerplay,MC Henriques,2013,36939715.38564,2.948257447416618
2013,MS Gony,Punjab Kings,0,24,10.5,9,37.5,9,37.5,0.026533095033398336,0.4537503221538784,0.4175584059616398,0.5482058653734684,-0.17144916981304342,0.4816278987818626,powerplay,MS Gony,2013,61566192.30940001,0.7822928147991491
2013,NLTC Perera,Sunrisers Hyderabad,6,120,7.0,59,49.17,23,19.17,0.40809003307896213,0.29704459110910236,0.5302812967482835,0.30075501893846707,0.5625461393006836,1.2156232078955895,powerplay,NLTC Perera,2013,83114359.61769001,1.4625910775072097
2013,NM Coulter-Nile,Mumbai Indians,1,12,7.5,7,58.33,3,25.0,0.09012591804099229,0.31943112411549895,0.6187595897736181,0.3794586978646023,0.08520945236290393,0.7382865209578099,powerplay,NM Coulter-Nile,2013,55409573.07846001,1.3324169091005187
2013,R McLaren,Kolkata Knight Riders,1,24,15.25,8,33.33,12,50.0,0.09012591804099229,0.6664223857146458,0.3772795323900627,0.7169530328823345,-0.2282290626552826,0.4248480059396234,powerplay,R McLaren,2013,6156619.23094,6.900670481691574
2013,SMSM Senanayake,Kolkata Knight Riders,4,120,5.4,53,44.17,11,9.17,0.2809043870637742,0.22540768548863332,0.48198528527157236,0.16575728493137415,0.4200968664465415,1.0731739350414475,powerplay,SMSM Senanayake,2013,76957740.38675001,1.394497719980118
2014,A Mishra,Sunrisers Hyderabad,2,36,8.0,9,25.0,5,13.89,0.1580807057864993,0.31422494663978423,0.3227163002034796,0.2236522996757614,0.13209301548574842,0.7851700840806544,powerplay,A Mishra,2014,92008373.22575,0.8533680757013017
2014,A Mishra,Sunrisers Hyderabad,2,36,8.0,9,25.0,5,13.89,0.1580807057864993,0.31422494663978423,0.3227163002034796,0.2236522996757614,0.13209301548574842,0.7851700840806544,powerplay,A Mishra,2014,1937018.3837,40.53498359581182
2014,A Mishra,Sunrisers Hyderabad,2,36,8.0,9,25.0,5,13.89,0.1580807057864993,0.31422494663978423,0.3227163002034796,0.2236522996757614,0.13209301548574842,0.7851700840806544,powerplay,A Mishra,2014,1937018.3837,40.53498359581182
