season,player,team,wickets,balls,economy,dot_balls,dot_pct,boundaries_conceded,boundary_pct_conceded,wickets_z,economy_z,dot_pct_z,boundary_pct_conceded_z,impact_score,impact_score_pos,phase,name,year,adj_price,ROI
2017,Basil Thampi,Lucknow Super Giants,1,12,12.5,1,8.33,3,25.0,0.10303796550864269,0.4626806061539106,0.20215050801828102,0.374191000382692,-0.08212744190792351,0.5319018566711099,death,Basil Thampi,2017,13258301.7816,-0.6194416393651618
2017,Basil Thampi,Delhi Capitals,0,6,16.0,1,16.67,2,33.33,0.03863771635483625,0.5879970284868882,0.2857788662990982,0.4554727159984545,-0.22815039177230778,0.38587890680672565,death,Basil Thampi,2017,13258301.7816,-1.7208115754985838
2017,Basil Thampi,Punjab Kings,1,12,15.5,1,8.33,5,41.67,0.10303796550864269,0.5700946824393199,0.20215050801828102,0.5368520087037918,-0.17389137491841716,0.44013792366061627,death,Basil Thampi,2017,13258301.7816,-1.3115659741562473
2017,Basil Thampi,Gujarat Titans,5,58,9.21,14,24.14,10,17.24,0.3606389621238684,0.3448831691609116,0.36068340303263596,0.2984711788726899,0.4216688427694218,1.0356981413484552,death,Basil Thampi,2017,13258301.7816,3.180413673752832
2017,Basil Thampi,Royal Challengers Bengaluru,0,6,10.0,0,0.0,1,16.67,0.03863771635483625,0.37316887591606934,0.11862242354835205,0.29290928476692946,-0.1435970341997466,0.47043226437928687,death,Basil Thampi,2017,13258301.7816,-1.0830726028504791
2014,A Nehra,Chennai Super Kings,4,18,7.33,7,38.89,3,16.67,0.27827936956530475,0.2675595395994297,0.5124818622826302,0.2748793161781329,0.3816760023395344,0.9957053009185679,death,A Nehra,2014,38740367.673999995,0.9852152296316239
2014,A Nehra,Royal Challengers Bengaluru,2,12,11.0,2,16.67,3,25.0,0.15776236058549375,0.39675451048545773,0.26872279350371436,0.3584341331782758,0.05102833478168907,0.6650576333607225,death,A Nehra,2014,38740367.673999995,0.13171876738778593
2022,Lalit Yadav,Delhi Capitals,1,12,11.0,5,41.67,2,16.67,0.06753133168965963,0.3527005365428498,0.5083766034685527,0.23592733270911392,0.0419515641451812,0.6559808627242146,death,Lalit Yadav,2022,8084559.9302,0.5189096810139346
2016,M Ashwin,Lucknow Super Giants,0,15,6.8,7,46.67,2,13.33,0.02497897366775858,0.24273703025318574,0.6004813352657212,0.24313593690909457,0.04757726790735156,0.661606566486385,death,M Ashwin,2016,73637387.9955,0.06461020576973618
2016,M Ashwin,Punjab Kings,1,6,13.0,1,16.67,2,33.33,0.11605058023805889,0.4451090307467403,0.28282611324704976,0.42822898472922555,-0.047588603386260545,0.5664406951927728,death,M Ashwin,2016,73637387.9955,-0.06462559941584117
