season,player,team,wickets,balls,economy,dot_balls,dot_pct,boundaries_conceded,boundary_pct_conceded
2022,Mohsin Khan,Lucknow Super Giants,5,42,8.71,14,33.33,7,16.67
2015,R Dhawan,Punjab Kings,0,12,12.5,2,16.67,3,25.0
2019,DL Chahar,Royal Challengers Bengaluru,1,6,9.0,2,33.33,1,16.67
2016,NLTC Perera,Punjab Kings,0,4,13.5,0,0.0,1,25.0
2017,SN Thakur,Royal Challengers Bengaluru,2,6,10.0,2,33.33,1,16.67
2013,R Vinay Kumar,Delhi Capitals,0,6,17.0,0,0.0,3,50.0
2017,Basil Thampi,Lucknow Super Giants,1,12,12.5,1,8.33,3,25.0
2020,JO Holder,Royal Challengers Bengaluru,2,12,5.0,3,25.0,0,0.0
2014,A Nehra,Chennai Super Kings,4,18,7.33,7,38.89,3,16.67
2020,K Rabada,Royal Challengers Bengaluru,1,12,8.0,5,41.67,2,16.67
2022,Lalit Yadav,Delhi Capitals,1,12,11.0,5,41.67,2,16.67
2016,M Ashwin,Lucknow Super Giants,0,15,6.8,7,46.67,2,13.33
2024,M Pathirana,Chennai Super Kings,4,54,9.11,17,31.48,11,20.37
2017,P Negi,Royal Challengers Bengaluru,4,12,3.5,6,50.0,0,0.0
2023,I Sharma,Royal Challengers Bengaluru,0,6,14.0,0,0.0,2,33.33
2023,K Gowtham,Lucknow Super Giants,0,6,4.0,2,33.33,0,0.0
2020,AD Russell,Royal Challengers Bengaluru,0,12,17.0,2,16.67,3,25.0
2022,Ravi Bishnoi,Lucknow Super Giants,2,18,10.67,5,27.78,5,27.78
2023,Shahbaz Ahmed,Royal Challengers Bengaluru,0,6,19.0,0,0.0,3,50.0
2016,DJ Bravo,Royal Challengers Bengaluru,0,6,30.0,0,0.0,4,66.67
2019,HH Pandya,Punjab Kings,1,12,15.0,2,16.67,4,33.33
2017,UT Yadav,Lucknow Super Giants,1,6,12.0,1,16.67,1,16.67
2019,HF Gurney,Kolkata Knight Riders,1,24,11.75,7,29.17,8,33.33
2016,Sandeep Sharma,Gujarat Titans,1,12,6.5,5,41.67,1,8.33
2013,BAW Mendis,Lucknow Super Giants,0,6,7.0,2,33.33,1,16.67
