season,player,team,wickets,balls,economy,dot_balls,dot_pct,boundaries_conceded,boundary_pct_conceded
2022,Mohsin Khan,Lucknow Super Giants,5,48,8.63,18,37.50,8,16.67
2013,LJ Wright,Lucknow Super Giants,0,5,19.20,0,0.00,2,40.00
2015,R Dhawan,Punjab Kings,0,12,12.50,2,16.67,3,25.00
2014,A Nehra,Chennai Super Kings,6,30,8.80,9,30.00,6,20.00
2022,Lalit Yadav,Delhi Capitals,1,12,11.00,5,41.67,2,16.67
2016,M Ashwin,Lucknow Super Giants,2,27,7.56,11,40.74,4,14.81
2024,M Pathirana,Chennai Super Kings,4,54,9.11,17,31.48,11,20.37
2017,P Negi,Royal Challengers Bengaluru,7,24,4.25,13,54.17,1,4.17
2023,K Gowtham,Lucknow Super Giants,0,6,4.00,2,33.33,0,0.00
2022,Ravi Bishnoi,Lucknow Super Giants,2,24,11.50,6,25.00,7,29.17
2023,Shahbaz Ahmed,Royal Challengers Bengaluru,0,6,19.00,0,0.00,3,50.00
2019,HF Gurney,Kolkata Knight Riders,3,48,13.50,10,20.83,18,37.50
2013,BAW Mendis,Lucknow Super Giants,0,6,7.00,2,33.33,1,16.67
2025,Mohammed Siraj,Gujarat Titans,6,72,10.25,22,30.56,18,25.00
2013,SP Narine,Kolkata Knight Riders,8,126,7.19,48,38.10,17,13.49
2020,JD Unadkat,Rajasthan Royals,3,42,13.14,8,19.05,11,26.19
2024,NT Ellis,Punjab Kings,0,6,8.00,4,66.67,2,33.33
2021,SN Thakur,Chennai Super Kings,7,101,9.92,40,39.60,20,19.80
2020,CH Gayle,Punjab Kings,0,5,6.00,0,0.00,0,0.00
2017,Ankit Soni,Gujarat Titans,0,1,24.00,0,0.00,1,100.00
2018,TA Boult,Delhi Capitals,9,106,9.85,24,22.64,20,18.87
2014,Yuvraj Singh,Royal Challengers Bengaluru,0,12,6.00,2,16.67,0,0.00
2021,L Ngidi,Chennai Super Kings,3,18,10.67,8,44.44,6,33.33
2015,DW Steyn,Sunrisers Hyderabad,0,6,9.00,0,0.00,1,16.67
2013,DR Smith,Mumbai Indians,0,6,12.00,2,33.33,2,33.33
