season,player,team,wickets,balls,economy,dot_balls,dot_pct,boundaries_conceded,boundary_pct_conceded
2013,A Ashish Reddy,Royal Challengers Bengaluru,0,6,13.0,1,16.67,2,33.33
2013,A Ashish Reddy,Sunrisers Hyderabad,2,24,8.25,6,25.0,4,16.67
2013,A Chandila,Rajasthan Royals,0,12,10.0,2,16.67,3,25.0
2013,A Chandila,Royal Challengers Bengaluru,0,12,5.5,6,50.0,1,8.33
2013,A Mishra,Delhi Capitals,1,24,3.75,10,41.67,0,0.0
2013,A Mishra,Lucknow Super Giants,0,18,5.67,6,33.33,1,5.56
2013,A Mishra,Punjab Kings,0,12,10.0,5,41.67,3,25.0
2013,A Mishra,Royal Challengers Bengaluru,0,24,10.5,7,29.17,6,25.0
2013,A Mishra,Sunrisers Hyderabad,13,252,5.64,105,41.67,18,7.14
2013,A Mithun,Royal Challengers Bengaluru,0,6,6.0,1,16.67,0,0.0
2013,A Nehra,Delhi Capitals,2,42,9.14,12,28.57,7,16.67
2013,A Nehra,Punjab Kings,1,6,5.0,4,66.67,1,16.67
2013,A Nehra,Royal Challengers Bengaluru,0,6,8.0,2,33.33,1,16.67
2013,AA Chavan,Rajasthan Royals,1,6,10.0,2,33.33,1,16.67
2013,AB Agarkar,Delhi Capitals,0,36,7.33,11,30.56,4,11.11
2013,AB Dinda,Delhi Capitals,1,6,1.0,5,83.33,0,0.0
2013,AB Dinda,Lucknow Super Giants,4,42,7.29,14,33.33,6,14.29
2013,AB Dinda,Punjab Kings,0,6,9.0,2,33.33,1,16.67
2013,AB Dinda,Royal Challengers Bengaluru,0,6,15.0,1,16.67,2,33.33
2013,AB McDonald,Royal Challengers Bengaluru,0,6,11.0,1,16.67,2,33.33
2013,AD Mascarenhas,Punjab Kings,0,12,6.0,4,33.33,1,8.33
2013,AD Mathews,Lucknow Super Giants,1,84,8.64,21,25.0,12,14.29
2013,AD Russell,Delhi Capitals,0,30,9.4,9,30.0,6,20.0
2013,AG Murtaza,Lucknow Super Giants,2,42,6.71,12,28.57,5,11.9
2013,AG Murtaza,Royal Challengers Bengaluru,0,6,28.0,0,0.0,5,83.33
2013,AJ Finch,Lucknow Super Giants,1,12,8.5,1,8.33,2,16.67
2013,AJ Finch,Royal Challengers Bengaluru,0,6,29.0,0,0.0,5,83.33
2013,AM Nayar,Delhi Capitals,1,12,7.5,4,33.33,1,8.33
2013,AM Nayar,Lucknow Super Giants,0,30,7.4,6,20.0,2,6.67
2013,AN Ahmed,Mumbai Indians,1,12,4.0,7,58.33,1,8.33
2013,Anand Rajan,Delhi Capitals,1,18,6.33,6,33.33,1,5.56
2013,Ankit Sharma,Sunrisers Hyderabad,0,6,7.0,2,33.33,1,16.67
2013,Azhar Mahmood,Punjab Kings,1,60,6.6,20,33.33,7,11.67
2013,B Kumar,Lucknow Super Giants,2,42,7.43,11,26.19,5,11.9
2013,B Kumar,Punjab Kings,0,6,8.0,1,16.67,1,16.67
2013,B Laughlin,Chennai Super Kings,1,24,6.75,6,25.0,2,8.33
2013,BA Bhatt,Delhi Capitals,1,12,5.5,4,33.33,1,8.33
2013,BA Bhatt,Punjab Kings,0,12,6.0,5,41.67,1,8.33
2013,BAW Mendis,Lucknow Super Giants,0,18,8.67,3,16.67,3,16.67
