season,player,team,wickets,balls,economy,dot_balls,dot_pct,boundaries_conceded,boundary_pct_conceded
2013,A Ashish Reddy,Sunrisers Hyderabad,2,30,9.20,7,23.33,6,20.00
2013,A Chandila,Rajasthan Royals,0,24,7.75,8,33.33,4,16.67
2013,A Mishra,Sunrisers Hyderabad,14,330,6.02,133,40.30,28,8.48
2013,A Mithun,Royal Challengers Bengaluru,0,6,6.00,1,16.67,0,0.00
2013,A Nehra,Delhi Capitals,3,54,8.56,18,33.33,9,16.67
2013,AA Chavan,Rajasthan Royals,1,6,10.00,2,33.33,1,16.67
2013,AB Agarkar,Delhi Capitals,0,36,7.33,11,30.56,4,11.11
2013,AB Dinda,Lucknow Super Giants,5,60,7.60,22,36.67,9,15.00
2013,AB McDonald,Royal Challengers Bengaluru,0,6,11.00,1,16.67,2,33.33
2013,AD Mascarenhas,Punjab Kings,0,12,6.00,4,33.33,1,8.33
2013,AD Mathews,Lucknow Super Giants,1,84,8.64,21,25.00,12,14.29
2013,AD Russell,Delhi Capitals,0,30,9.40,9,30.00,6,20.00
2013,AG Murtaza,Lucknow Super Giants,2,48,9.38,12,25.00,10,20.83
2013,AJ Finch,Lucknow Super Giants,1,18,15.33,1,5.56,7,38.89
2013,AM Nayar,Lucknow Super Giants,1,42,7.43,10,23.81,3,7.14
2013,AN Ahmed,Mumbai Indians,1,12,4.00,7,58.33,1,8.33
2013,Anand Rajan,Sunrisers Hyderabad,1,18,6.33,6,33.33,1,5.56
2013,Ankit Sharma,Sunrisers Hyderabad,0,6,7.00,2,33.33,1,16.67
2013,Azhar Mahmood,Punjab Kings,1,60,6.60,20,33.33,7,11.67
2013,B Kumar,Lucknow Super Giants,2,48,7.50,12,25.00,6,12.50
2013,B Laughlin,Chennai Super Kings,1,24,6.75,6,25.00,2,8.33
2013,BA Bhatt,Punjab Kings,1,24,5.75,9,37.50,2,8.33
2013,BAW Mendis,Lucknow Super Giants,0,30,8.80,6,20.00,5,16.67
2013,Bipul Sharma,Punjab Kings,0,12,5.00,5,41.67,1,8.33
2013,BJ Rohrer,Delhi Capitals,0,6,12.00,1,16.67,2,33.33
2013,BMAJ Mendis,Delhi Capitals,0,24,8.50,7,29.17,4,16.67
2013,CH Gayle,Royal Challengers Bengaluru,0,6,8.00,2,33.33,1,16.67
2013,CH Morris,Chennai Super Kings,4,96,6.88,39,40.63,13,13.54
2013,CL White,Sunrisers Hyderabad,1,12,8.00,5,41.67,2,16.67
2013,DJ Bravo,Chennai Super Kings,10,204,7.94,67,32.84,31,15.20
2013,DJ Hussey,Punjab Kings,0,42,5.71,13,30.95,2,4.76
2013,DJG Sammy,Sunrisers Hyderabad,7,78,5.77,34,43.59,8,10.26
2013,DP Nannes,Chennai Super Kings,0,18,10.67,5,27.78,4,22.22
2013,DR Smith,Mumbai Indians,2,24,11.75,5,20.83,7,29.17
2013,DS Kulkarni,Mumbai Indians,2,24,9.50,8,33.33,5,20.83
2013,DT Christian,Royal Challengers Bengaluru,0,6,5.00,1,16.67,0,0.00
2013,DW Steyn,Sunrisers Hyderabad,3,90,5.60,38,42.22,7,7.78
2013,GB Hogg,Rajasthan Royals,0,12,10.00,2,16.67,2,16.67
2013,GH Vihari,Sunrisers Hyderabad,0,6,1.00,5,83.33,0,0.00
2013,GJ Maxwell,Mumbai Indians,0,12,12.00,2,16.67,3,25.00
2013,Harbhajan Singh,Mumbai Indians,16,282,6.60,101,35.82,27,9.57
2013,Harmeet Singh,Punjab Kings,3,24,8.00,10,41.67,4,16.67
2013,Harmeet Singh,Rajasthan Royals,1,12,5.50,8,66.67,1,8.33
2013,I Sharma,Sunrisers Hyderabad,1,66,9.55,15,22.73,11,16.67
2013,IC Pandey,Lucknow Super Giants,0,6,12.00,0,0.00,2,33.33
2013,IK Pathan,Delhi Capitals,6,108,8.33,32,29.63,19,17.59
2013,Iqbal Abdulla,Kolkata Knight Riders,6,72,7.08,26,36.11,10,13.89
2013,J Botha,Delhi Capitals,4,72,6.75,25,34.72,8,11.11
2013,J Syed Mohammad,Royal Challengers Bengaluru,3,54,9.44,10,18.52,10,18.52
2013,JA Morkel,Chennai Super Kings,2,30,5.80,12,40.00,2,6.67
2013,JD Unadkat,Royal Challengers Bengaluru,5,168,8.64,48,28.57,30,17.86
2013,JDP Oram,Mumbai Indians,0,6,8.00,3,50.00,1,16.67
2013,JH Kallis,Kolkata Knight Riders,5,150,8.08,49,32.67,21,14.00
2013,JJ Bumrah,Mumbai Indians,1,12,9.50,4,33.33,3,25.00
2013,JO Holder,Chennai Super Kings,0,36,7.33,11,30.56,4,11.11
2013,JP Faulkner,Rajasthan Royals,7,102,7.06,40,39.22,14,13.73
2013,K Upadhyay,Lucknow Super Giants,0,6,6.00,2,33.33,0,0.00
2013,KA Pollard,Mumbai Indians,6,126,8.95,38,30.16,23,18.25
2013,KK Cooper,Rajasthan Royals,9,150,7.60,44,29.33,19,12.67
2013,KV Sharma,Sunrisers Hyderabad,9,156,6.42,67,42.95,17,10.90
2013,KW Richardson,Lucknow Super Giants,0,18,9.33,3,16.67,2,11.11
2013,L Balaji,Kolkata Knight Riders,6,96,7.69,26,27.08,11,11.46
2013,LJ Wright,Lucknow Super Giants,2,54,9.44,12,22.22,9,16.67
2013,LR Shukla,Kolkata Knight Riders,1,18,7.33,7,38.89,3,16.67
2013,M Kartik,Royal Challengers Bengaluru,6,192,7.53,60,31.25,22,11.46
2013,M Morkel,Delhi Capitals,2,78,7.31,27,34.62,10,12.82
2013,M Muralitharan,Royal Challengers Bengaluru,2,102,7.71,33,32.35,15,14.71
2013,MC Henriques,Royal Challengers Bengaluru,1,24,14.00,3,12.50,8,33.33
