season,player,team,wickets,balls,economy,dot_balls,dot_pct,boundaries_conceded,boundary_pct_conceded
2013,A Chandila,Punjab Kings,0,18,7.67,6,33.33,2,11.11
2013,A Chandila,Rajasthan Royals,3,54,6.67,24,44.44,8,14.81
2013,A Mishra,Sunrisers Hyderabad,0,12,10.5,5,41.67,4,33.33
2013,A Mithun,Royal Challengers Bengaluru,0,12,8.0,6,50.0,3,25.0
2013,A Nehra,Delhi Capitals,2,90,7.6,40,44.44,18,20.0
2013,A Nehra,Punjab Kings,0,12,13.5,5,41.67,5,41.67
2013,A Nehra,Royal Challengers Bengaluru,1,12,10.5,6,50.0,4,33.33
2013,AA Chavan,Rajasthan Royals,0,36,7.17,20,55.56,6,16.67
2013,AB Agarkar,Delhi Capitals,0,12,12.0,3,25.0,4,33.33
2013,AB Dinda,Delhi Capitals,1,6,4.0,5,83.33,1,16.67
2013,AB Dinda,Lucknow Super Giants,2,84,8.36,38,45.24,21,25.0
2013,AB Dinda,Punjab Kings,0,6,8.0,3,50.0,1,16.67
2013,AB Dinda,Royal Challengers Bengaluru,0,6,5.0,4,66.67,1,16.67
2013,AB McDonald,Royal Challengers Bengaluru,1,6,6.0,3,50.0,1,16.67
2013,AD Mascarenhas,Punjab Kings,0,12,6.5,3,25.0,1,8.33
2013,AD Mathews,Lucknow Super Giants,1,54,6.22,19,35.19,6,11.11
2013,AD Russell,Delhi Capitals,0,6,9.0,1,16.67,1,16.67
2013,AG Murtaza,Lucknow Super Giants,1,6,3.0,4,66.67,0,0.0
2013,AG Murtaza,Royal Challengers Bengaluru,0,6,18.0,1,16.67,3,50.0
2013,AM Nayar,Lucknow Super Giants,1,6,7.0,3,50.0,1,16.67
2013,AN Ahmed,Lucknow Super Giants,0,18,7.33,8,44.44,3,16.67
2013,AN Ahmed,Mumbai Indians,0,6,10.0,4,66.67,2,33.33
2013,Anand Rajan,Delhi Capitals,0,6,1.0,5,83.33,0,0.0
2013,Anand Rajan,Sunrisers Hyderabad,0,18,4.67,11,61.11,1,5.56
2013,Ankit Sharma,Sunrisers Hyderabad,0,6,10.0,3,50.0,1,16.67
2013,AS Rajpoot,Chennai Super Kings,1,18,8.67,7,38.89,4,22.22
2013,AS Rajpoot,Punjab Kings,0,6,11.0,1,16.67,2,33.33
2013,Azhar Mahmood,Lucknow Super Giants,1,12,3.0,6,50.0,0,0.0
2013,Azhar Mahmood,Punjab Kings,3,90,7.27,41,45.56,14,15.56
2013,Azhar Mahmood,Royal Challengers Bengaluru,0,6,3.0,3,50.0,0,0.0
2013,B Kumar,Delhi Capitals,0,12,11.0,8,66.67,3,25.0
2013,B Kumar,Lucknow Super Giants,5,120,4.85,74,61.67,13,10.83
2013,B Kumar,Punjab Kings,0,6,11.0,1,16.67,1,16.67
2013,B Kumar,Royal Challengers Bengaluru,0,12,2.5,11,91.67,1,8.33
2013,B Lee,Delhi Capitals,0,12,5.5,5,41.67,1,8.33
2013,B Lee,Kolkata Knight Riders,1,18,7.33,8,44.44,3,16.67
2013,BA Bhatt,Punjab Kings,0,6,9.0,3,50.0,2,33.33
2013,BAW Mendis,Lucknow Super Giants,1,24,1.75,17,70.83,0,0.0
2013,BAW Mendis,Punjab Kings,1,12,10.0,4,33.33,3,25.0
2013,Bipul Sharma,Punjab Kings,1,12,5.5,6,50.0,1,8.33
2013,BMAJ Mendis,Delhi Capitals,1,6,2.0,4,66.67,0,0.0
2013,CH Morris,Chennai Super Kings,3,60,8.9,26,43.33,13,21.67
2013,CH Morris,Delhi Capitals,1,12,6.5,8,66.67,2,16.67
2013,CH Morris,Lucknow Super Giants,0,12,7.0,6,50.0,2,16.67
2013,CH Morris,Punjab Kings,0,12,8.0,6,50.0,3,25.0
2013,CH Morris,Royal Challengers Bengaluru,0,12,12.0,3,25.0,3,25.0
2013,DJ Bravo,Chennai Super Kings,1,6,8.0,3,50.0,1,16.67
2013,DJ Bravo,Royal Challengers Bengaluru,1,6,10.0,2,33.33,2,33.33
2013,DJ Hussey,Punjab Kings,0,18,8.67,5,27.78,4,22.22
2013,DJG Sammy,Sunrisers Hyderabad,0,24,9.75,8,33.33,5,20.83
2013,DP Nannes,Chennai Super Kings,0,36,5.67,15,41.67,3,8.33
2013,DP Nannes,Punjab Kings,2,12,5.5,6,50.0,1,8.33
2013,DS Kulkarni,Mumbai Indians,3,48,7.25,27,56.25,9,18.75
2013,DS Kulkarni,Punjab Kings,0,4,18.0,1,25.0,3,75.0
2013,DT Christian,Royal Challengers Bengaluru,0,24,6.75,11,45.83,3,12.5
2013,DW Steyn,Delhi Capitals,0,6,4.0,2,33.33,0,0.0
2013,DW Steyn,Lucknow Super Giants,0,12,11.0,5,41.67,4,33.33
2013,DW Steyn,Punjab Kings,0,6,10.0,2,33.33,2,33.33
2013,DW Steyn,Royal Challengers Bengaluru,0,12,3.0,9,75.0,1,8.33
2013,DW Steyn,Sunrisers Hyderabad,1,96,5.25,57,59.38,9,9.38
2013,GB Hogg,Rajasthan Royals,0,6,7.0,2,33.33,0,0.0
2013,GH Vihari,Punjab Kings,0,6,4.0,3,50.0,0,0.0
2013,GH Vihari,Sunrisers Hyderabad,1,12,10.0,3,25.0,3,25.0
2013,Harbhajan Singh,Delhi Capitals,0,6,10.0,0,0.0,1,16.67
