season,player,team,phase,adj_price,ROI_z,impact_score_pos
2014,Sandeep Sharma,Punjab Kings,bowl_pp,1937018.384,1,1.967290488
2016,A Mishra,Delhi Capitals,bowl_mid,1636386.4,1,1.645843278
2017,RA Tripathi,Lucknow Super Giants,bat_pp,1559800.21,1,1.185514284
2015,HH Pandya,Mumbai Indians,bat_death,1745533.373,1,0.910498952
2023,SA Yadav,Mumbai Indians,bat_mid,2366172.265,1,0.965152728
2017,JD Unadkat,Lucknow Super Giants,bowl_death,4679400.629,1,1.760638539
2014,PV Tambe,Rajasthan Royals,bowl_mid,1937018.384,0.983543952,1.916152769
2014,YS Chahal,Royal Challengers Bengaluru,bowl_mid,1937018.384,0.879115253,1.712703457
2016,Sachin Baby,Royal Challengers Bengaluru,bat_death,1636386.4,0.852833597,0.72828923
2024,Abhishek Sharma,Sunrisers Hyderabad,bat_pp,2217593.5,0.802809967,1.353730838
2015,J Suchith,Mumbai Indians,bowl_mid,1745533.373,0.799548931,1.403704913
2022,Kuldeep Yadav,Delhi Capitals,bowl_mid,2487556.902,0.785799106,1.966016557
2023,MM Sharma,Gujarat Titans,bowl_death,5915430.661,0.732288552,1.630235955
2024,Naman Dhir,Mumbai Indians,bat_death,2217593.5,0.70691572,0.818628904
2023,SA Yadav,Mumbai Indians,bat_death,2366172.265,0.7037061,0.869526321
2014,P Suyal,Mumbai Indians,bowl_mid,1937018.384,0.684696158,1.333933716
2023,Tilak Varma,Mumbai Indians,bat_pp,2366172.265,0.67363519,1.212559251
2014,S Gopal,Mumbai Indians,bowl_mid,1937018.384,0.613848662,1.195907729
2022,AR Patel,Delhi Capitals,bat_death,2487556.902,0.613641611,0.797585524
2016,Sachin Baby,Royal Challengers Bengaluru,bowl_mid,1636386.4,0.61268609,1.008385283
2022,Tilak Varma,Mumbai Indians,bat_mid,2487556.902,0.607460849,0.616369301
2022,RK Singh,Kolkata Knight Riders,bat_death,2487556.902,0.606390334,0.788202046
2021,Arshdeep Singh,Punjab Kings,bowl_pp,2652233.169,0.602499003,1.622941195
2016,Iqbal Abdulla,Royal Challengers Bengaluru,bowl_mid,1636386.4,0.602272449,0.991246061
2016,P Sahu,Punjab Kings,bowl_mid,1636386.4,0.600646886,0.988570639
2023,Yash Thakur,Lucknow Super Giants,bowl_death,5323887.595,0.59005656,1.182486218
2017,RD Chahar,Lucknow Super Giants,bowl_mid,1559800.21,0.584893702,0.917589713
2016,Iqbal Abdulla,Royal Challengers Bengaluru,bowl_pp,1636386.4,0.577432367,0.959669594
2016,A Mishra,Delhi Capitals,bowl_pp,1636386.4,0.574957654,0.95555672
2015,J Suchith,Mumbai Indians,bat_death,1745533.373,0.573788501,0.523482296
2016,MM Sharma,Punjab Kings,bowl_pp,1636386.4,0.573740225,0.9535334
2016,MM Sharma,Punjab Kings,bowl_pp,1636386.4,0.573740225,0.9535334
2023,Tilak Varma,Mumbai Indians,bat_death,2366172.265,0.567463022,0.701824745
2015,MJ McClenaghan,Mumbai Indians,bowl_death,5236600.118,0.563943009,1.111680677
2022,JM Sharma,Punjab Kings,bat_death,2487556.902,0.555864709,0.722819616
2024,Arshdeep Singh,Punjab Kings,bowl_pp,2217593.5,0.555622926,1.251402007
2018,Mandeep Singh,Royal Challengers Bengaluru,bat_death,2984692.326,0.551596977,0.860647966
2016,A Zampa,Lucknow Super Giants,bowl_death,4909159.2,0.548461047,1.013589905
2018,S Gopal,Rajasthan Royals,bowl_mid,2984692.326,0.537751593,1.614298678
2020,SA Yadav,Mumbai Indians,bat_mid,2778744.691,0.535598882,0.607068909
2014,A Mishra,Sunrisers Hyderabad,bowl_mid,1937018.384,0.533390175,1.039157487
2014,A Mishra,Sunrisers Hyderabad,bowl_mid,1937018.384,0.533390175,1.039157487
2020,SA Yadav,Mumbai Indians,bat_death,2778744.691,0.532645791,0.773867769
2024,T Stubbs,Delhi Capitals,bat_death,5543983.75,0.526550108,1.526394208
2017,SS Agarwal,Gujarat Titans,bowl_mid,1559800.21,0.513871521,0.806169087
2024,Rasikh Salam,Delhi Capitals,bowl_mid,2217593.5,0.513291466,1.144850031
2017,SA Yadav,Kolkata Knight Riders,bat_death,1559800.21,0.51266566,0.418185007
2024,RK Singh,Kolkata Knight Riders,bat_death,2217593.5,0.512134443,0.593927656
2016,DL Chahar,Lucknow Super Giants,bowl_mid,1636386.4,0.511916787,0.842534803
2018,M Markande,Mumbai Indians,bowl_mid,2984692.326,0.504609345,1.514807597
2014,R Tewatia,Rajasthan Royals,bowl_mid,1937018.384,0.502778819,0.979520055
2023,Arshdeep Singh,Punjab Kings,bowl_pp,2366172.265,0.497595488,1.195797228
