match_id,inning,over,ball,batting_team,batsman,bowler,runs_batsman,runs_extras,runs_total,inning_runs,extras_type,wicket_kind,player_out,inning_wickets
1001,1,0,1,Sunrisers Hyderabad,DA Warner,TS Mills,0,0,0,0,,,,0
1001,1,0,2,Sunrisers Hyderabad,DA Warner,TS Mills,0,0,0,0,,,,0
1001,1,0,3,Sunrisers Hyderabad,DA Warner,TS Mills,4,0,4,4,,,,0
1001,1,0,4,Sunrisers Hyderabad,DA Warner,TS Mills,0,0,0,4,,,,0
1001,1,0,5,Sunrisers Hyderabad,DA Warner,TS Mills,0,2,2,6,wides,,,0
1001,1,0,6,Sunrisers Hyderabad,S Dhawan,TS Mills,0,0,0,6,,,,0
1001,1,0,7,Sunrisers Hyderabad,S Dhawan,TS Mills,0,1,1,7,legbyes,,,0
1001,1,1,1,Sunrisers Hyderabad,S Dhawan,A Choudhary,1,0,1,8,,,,0
1001,1,1,2,Sunrisers Hyderabad,DA Warner,A Choudhary,4,0,4,12,,,,0
1001,1,1,3,Sunrisers Hyderabad,DA Warner,A Choudhary,0,1,1,13,noballs,,,0
1001,1,1,4,Sunrisers Hyderabad,DA Warner,A Choudhary,6,0,6,19,,,,0
1001,1,1,5,Sunrisers Hyderabad,DA Warner,A Choudhary,0,0,0,19,,caught,DA Warner,1
1001,1,1,6,Sunrisers Hyderabad,MC Henriques,A Choudhary,0,0,0,19,,,,1
1001,1,1,7,Sunrisers Hyderabad,MC Henriques,A Choudhary,4,0,4,23,,,,1
1001,1,2,1,Sunrisers Hyderabad,S Dhawan,TS Mills,1,0,1,24,,,,1
1001,1,2,2,Sunrisers Hyderabad,MC Henriques,TS Mills,0,0,0,24,,,,1
1001,1,2,3,Sunrisers Hyderabad,MC Henriques,TS Mills,0,0,0,24,,,,1
1001,1,2,4,Sunrisers Hyderabad,MC Henriques,TS Mills,3,0,3,27,,,,1
1001,1,2,5,Sunrisers Hyderabad,S Dhawan,TS Mills,1,0,1,28,,,,1
1001,1,2,6,Sunrisers Hyderabad,MC Henriques,TS Mills,1,0,1,29,,,,1
1001,1,3,1,Sunrisers Hyderabad,MC Henriques,YS Chahal,0,0,0,29,,,,1
1001,1,3,2,Sunrisers Hyderabad,MC Henriques,YS Chahal,1,0,1,30,,,,1
1001,1,3,3,Sunrisers Hyderabad,S Dhawan,YS Chahal,0,0,0,30,,,,1
1001,1,3,4,Sunrisers Hyderabad,S Dhawan,YS Chahal,1,0,1,31,,,,1
1001,1,3,5,Sunrisers Hyderabad,MC Henriques,YS Chahal,1,0,1,32,,,,1
1001,1,3,6,Sunrisers Hyderabad,S Dhawan,YS Chahal,1,0,1,33,,,,1
1001,1,4,1,Sunrisers Hyderabad,S Dhawan,S Aravind,1,0,1,34,,,,1
1001,1,4,2,Sunrisers Hyderabad,MC Henriques,S Aravind,1,0,1,35,,,,1
1001,1,4,3,Sunrisers Hyderabad,S Dhawan,S Aravind,1,0,1,36,,,,1
1001,1,4,4,Sunrisers Hyderabad,MC Henriques,S Aravind,2,0,2,38,,,,1
1001,1,4,5,Sunrisers Hyderabad,MC Henriques,S Aravind,4,0,4,42,,,,1
1001,1,4,6,Sunrisers Hyderabad,MC Henriques,S Aravind,0,0,0,42,,,,1
1001,1,5,1,Sunrisers Hyderabad,S Dhawan,SR Watson,4,0,4,46,,,,1
1001,1,5,2,Sunrisers Hyderabad,S Dhawan,SR Watson,4,0,4,50,,,,1
1001,1,5,3,Sunrisers Hyderabad,S Dhawan,SR Watson,0,0,0,50,,,,1
1001,1,5,4,Sunrisers Hyderabad,S Dhawan,SR Watson,4,0,4,54,,,,1
1001,1,5,5,Sunrisers Hyderabad,S Dhawan,SR Watson,4,0,4,58,,,,1
1001,1,5,6,Sunrisers Hyderabad,S Dhawan,SR Watson,1,0,1,59,,,,1
1001,1,6,1,Sunrisers Hyderabad,S Dhawan,YS Chahal,1,0,1,60,,,,1
1001,1,6,2,Sunrisers Hyderabad,MC Henriques,YS Chahal,0,0,0,60,,,,1
1001,1,6,3,Sunrisers Hyderabad,MC Henriques,YS Chahal,1,0,1,61,,,,1
1001,1,6,4,Sunrisers Hyderabad,S Dhawan,YS Chahal,1,0,1,62,,,,1
1001,1,6,5,Sunrisers Hyderabad,MC Henriques,YS Chahal,1,0,1,63,,,,1
1001,1,6,6,Sunrisers Hyderabad,S Dhawan,YS Chahal,1,0,1,64,,,,1
1001,1,7,1,Sunrisers Hyderabad,S Dhawan,TM Head,1,0,1,65,,,,1
1001,1,7,2,Sunrisers Hyderabad,MC Henriques,TM Head,1,0,1,66,,,,1
1001,1,7,3,Sunrisers Hyderabad,S Dhawan,TM Head,1,0,1,67,,,,1
1001,1,7,4,Sunrisers Hyderabad,MC Henriques,TM Head,6,0,6,73,,,,1
1001,1,7,5,Sunrisers Hyderabad,MC Henriques,TM Head,1,0,1,74,,,,1
1001,1,7,6,Sunrisers Hyderabad,S Dhawan,TM Head,1,0,1,75,,,,1
1001,1,8,1,Sunrisers Hyderabad,S Dhawan,YS Chahal,2,0,2,77,,,,1
1001,1,8,2,Sunrisers Hyderabad,S Dhawan,YS Chahal,1,0,1,78,,,,1
1001,1,8,3,Sunrisers Hyderabad,MC Henriques,YS Chahal,1,0,1,79,,,,1
1001,1,8,4,Sunrisers Hyderabad,S Dhawan,YS Chahal,1,0,1,80,,,,1
1001,1,8,5,Sunrisers Hyderabad,MC Henriques,YS Chahal,2,0,2,82,,,,1
1001,1,8,6,Sunrisers Hyderabad,MC Henriques,YS Chahal,2,0,2,84,,,,1
1001,1,9,1,Sunrisers Hyderabad,S Dhawan,A Choudhary,0,0,0,84,,,,1
1001,1,9,2,Sunrisers Hyderabad,S Dhawan,A Choudhary,1,0,1,85,,,,1
1001,1,9,3,Sunrisers Hyderabad,MC Henriques,A Choudhary,1,0,1,86,,,,1
1001,1,9,4,Sunrisers Hyderabad,S Dhawan,A Choudhary,1,0,1,87,,,,1
1001,1,9,5,Sunrisers Hyderabad,MC Henriques,A Choudhary,1,0,1,88,,,,1
1001,1,9,6,Sunrisers Hyderabad,S Dhawan,A Choudhary,0,0,0,88,,,,1
1001,1,10,1,Sunrisers Hyderabad,MC Henriques,STR Binny,1,0,1,89,,,,1
1001,1,10,2,Sunrisers Hyderabad,S Dhawan,STR Binny,4,0,4,93,,,,1
1001,1,10,3,Sunrisers Hyderabad,S Dhawan,STR Binny,0,0,0,93,,caught,S Dhawan,2
1001,1,10,4,Sunrisers Hyderabad,MC Henriques,STR Binny,1,0,1,94,,,,2
1001,1,10,5,Sunrisers Hyderabad,Yuvraj Singh,STR Binny,2,0,2,96,,,,2
1001,1,10,6,Sunrisers Hyderabad,Yuvraj Singh,STR Binny,2,0,2,98,,,,2
1001,1,11,1,Sunrisers Hyderabad,MC Henriques,S Aravind,1,0,1,99,,,,2
1001,1,11,2,Sunrisers Hyderabad,Yuvraj Singh,S Aravind,0,0,0,99,,,,2
1001,1,11,3,Sunrisers Hyderabad,Yuvraj Singh,S Aravind,1,0,1,100,,,,2
1001,1,11,4,Sunrisers Hyderabad,MC Henriques,S Aravind,1,0,1,101,,,,2
1001,1,11,5,Sunrisers Hyderabad,Yuvraj Singh,S Aravind,4,0,4,105,,,,2
1001,1,11,6,Sunrisers Hyderabad,Yuvraj Singh,S Aravind,1,0,1,106,,,,2
1001,1,12,1,Sunrisers Hyderabad,Yuvraj Singh,A Choudhary,4,0,4,110,,,,2
1001,1,12,2,Sunrisers Hyderabad,Yuvraj Singh,A Choudhary,6,0,6,116,,,,2
1001,1,12,3,Sunrisers Hyderabad,Yuvraj Singh,A Choudhary,4,0,4,120,,,,2
1001,1,12,4,Sunrisers Hyderabad,Yuvraj Singh,A Choudhary,0,0,0,120,,,,2
1001,1,12,5,Sunrisers Hyderabad,Yuvraj Singh,A Choudhary,0,1,1,121,wides,,,2
1001,1,12,6,Sunrisers Hyderabad,Yuvraj Singh,A Choudhary,2,0,2,123,,,,2
1001,1,12,7,Sunrisers Hyderabad,Yuvraj Singh,A Choudhary,1,0,1,124,,,,2
1001,1,13,1,Sunrisers Hyderabad,Yuvraj Singh,SR Watson,4,0,4,128,,,,2
1001,1,13,2,Sunrisers Hyderabad,Yuvraj Singh,SR Watson,1,0,1,129,,,,2
1001,1,13,3,Sunrisers Hyderabad,MC Henriques,SR Watson,1,0,1,130,,,,2
1001,1,13,4,Sunrisers Hyderabad,Yuvraj Singh,SR Watson,1,0,1,131,,,,2
1001,1,13,5,Sunrisers Hyderabad,MC Henriques,SR Watson,0,0,0,131,,,,2
1001,1,13,6,Sunrisers Hyderabad,MC Henriques,SR Watson,1,0,1,132,,,,2
1001,1,14,1,Sunrisers Hyderabad,MC Henriques,S Aravind,4,0,4,136,,,,2
1001,1,14,2,Sunrisers Hyderabad,MC Henriques,S Aravind,1,0,1,137,,,,2
1001,1,14,3,Sunrisers Hyderabad,Yuvraj Singh,S Aravind,6,0,6,143,,,,2
1001,1,14,4,Sunrisers Hyderabad,Yuvraj Singh,S Aravind,1,0,1,144,,,,2
1001,1,14,5,Sunrisers Hyderabad,MC Henriques,S Aravind,6,0,6,150,,,,2
1001,1,14,6,Sunrisers Hyderabad,MC Henriques,S Aravind,1,0,1,151,,,,2
1001,1,15,1,Sunrisers Hyderabad,MC Henriques,YS Chahal,0,0,0,151,,,,2
1001,1,15,2,Sunrisers Hyderabad,MC Henriques,YS Chahal,0,0,0,151,,caught,MC Henriques,3
1001,1,15,3,Sunrisers Hyderabad,Yuvraj Singh,YS Chahal,1,0,1,152,,,,3
1001,1,15,4,Sunrisers Hyderabad,DJ Hooda,YS Chahal,1,0,1,153,,,,3
1001,1,15,5,Sunrisers Hyderabad,Yuvraj Singh,YS Chahal,1,0,1,154,,,,3
1001,1,15,6,Sunrisers Hyderabad,DJ Hooda,YS Chahal,1,0,1,155,,,,3
1001,1,16,1,Sunrisers Hyderabad,DJ Hooda,TS Mills,1,0,1,156,,,,3
1001,1,16,2,Sunrisers Hyderabad,Yuvraj Singh,TS Mills,0,0,0,156,,,,3
1001,1,16,3,Sunrisers Hyderabad,Yuvraj Singh,TS Mills,4,0,4,160,,,,3
1001,1,16,4,Sunrisers Hyderabad,Yuvraj Singh,TS Mills,1,0,1,161,,,,3
1001,1,16,5,Sunrisers Hyderabad,DJ Hooda,TS Mills,0,0,0,161,,,,3
1001,1,16,6,Sunrisers Hyderabad,DJ Hooda,TS Mills,1,0,1,162,,,,3
1001,1,17,1,Sunrisers Hyderabad,DJ Hooda,A Choudhary,6,0,6,168,,,,3
1001,1,17,2,Sunrisers Hyderabad,DJ Hooda,A Choudhary,1,0,1,169,,,,3
1001,1,17,3,Sunrisers Hyderabad,Yuvraj Singh,A Choudhary,0,1,1,170,wides,,,3
1001,1,17,4,Sunrisers Hyderabad,Yuvraj Singh,A Choudhary,0,1,1,171,wides,,,3
1001,1,17,5,Sunrisers Hyderabad,Yuvraj Singh,A Choudhary,4,0,4,175,,,,3
1001,1,17,6,Sunrisers Hyderabad,Yuvraj Singh,A Choudhary,1,0,1,176,,,,3
1001,1,17,7,Sunrisers Hyderabad,DJ Hooda,A Choudhary,2,0,2,178,,,,3
1001,1,17,8,Sunrisers Hyderabad,DJ Hooda,A Choudhary,1,0,1,179,,,,3
1001,1,18,1,Sunrisers Hyderabad,DJ Hooda,TS Mills,1,0,1,180,,,,3
1001,1,18,2,Sunrisers Hyderabad,Yuvraj Singh,TS Mills,4,0,4,184,,,,3
1001,1,18,3,Sunrisers Hyderabad,Yuvraj Singh,TS Mills,6,0,6,190,,,,3
1001,1,18,4,Sunrisers Hyderabad,Yuvraj Singh,TS Mills,0,0,0,190,,bowled,Yuvraj Singh,4
1001,1,18,5,Sunrisers Hyderabad,BCJ Cutting,TS Mills,1,0,1,191,,,,4
1001,1,18,6,Sunrisers Hyderabad,DJ Hooda,TS Mills,0,0,0,191,,,,4
1001,1,19,1,Sunrisers Hyderabad,BCJ Cutting,SR Watson,1,0,1,192,,,,4
1001,1,19,2,Sunrisers Hyderabad,DJ Hooda,SR Watson,1,0,1,193,,,,4
1001,1,19,3,Sunrisers Hyderabad,BCJ Cutting,SR Watson,6,0,6,199,,,,4
1001,1,19,4,Sunrisers Hyderabad,BCJ Cutting,SR Watson,2,0,2,201,,,,4
1001,1,19,5,Sunrisers Hyderabad,BCJ Cutting,SR Watson,0,0,0,201,,,,4
1001,1,19,6,Sunrisers Hyderabad,BCJ Cutting,SR Watson,6,0,6,207,,,,4
1001,2,0,1,Royal Challengers Bangalore,CH Gayle,A Nehra,1,0,1,1,,,,0
1001,2,0,2,Royal Challengers Bangalore,Mandeep Singh,A Nehra,0,0,0,1,,,,0
1001,2,0,3,Royal Challengers Bangalore,Mandeep Singh,A Nehra,0,0,0,1,,,,0
1001,2,0,4,Royal Challengers Bangalore,Mandeep Singh,A Nehra,2,0,2,3,,,,0
1001,2,0,5,Royal Challengers Bangalore,Mandeep Singh,A Nehra,4,0,4,7,,,,0
1001,2,0,6,Royal Challengers Bangalore,Mandeep Singh,A Nehra,4,0,4,11,,,,0
1001,2,1,1,Royal Challengers Bangalore,CH Gayle,B Kumar,0,0,0,11,,,,0
1001,2,1,2,Royal Challengers Bangalore,CH Gayle,B Kumar,0,0,0,11,,,,0
1001,2,1,3,Royal Challengers Bangalore,CH Gayle,B Kumar,1,0,1,12,,,,0
1001,2,1,4,Royal Challengers Bangalore,Mandeep Singh,B Kumar,0,0,0,12,,,,0
1001,2,1,5,Royal Challengers Bangalore,Mandeep Singh,B Kumar,0,0,0,12,,,,0
1001,2,1,6,Royal Challengers Bangalore,Mandeep Singh,B Kumar,0,0,0,12,,,,0
1001,2,2,1,Royal Challengers Bangalore,CH Gayle,A Nehra,0,0,0,12,,,,0
1001,2,2,2,Royal Challengers Bangalore,CH Gayle,A Nehra,4,0,4,16,,,,0
1001,2,2,3,Royal Challengers Bangalore,CH Gayle,A Nehra,1,0,1,17,,,,0
1001,2,2,4,Royal Challengers Bangalore,Mandeep Singh,A Nehra,4,0,4,21,,,,0
1001,2,2,5,Royal Challengers Bangalore,Mandeep Singh,A Nehra,1,0,1,22,,,,0
1001,2,2,6,Royal Challengers Bangalore,CH Gayle,A Nehra,6,0,6,28,,,,0
1001,2,3,1,Royal Challengers Bangalore,Mandeep Singh,B Kumar,1,0,1,29,,,,0
1001,2,3,2,Royal Challengers Bangalore,CH Gayle,B Kumar,6,0,6,35,,,,0
1001,2,3,3,Royal Challengers Bangalore,CH Gayle,B Kumar,2,0,2,37,,,,0
1001,2,3,4,Royal Challengers Bangalore,CH Gayle,B Kumar,0,1,1,38,wides,,,0
1001,2,3,5,Royal Challengers Bangalore,CH Gayle,B Kumar,0,0,0,38,,,,0
1001,2,3,6,Royal Challengers Bangalore,CH Gayle,B Kumar,1,0,1,39,,,,0
1001,2,3,7,Royal Challengers Bangalore,Mandeep Singh,B Kumar,4,0,4,43,,,,0
1001,2,4,1,Royal Challengers Bangalore,CH Gayle,BCJ Cutting,0,0,0,43,,,,0
1001,2,4,2,Royal Challengers Bangalore,CH Gayle,BCJ Cutting,0,0,0,43,,,,0
1001,2,4,3,Royal Challengers Bangalore,CH Gayle,BCJ Cutting,0,0,0,43,,,,0
1001,2,4,4,Royal Challengers Bangalore,CH Gayle,BCJ Cutting,0,1,1,44,wides,,,0
1001,2,4,5,Royal Challengers Bangalore,CH Gayle,BCJ Cutting,0,0,0,44,,,,0
1001,2,4,6,Royal Challengers Bangalore,CH Gayle,BCJ Cutting,0,0,0,44,,,,0
1001,2,4,7,Royal Challengers Bangalore,CH Gayle,BCJ Cutting,4,0,4,48,,,,0
1001,2,5,1,Royal Challengers Bangalore,Mandeep Singh,Rashid Khan,0,0,0,48,,,,0
1001,2,5,2,Royal Challengers Bangalore,Mandeep Singh,Rashid Khan,4,0,4,52,,,,0
1001,2,5,3,Royal Challengers Bangalore,Mandeep Singh,Rashid Khan,0,0,0,52,,,,0
1001,2,5,4,Royal Challengers Bangalore,Mandeep Singh,Rashid Khan,0,0,0,52,,bowled,Mandeep Singh,1
1001,2,5,5,Royal Challengers Bangalore,TM Head,Rashid Khan,2,0,2,54,,,,1
1001,2,5,6,Royal Challengers Bangalore,TM Head,Rashid Khan,0,0,0,54,,,,1
1001,2,6,1,Royal Challengers Bangalore,CH Gayle,DJ Hooda,0,0,0,54,,,,1
1001,2,6,2,Royal Challengers Bangalore,CH Gayle,DJ Hooda,6,0,6,60,,,,1
1001,2,6,3,Royal Challengers Bangalore,CH Gayle,DJ Hooda,0,0,0,60,,caught,CH Gayle,2
1001,2,6,4,Royal Challengers Bangalore,TM Head,DJ Hooda,0,0,0,60,,,,2
1001,2,6,5,Royal Challengers Bangalore,TM Head,DJ Hooda,1,0,1,61,,,,2
1001,2,6,6,Royal Challengers Bangalore,KM Jadhav,DJ Hooda,0,0,0,61,,,,2
1001,2,7,1,Royal Challengers Bangalore,TM Head,Rashid Khan,4,0,4,65,,,,2
1001,2,7,2,Royal Challengers Bangalore,TM Head,Rashid Khan,2,0,2,67,,,,2
1001,2,7,3,Royal Challengers Bangalore,TM Head,Rashid Khan,1,0,1,68,,,,2
1001,2,7,4,Royal Challengers Bangalore,KM Jadhav,Rashid Khan,1,0,1,69,,,,2
1001,2,7,5,Royal Challengers Bangalore,TM Head,Rashid Khan,1,0,1,70,,,,2
1001,2,7,6,Royal Challengers Bangalore,KM Jadhav,Rashid Khan,4,0,4,74,,,,2
1001,2,8,1,Royal Challengers Bangalore,TM Head,BCJ Cutting,1,0,1,75,,,,2
1001,2,8,2,Royal Challengers Bangalore,KM Jadhav,BCJ Cutting,0,1,1,76,wides,,,2
1001,2,8,3,Royal Challengers Bangalore,KM Jadhav,BCJ Cutting,0,0,0,76,,,,2
1001,2,8,4,Royal Challengers Bangalore,KM Jadhav,BCJ Cutting,1,0,1,77,,,,2
1001,2,8,5,Royal Challengers Bangalore,TM Head,BCJ Cutting,1,0,1,78,,,,2
1001,2,8,6,Royal Challengers Bangalore,KM Jadhav,BCJ Cutting,6,0,6,84,,,,2
1001,2,8,7,Royal Challengers Bangalore,KM Jadhav,BCJ Cutting,1,0,1,85,,,,2
1001,2,9,1,Royal Challengers Bangalore,KM Jadhav,MC Henriques,1,1,2,87,noballs,,,2
1001,2,9,2,Royal Challengers Bangalore,TM Head,MC Henriques,4,0,4,91,,,,2
1001,2,9,3,Royal Challengers Bangalore,TM Head,MC Henriques,1,0,1,92,,,,2
1001,2,9,4,Royal Challengers Bangalore,KM Jadhav,MC Henriques,1,0,1,93,,,,2
1001,2,9,5,Royal Challengers Bangalore,TM Head,MC Henriques,0,0,0,93,,,,2
1001,2,9,6,Royal Challengers Bangalore,TM Head,MC Henriques,1,0,1,94,,,,2
1001,2,9,7,Royal Challengers Bangalore,KM Jadhav,MC Henriques,4,0,4,98,,,,2
1001,2,10,1,Royal Challengers Bangalore,TM Head,A Nehra,1,0,1,99,,,,2
1001,2,10,2,Royal Challengers Bangalore,KM Jadhav,A Nehra,0,1,1,100,wides,,,2
1001,2,10,3,Royal Challengers Bangalore,KM Jadhav,A Nehra,1,0,1,101,,,,2
1001,2,10,4,Royal Challengers Bangalore,TM Head,A Nehra,1,0,1,102,,,,2
1001,2,10,5,Royal Challengers Bangalore,KM Jadhav,A Nehra,4,0,4,106,,,,2
1001,2,10,6,Royal Challengers Bangalore,KM Jadhav,A Nehra,4,0,4,110,,,,2
1001,2,10,7,Royal Challengers Bangalore,KM Jadhav,A Nehra,1,0,1,111,,,,2
1001,2,11,1,Royal Challengers Bangalore,KM Jadhav,MC Henriques,1,0,1,112,,,,2
1001,2,11,2,Royal Challengers Bangalore,TM Head,MC Henriques,2,0,2,114,,,,2
1001,2,11,3,Royal Challengers Bangalore,TM Head,MC Henriques,1,0,1,115,,,,2
1001,2,11,4,Royal Challengers Bangalore,KM Jadhav,MC Henriques,1,0,1,116,,run out,KM Jadhav,3
1001,2,11,5,Royal Challengers Bangalore,SR Watson,MC Henriques,1,0,1,117,,,,3
1001,2,11,6,Royal Challengers Bangalore,TM Head,MC Henriques,1,0,1,118,,,,3
1001,2,12,1,Royal Challengers Bangalore,TM Head,Rashid Khan,1,0,1,119,,,,3
1001,2,12,2,Royal Challengers Bangalore,SR Watson,Rashid Khan,2,0,2,121,,,,3
1001,2,12,3,Royal Challengers Bangalore,SR Watson,Rashid Khan,1,0,1,122,,,,3
1001,2,12,4,Royal Challengers Bangalore,TM Head,Rashid Khan,4,0,4,126,,,,3
1001,2,12,5,Royal Challengers Bangalore,TM Head,Rashid Khan,0,0,0,126,,caught,TM Head,4
1001,2,12,6,Royal Challengers Bangalore,SR Watson,Rashid Khan,0,0,0,126,,,,4
1001,2,13,1,Royal Challengers Bangalore,Sachin Baby,Bipul Sharma,0,0,0,126,,,,4
1001,2,13,2,Royal Challengers Bangalore,Sachin Baby,Bipul Sharma,1,0,1,127,,,,4
1001,2,13,3,Royal Challengers Bangalore,SR Watson,Bipul Sharma,1,0,1,128,,,,4
1001,2,13,4,Royal Challengers Bangalore,Sachin Baby,Bipul Sharma,0,0,0,128,,caught,Sachin Baby,5
1001,2,13,5,Royal Challengers Bangalore,SR Watson,Bipul Sharma,1,0,1,129,,,,5
1001,2,13,6,Royal Challengers Bangalore,STR Binny,Bipul Sharma,1,0,1,130,,,,5
1001,2,14,1,Royal Challengers Bangalore,STR Binny,Rashid Khan,1,0,1,131,,,,5
1001,2,14,2,Royal Challengers Bangalore,SR Watson,Rashid Khan,1,0,1,132,,,,5
1001,2,14,3,Royal Challengers Bangalore,STR Binny,Rashid Khan,0,0,0,132,,,,5
1001,2,14,4,Royal Challengers Bangalore,STR Binny,Rashid Khan,0,0,0,132,,,,5
1001,2,14,5,Royal Challengers Bangalore,STR Binny,Rashid Khan,1,0,1,133,,,,5
1001,2,14,6,Royal Challengers Bangalore,SR Watson,Rashid Khan,6,0,6,139,,,,5
1001,2,15,1,Royal Challengers Bangalore,STR Binny,BCJ Cutting,0,0,0,139,,,,5
1001,2,15,2,Royal Challengers Bangalore,STR Binny,BCJ Cutting,6,0,6,145,,,,5
1001,2,15,3,Royal Challengers Bangalore,STR Binny,BCJ Cutting,1,0,1,146,,,,5
1001,2,15,4,Royal Challengers Bangalore,SR Watson,BCJ Cutting,0,0,0,146,,,,5
1001,2,15,5,Royal Challengers Bangalore,SR Watson,BCJ Cutting,4,0,4,150,,,,5
1001,2,15,6,Royal Challengers Bangalore,SR Watson,BCJ Cutting,1,0,1,151,,,,5
1001,2,16,1,Royal Challengers Bangalore,SR Watson,B Kumar,1,0,1,152,,,,5
1001,2,16,2,Royal Challengers Bangalore,STR Binny,B Kumar,1,0,1,153,,,,5
1001,2,16,3,Royal Challengers Bangalore,SR Watson,B Kumar,0,0,0,153,,,,5
1001,2,16,4,Royal Challengers Bangalore,SR Watson,B Kumar,1,0,1,154,,,,5
1001,2,16,5,Royal Challengers Bangalore,STR Binny,B Kumar,0,0,0,154,,caught,STR Binny,6
1001,2,16,6,Royal Challengers Bangalore,S Aravind,B Kumar,0,0,0,154,,,,6
1001,2,17,1,Royal Challengers Bangalore,SR Watson,A Nehra,2,0,2,156,,,,6
1001,2,17,2,Royal Challengers Bangalore,SR Watson,A Nehra,0,0,0,156,,,,6
1001,2,17,3,Royal Challengers Bangalore,SR Watson,A Nehra,0,0,0,156,,caught,SR Watson,7
1001,2,17,4,Royal Challengers Bangalore,S Aravind,A Nehra,0,0,0,156,,bowled,S Aravind,8
1001,2,17,5,Royal Challengers Bangalore,YS Chahal,A Nehra,0,0,0,156,,,,8
1001,2,17,6,Royal Challengers Bangalore,YS Chahal,A Nehra,0,0,0,156,,,,8
1001,2,18,1,Royal Challengers Bangalore,TS Mills,B Kumar,0,1,1,157,legbyes,,,8
1001,2,18,2,Royal Challengers Bangalore,YS Chahal,B Kumar,0,0,0,157,,,,8
1001,2,18,3,Royal Challengers Bangalore,YS Chahal,B Kumar,1,0,1,158,,,,8
