Team,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Chennai Super Kings,2,3,2,0,0,1,2,0,1,0,1,0,0
Delhi Capitals,0,0,0,0,0,0,3,2,3,0,0,0,0
Gujarat Titans,0,0,0,3,0,0,0,0,0,1,2,0,4
Kolkata Knight Riders,0,1,0,4,3,3,0,0,2,0,0,1,0
Lucknow Super Giants,0,0,0,0,2,0,0,0,0,4,4,0,0
Mumbai Indians,1,4,1,0,1,0,1,1,0,0,3,0,3
Punjab Kings,0,2,0,0,0,0,0,0,0,0,0,0,2
Rajasthan Royals,3,0,4,0,0,4,0,0,0,2,0,3,0
Royal Challengers Bengaluru,0,0,3,2,0,0,0,4,4,3,0,4,1
Sunrisers Hyderabad,4,0,0,1,4,2,4,3,0,0,0,2,0
