team,season,avg_roi,total_adj_spend,player_count,matches,wins,win_pct,final_standing,made_playoffs,spend_per_player,final_roi
Mumbai Indians,2023,0.432352739,9464689.06,4,16,9,0.5625,3,1,2366172.265,18.27224269
Kolkata Knight Riders,2024,0.356588227,4435187,2,14,11,0.785714286,1,1,2217593.5,16.07996355
Mumbai Indians,2015,0.368675678,22691933.85,5,16,10,0.625,1,1,4538386.769,8.123496231
Gujarat Titans,2017,0.159573987,52253307.03,6,14,4,0.285714286,0,0,8708884.504,1.832312586
Kolkata Knight Riders,2023,0.119205813,31943325.57,4,14,6,0.428571429,0,0,7985831.392,1.492716373
Royal Challengers Bengaluru,2023,0.142005431,24844808.78,2,14,7,0.5,0,0,12422404.39,1.14313966
Sunrisers Hyderabad,2021,0.111462832,20554807.05,2,14,3,0.214285714,0,0,10277403.53,1.084542722
Chennai Super Kings,2022,0.152050114,166666312.4,11,14,4,0.285714286,0,0,15151482.95,1.003532888
Rajasthan Royals,2023,0.184414565,94055347.52,5,14,7,0.5,0,0,18811069.5,0.980351303
Delhi Capitals,2024,0.15964988,82605357.88,5,14,7,0.5,0,0,16521071.58,0.966340951
Sunrisers Hyderabad,2020,0.136720818,29176819.25,2,16,8,0.5,3,1,14588409.63,0.937187956
Punjab Kings,2016,0.194934522,104611844.9,5,14,4,0.285714286,0,0,20922368.97,0.931703872
Mumbai Indians,2024,0.192064022,131946813.3,6,14,4,0.285714286,0,0,21991135.54,0.873370189
Kolkata Knight Riders,2021,0.189027067,45087963.87,2,17,9,0.529411765,2,1,22543981.93,0.838481276
Rajasthan Royals,2015,0.116800107,29674067.34,2,14,7,0.5,4,1,14837033.67,0.78722007
Rajasthan Royals,2024,0.175660319,94247723.75,4,15,9,0.6,3,1,23561930.94,0.745525988
Lucknow Super Giants,2017,0.269782689,265166035.6,7,16,10,0.625,2,1,37880862.24,0.712187297
Gujarat Titans,2023,0.202091522,57971220.48,2,17,11,0.647058824,2,1,28985610.24,0.697213274
Rajasthan Royals,2014,0.144886125,276993628.9,13,14,6,0.428571429,0,0,21307202.22,0.679986622
Lucknow Super Giants,2024,0.118277977,53222244,3,14,7,0.5,0,0,17740748,0.666702313
Kolkata Knight Riders,2016,0.102623,62182683.2,4,15,8,0.533333333,4,1,15545670.8,0.660138767
Punjab Kings,2017,0.120280815,55372907.44,3,14,7,0.5,0,0,18457635.81,0.651658836
Mumbai Indians,2019,0.093994776,46216081.7,3,16,10,0.625,1,1,15405360.57,0.610143305
Royal Challengers Bengaluru,2016,0.226555555,232366868.8,6,16,9,0.5625,2,1,38727811.47,0.584994469
Gujarat Titans,2016,0.116317009,230730482.4,10,16,9,0.5625,3,1,23073048.24,0.504125021
Mumbai Indians,2025,0.127586652,261325500,10,16,9,0.5625,3,1,26132550,0.488228865
Mumbai Indians,2020,0.261251398,113928532.3,2,16,11,0.6875,1,1,56964266.15,0.458623302
Chennai Super Kings,2013,0.177666222,155762466.5,4,18,12,0.666666667,2,1,38940616.64,0.456249123
Mumbai Indians,2021,0.124821582,118024376,4,14,7,0.5,0,0,29506094,0.423036617
Lucknow Super Giants,2016,0.127794516,337095598.4,11,14,5,0.357142857,0,0,30645054.4,0.41701514
Sunrisers Hyderabad,2017,0.10328136,74870410.06,3,14,8,0.571428571,4,1,24956803.35,0.4138405
Royal Challengers Bengaluru,2014,0.153316352,422270007.6,11,14,5,0.357142857,0,0,38388182.51,0.399384242
Lucknow Super Giants,2023,0.156268079,208814702.4,5,15,8,0.533333333,4,1,41762940.48,0.374178823
Mumbai Indians,2014,0.127022453,376750075.6,11,15,7,0.466666667,4,1,34250006.88,0.3708684
Kolkata Knight Riders,2017,0.150281267,121664416.4,3,16,9,0.5625,3,1,40554805.45,0.370563404
Delhi Capitals,2018,0.106917105,386517656.2,13,14,5,0.357142857,0,0,29732127.4,0.35960126
Delhi Capitals,2025,0.111633655,310652000,10,15,6,0.4,0,0,31065200,0.359352764
Kolkata Knight Riders,2015,0.087072596,50620467.8,2,13,7,0.538461538,0,0,25310233.9,0.344021301
Delhi Capitals,2021,0.112277861,101447918.7,3,16,9,0.5625,3,1,33815972.9,0.332026114
Mumbai Indians,2022,0.10534986,461441805.2,14,14,4,0.285714286,0,0,32960128.94,0.319628179
Chennai Super Kings,2014,0.095606318,330261634.4,11,16,10,0.625,3,1,30023784.95,0.318435262
Chennai Super Kings,2018,0.077783134,223553455.2,9,16,11,0.6875,1,1,24839272.8,0.313145779
Royal Challengers Bengaluru,2020,0.122412021,240361415.7,6,15,6,0.4,4,1,40060235.95,0.305569895
Punjab Kings,2023,0.174935012,232358116.4,4,14,6,0.428571429,0,0,58089529.1,0.301147237
Punjab Kings,2022,0.122491797,544153072.2,13,14,7,0.5,0,0,41857928.63,0.292637025
Kolkata Knight Riders,2022,0.106695884,370335033.7,10,14,6,0.428571429,0,0,37033503.37,0.288106376
Rajasthan Royals,2019,0.104678412,166089043.6,4,14,5,0.357142857,0,0,41522260.91,0.252101908
Punjab Kings,2020,0.106516686,169503426.2,4,14,5,0.357142857,0,0,42375856.54,0.25136173
Gujarat Titans,2024,0.094029494,189604244.3,5,12,5,0.416666667,0,0,37920848.85,0.247962523
Sunrisers Hyderabad,2025,0.092279532,461780000,12,14,6,0.428571429,0,0,38481666.67,0.239801287
Gujarat Titans,2022,0.091108003,575247533.6,15,16,12,0.75,1,1,38349835.57,0.237570779
Punjab Kings,2024,0.171643447,221204951.6,3,14,5,0.357142857,0,0,73734983.87,0.232784274
Delhi Capitals,2016,0.127789349,494188692.8,8,14,7,0.5,0,0,61773586.6,0.206867298
Royal Challengers Bengaluru,2021,0.138001138,267875550,4,15,9,0.6,4,1,66968887.5,0.206067539
Punjab Kings,2019,0.096827806,380704973,8,14,6,0.428571429,0,0,47588121.63,0.203470535
Kolkata Knight Riders,2013,0.084495643,83114359.62,2,16,6,0.375,0,0,41557179.81,0.203323813
Sunrisers Hyderabad,2019,0.049803218,49104586.81,2,15,6,0.4,4,1,24552293.41,0.20284548
Sunrisers Hyderabad,2024,0.161182249,322659854.3,4,16,9,0.5625,2,1,80664963.58,0.199816924
Punjab Kings,2021,0.12096539,364019002.3,6,14,6,0.428571429,0,0,60669833.72,0.199383092
Delhi Capitals,2023,0.073580445,149068852.7,4,14,5,0.357142857,0,0,37267213.17,0.197440159
Delhi Capitals,2022,0.094032765,541398991.4,11,14,7,0.5,0,0,49218090.13,0.191053258
Rajasthan Royals,2025,0.054789698,310127250,10,14,4,0.285714286,0,0,31012725,0.176668442
Rajasthan Royals,2020,0.043882515,129211628.1,5,14,6,0.428571429,0,0,25842325.62,0.16980869
Mumbai Indians,2013,0.062180783,110819146.2,3,19,13,0.684210526,1,1,36939715.39,0.168330434
Punjab Kings,2025,0.079877882,624302571.4,13,18,10,0.555555556,2,1,48023274.73,0.166331601
Chennai Super Kings,2024,0.101201724,314898277,5,14,7,0.5,0,0,62979655.4,0.160689549
Gujarat Titans,2025,0.075213362,564893375,12,15,9,0.6,4,1,47074447.92,0.159775347
Sunrisers Hyderabad,2023,0.072537897,412305517.1,9,14,4,0.285714286,0,0,45811724.12,0.158339154
Chennai Super Kings,2025,0.054230909,412453500,12,14,4,0.285714286,0,0,34371125,0.157780431
Delhi Capitals,2020,0.066609081,217436772.1,5,17,8,0.470588235,2,1,43487354.42,0.15316885
Lucknow Super Giants,2022,0.083520487,333954514,6,15,9,0.6,4,1,55659085.67,0.150057238
Kolkata Knight Riders,2019,0.04979892,106152562.7,3,14,6,0.428571429,0,0,35384187.55,0.140737779
Sunrisers Hyderabad,2015,0.038447497,82040068.52,3,14,7,0.5,0,0,27346689.51,0.140592876
Delhi Capitals,2019,0.054011319,245522934,6,16,9,0.5625,3,1,40920489,0.131990892
Mumbai Indians,2018,0.063118049,489489541.4,10,14,6,0.428571429,0,0,48948954.14,0.128946675
Sunrisers Hyderabad,2022,0.067628455,685943815.6,13,14,6,0.428571429,0,0,52764908.89,0.128169378
Punjab Kings,2014,0.059518998,483286086.7,10,17,12,0.705882353,2,1,48328608.67,0.123154794
Chennai Super Kings,2023,0.118164205,198166927.2,2,16,10,0.625,1,1,99083463.58,0.119257241
Royal Challengers Bengaluru,2018,0.04396913,539483138,14,14,6,0.428571429,0,0,38534509.86,0.114103255
Royal Challengers Bengaluru,2022,0.060404672,643655348.4,12,16,9,0.5625,3,1,53637945.7,0.112615557
Sunrisers Hyderabad,2018,0.045214652,489964378.9,12,17,10,0.588235294,2,1,40830364.91,0.11073781
Sunrisers Hyderabad,2014,0.049337572,636172180.6,14,14,6,0.428571429,0,0,45440870.04,0.108575324
Rajasthan Royals,2018,0.06565063,837952370.5,13,15,7,0.466666667,4,1,64457874.65,0.101850441
Kolkata Knight Riders,2025,0.049715211,496938250,10,13,5,0.384615385,0,0,49693825,0.100043035
Kolkata Knight Riders,2020,0.068260015,354984634.2,5,14,6,0.428571429,0,0,70996926.84,0.096145028
Lucknow Super Giants,2025,0.05818427,582997250,9,14,6,0.428571429,0,0,64777472.22,0.089821766
Royal Challengers Bengaluru,2013,0.033311822,113897455.8,3,16,8,0.5,0,0,37965818.59,0.087741613
Mumbai Indians,2017,0.033606881,81109610.9,2,17,11,0.647058824,1,1,40554805.45,0.082867815
