season,team,batting_ROI,bowling_ROI,overall_ROI,
2013,Lucknow Super Giants,0.184448531,0.928632472,0.556540501,
2013,Royal Challengers Bengaluru,0.401875553,3.430925314,1.916400434,
2013,Sunrisers Hyderabad,0.487762832,2.000683176,1.244223004,
2013,Chennai Super Kings,,17.95565544,17.95565544,2
2013,Delhi Capitals,,2.025922233,2.025922233,
2013,Kolkata Knight Riders,,1.268222077,1.268222077,
2013,Mumbai Indians,,7.244798473,7.244798473,1
2013,Punjab Kings,,1.988855345,1.988855345,
2013,Rajasthan Royals,,2.68540546,2.68540546,3
2014,Chennai Super Kings,0.447890347,9.420695167,4.934292757,3
2014,Delhi Capitals,0.39685527,3.915812686,2.156333978,
2014,Kolkata Knight Riders,0.790189254,2.982428127,1.886308691,1
2014,Mumbai Indians,0.685517033,19.38629837,10.0359077,4
2014,Punjab Kings,0.660457098,8.63057718,4.645517139,2
2014,Rajasthan Royals,1.51659671,21.64018649,11.5783916,5
2014,Royal Challengers Bengaluru,0.426233742,17.93125693,9.178745334,
2014,Sunrisers Hyderabad,0.904247058,11.38196249,6.143104773,
2015,Chennai Super Kings,0.784971092,,0.784971092,
2015,Delhi Capitals,0.070867635,2.259665952,1.165266793,
2015,Mumbai Indians,13.29418798,38.54543734,25.91981266,
2015,Punjab Kings,0.173943042,1.457661895,0.815802468,
2015,Royal Challengers Bengaluru,1.201879093,2.498917572,1.850398333,
2015,Sunrisers Hyderabad,1.133957215,4.700504599,2.917230907,
2015,Kolkata Knight Riders,,6.210292372,6.210292372,
2015,Rajasthan Royals,,11.78624767,11.78624767,
2016,Delhi Capitals,1.765310772,26.01931877,13.89231477,
2016,Gujarat Titans,1.849059291,15.34195441,8.595506849,
2016,Lucknow Super Giants,0.738424087,12.64714952,6.692786803,
2016,Mumbai Indians,1.247391911,3.395849569,2.32162074,
2016,Punjab Kings,2.56818776,25.13174257,13.84996517,
2016,Royal Challengers Bengaluru,6.020896421,25.27215071,15.64652356,
2016,Sunrisers Hyderabad,0.336257333,5.89110481,3.113681072,
2016,Kolkata Knight Riders,,11.49375961,11.49375961,
2017,Delhi Capitals,0.037752756,2.731936124,1.38484444,
2017,Kolkata Knight Riders,11.92671424,2.26087255,7.093793393,
2017,Lucknow Super Giants,6.379667364,23.62999203,15.0048297,
2017,Royal Challengers Bengaluru,1.005688509,4.146871058,2.576279783,
2017,Gujarat Titans,,20.4362745,20.4362745,
2017,Mumbai Indians,,3.020765088,3.020765088,
2017,Punjab Kings,,11.04059373,11.04059373,
2017,Sunrisers Hyderabad,,12.64009036,12.64009036,
2018,Chennai Super Kings,1.328600811,8.79897379,5.063787301,
2018,Delhi Capitals,1.200088702,10.07240223,5.636245468,
2018,Kolkata Knight Riders,0.612764264,4.887211744,2.749988004,
2018,Mumbai Indians,0.505704375,13.57966778,7.042686079,
2018,Punjab Kings,1.367764446,2.222985368,1.795374907,
2018,Rajasthan Royals,0.447063506,11.49086863,5.96896607,
2018,Royal Challengers Bengaluru,2.305702447,3.287732296,2.796717372,
2018,Sunrisers Hyderabad,3.857564341,7.333778042,5.595671191,
2019,Delhi Capitals,0.237564427,6.073425831,3.155495129,
2019,Mumbai Indians,1.526159447,2.862690042,2.194424744,
2019,Punjab Kings,3.543382515,9.583084039,6.563233277,
2019,Rajasthan Royals,5.986758563,10.21679238,8.101775472,
2019,Royal Challengers Bengaluru,0.116856278,1.906316106,1.011586192,
2019,Sunrisers Hyderabad,1.958517523,,1.958517523,
2019,Chennai Super Kings,,1.018091698,1.018091698,
2019,Kolkata Knight Riders,,4.207834211,4.207834211,
2020,Chennai Super Kings,0.282236219,2.098886476,1.190561347,
2020,Delhi Capitals,0.518925063,13.93983619,7.229380626,
2020,Kolkata Knight Riders,0.885129868,1.915662309,1.400396089,
2020,Mumbai Indians,21.84687606,1.023450156,11.43516311,
2020,Rajasthan Royals,0.605867713,4.522827169,2.564347441,
2020,Royal Challengers Bengaluru,0.19691072,12.52921074,6.363060732,
2020,Sunrisers Hyderabad,0.402652027,23.55407651,11.97836427,
2020,Punjab Kings,,9.835974896,9.835974896,
2021,Chennai Super Kings,0.603876468,1.400213911,1.002045189,
2021,Delhi Capitals,0.886974146,16.1904194,8.538696772,
2021,Kolkata Knight Riders,13.83562398,18.80926464,16.32244431,
2021,Royal Challengers Bengaluru,10.28471153,1.076983506,5.68084752,
2021,Mumbai Indians,,15.80908791,15.80908791,
2021,Punjab Kings,,10.80715139,10.80715139,
2021,Rajasthan Royals,,3.758494973,3.758494973,
2021,Sunrisers Hyderabad,,9.931567993,9.931567993,
2022,Chennai Super Kings,2.294983028,21.95630781,12.12564542,
2022,Delhi Capitals,2.042218997,14.9772165,8.509717746,
2022,Gujarat Titans,2.373789647,9.935451356,6.154620501,
2022,Kolkata Knight Riders,2.120242809,11.56717957,6.843711192,
2022,Lucknow Super Giants,2.441719761,11.79675424,7.119237003,
2022,Mumbai Indians,5.923792453,11.57389204,8.748842244,
2022,Punjab Kings,5.103603937,12.90081982,9.00221188,
2022,Rajasthan Royals,0.349754148,3.85844295,2.104098549,
2022,Royal Challengers Bengaluru,1.779178229,7.990652219,4.884915224,
2022,Sunrisers Hyderabad,2.133577972,7.960925872,5.047251922,
2023,Chennai Super Kings,6.569153843,,6.569153843,
2023,Delhi Capitals,0.944285363,9.170037475,5.057161419,
2023,Lucknow Super Giants,0.270848442,15.60335007,7.937099257,
2023,Mumbai Indians,28.81763105,33.41090047,31.11426576,
2023,Punjab Kings,2.374915737,20.50234515,11.43863044,
2023,Sunrisers Hyderabad,0.688610471,12.14532923,6.416969852,
2023,Gujarat Titans,,14.81328054,14.81328054,
2023,Kolkata Knight Riders,,4.28322603,4.28322603,
2023,Rajasthan Royals,,19.48162696,19.48162696,
2023,Royal Challengers Bengaluru,,25.47039192,25.47039192,
2024,Chennai Super Kings,1.009344183,21.20784517,11.10859468,
2024,Delhi Capitals,4.595629433,19.87009234,12.23286088,
2024,Gujarat Titans,2.423320851,7.215112533,4.819216692,
2024,Kolkata Knight Riders,11.49473264,,11.49473264,
