team,season,avg_roi,total_adj_spend,player_count
Chennai Super Kings,2013,0.36132873,155762466.544,4
Chennai Super Kings,2014,0.30434267,330261634.429,11
Chennai Super Kings,2015,0.019244382,26183000.59,1
Chennai Super Kings,2018,0.309863345,223553455.2174,9
Chennai Super Kings,2019,0.012491221,72212627.65,1
Chennai Super Kings,2020,0.040644665,104202925.89999999,2
Chennai Super Kings,2021,0.016309613,92828160.90000002,1
Chennai Super Kings,2022,0.448612396,166666312.426,11
Chennai Super Kings,2023,0.338853249,198166927.161,2
Chennai Super Kings,2024,0.48984995,314898277.0,5
Chennai Super Kings,2025,0.277673911,412453500.0,12
Delhi Capitals,2013,0.020142815,55409573.08,1
Delhi Capitals,2014,0.178575807,1028556761.762,16
Delhi Capitals,2015,0.202044242,603081780.29,7
Delhi Capitals,2016,1.0,494188692.8,8
Delhi Capitals,2017,0.101908231,194975026.2,4
Delhi Capitals,2018,0.482171735,386517656.2346667,13
Delhi Capitals,2019,0.253931538,245522934.005,6
Delhi Capitals,2020,0.238696418,217436772.078,5
Delhi Capitals,2021,0.306196899,101447918.699,3
Delhi Capitals,2022,0.785799106,541398991.4267143,11
Delhi Capitals,2023,0.294377456,149068852.681,4
Delhi Capitals,2024,0.526550108,82605357.875,5
Delhi Capitals,2025,0.322961155,310652000.0,10
Gujarat Titans,2016,0.390159369,230730482.4,10
Gujarat Titans,2017,0.513871521,52253307.025,6
Gujarat Titans,2022,0.417219988,575247533.55,15
Gujarat Titans,2023,0.732288552,57971220.481,2
Gujarat Titans,2024,0.235191468,189604244.25,5
Gujarat Titans,2025,0.354045762,564893375.0,12
Kolkata Knight Riders,2013,0.237744933,83114359.621,2
Kolkata Knight Riders,2014,0.09408151,514278380.88,11
Kolkata Knight Riders,2015,0.251345105,50620467.802999996,2
Kolkata Knight Riders,2016,0.234091175,62182683.199999996,4
Kolkata Knight Riders,2017,0.51266566,121664416.35,3
Kolkata Knight Riders,2018,0.155201342,592461426.689,9
Kolkata Knight Riders,2019,0.143469207,106152562.65,3
Kolkata Knight Riders,2020,0.206926897,354984634.203,5
Kolkata Knight Riders,2021,0.385991984,45087963.869,2
Kolkata Knight Riders,2022,0.606390334,370335033.7245,10
Kolkata Knight Riders,2023,0.269920589,31943325.569,4
Kolkata Knight Riders,2024,0.512134443,4435187.0,2
Kolkata Knight Riders,2025,0.208255433,496938250.0,10
Lucknow Super Giants,2013,0.016721041,169307028.85000002,2
Lucknow Super Giants,2016,0.548461047,337095598.399,11
Lucknow Super Giants,2017,1.0,265166035.645,7
Lucknow Super Giants,2022,0.466476809,333954514.012,6
Lucknow Super Giants,2023,0.59005656,208814702.38199997,5
Lucknow Super Giants,2024,0.405030249,53222244.0,3
Lucknow Super Giants,2025,0.317745889,582997250.0,9
Mumbai Indians,2013,0.236464539,110819146.161,3
Mumbai Indians,2014,0.684696158,376750075.63699996,11
Mumbai Indians,2015,1.0,22691933.845,5
Mumbai Indians,2016,0.043349975,135820071.2,3
Mumbai Indians,2017,0.077695613,81109610.9,2
Mumbai Indians,2018,0.504609345,489489541.431,10
Mumbai Indians,2019,0.222071003,46216081.695999995,3
Mumbai Indians,2020,0.535598882,113928532.291,2
Mumbai Indians,2021,0.439782815,118024376.011,4
Mumbai Indians,2022,0.607460849,461441805.201,14
Mumbai Indians,2023,1.0,9464689.06,4
Mumbai Indians,2024,0.70691572,131946813.25,6
Mumbai Indians,2025,0.37972741,261325500.0,10
Punjab Kings,2013,0.022470919,61566192.31,1
Punjab Kings,2014,1.0,483286086.6996,10
Punjab Kings,2015,0.015990625,52366001.18,1
Punjab Kings,2016,0.600646886,104611844.85614286,5
Punjab Kings,2017,0.293591118,55372907.442,3
Punjab Kings,2018,0.196043433,864068428.3330001,13
Punjab Kings,2019,0.346731456,380704973.0034,8
Punjab Kings,2020,0.332538932,169503426.17800003,4
Punjab Kings,2021,0.602499003,364019002.34400004,6
Punjab Kings,2022,0.555864709,544153072.1946667,13
Punjab Kings,2023,0.497595488,232358116.4084,4
Punjab Kings,2024,0.555622926,221204951.59999996,3
Punjab Kings,2025,0.366856467,624302571.4285715,13
Rajasthan Royals,2013,0.081207212,49252953.85,1
Rajasthan Royals,2014,0.983543952,276993628.866,13
Rajasthan Royals,2015,0.25230302,29674067.338,2
Rajasthan Royals,2018,0.537751593,837952370.462,13
Rajasthan Royals,2019,0.441858723,166089043.641,4
Rajasthan Royals,2020,0.10372757,129211628.11,5
Rajasthan Royals,2021,0.145086995,231407343.91,2
Rajasthan Royals,2022,0.367426592,578978868.852,10
Rajasthan Royals,2023,0.360049643,94055347.517,5
Rajasthan Royals,2024,0.478784182,94247723.75,4
Rajasthan Royals,2025,0.150077579,310127250.0,10
Royal Challengers Bengaluru,2013,0.071632739,113897455.77,3
Royal Challengers Bengaluru,2014,0.879115253,422270007.627,11
Royal Challengers Bengaluru,2015,0.144626584,307213873.573,5
Royal Challengers Bengaluru,2016,0.852833597,232366868.8,6
Royal Challengers Bengaluru,2017,0.212571164,233970031.48999995,3
Royal Challengers Bengaluru,2018,0.551596977,539483137.973,14
Royal Challengers Bengaluru,2019,0.028207012,82322395.53,2
Royal Challengers Bengaluru,2020,0.321877446,240361415.709,6
Royal Challengers Bengaluru,2021,0.413232115,267875549.98799998,4
Royal Challengers Bengaluru,2022,0.371427188,643655348.375,12
Royal Challengers Bengaluru,2023,0.253240412,24844808.775000002,2
Royal Challengers Bengaluru,2024,0.072856646,205127398.8,3
Royal Challengers Bengaluru,2025,0.179531148,818085250.0,13
Sunrisers Hyderabad,2013,0.034378128,135445623.08,2
Sunrisers Hyderabad,2014,0.533390175,636172180.6127143,14
Sunrisers Hyderabad,2015,0.086878074,82040068.52000001,3
Sunrisers Hyderabad,2016,0.180756203,212730231.99,3
Sunrisers Hyderabad,2017,0.221497039,74870410.05700001,3
Sunrisers Hyderabad,2018,0.464876153,489964378.91,12
Sunrisers Hyderabad,2019,0.059148024,49104586.81,2
Sunrisers Hyderabad,2020,0.371236576,29176819.251,2
Sunrisers Hyderabad,2021,0.166622029,20554807.053000003,2
Sunrisers Hyderabad,2022,0.466264219,685943815.586,13
Sunrisers Hyderabad,2023,0.27698411,412305517.07600003,9
Sunrisers Hyderabad,2024,0.802809967,322659854.3,4
Sunrisers Hyderabad,2025,0.464385206,461780000.0,12
