name,delivery_name
chris morris,CH Morris
dirk nannes,DP Nannes
ben laughlin,B Laughlin
akila dananjaya,A Dananjaya
jason holder,JO Holder
johan botha,J Botha
jesse ryder,HE van der Dussen
jeevan mendis,BKG Mendis
manpreet gony,Harpreet Brar
luke pomersbach,LA Pomersbach
sachithra senanayake,SMSM Senanayake
ryan mclaren,R McLaren
nathan coulter-nile,NM Coulter-Nile
ricky ponting,RT Ponting
phillip hughes,GD Phillips
jacob oram,
ajantha mendis,BKG Mendis
kane richardson,JA Richardson
abhishek nayar,Abhishek Sharma
michael clarke,S Lamichhane
james faulkner,JP Faulkner
fidel edwards,F Behardien
kusal perera,D Ferreira
jaydev unadkat,JD Unadkat
moises henriques,MC Henriques
pankaj singh,Shashank Singh
daniel christian,DT Christian
christopher barnwell,
thisara perera,Sandeep Sharma
daren sammy,P Ray Barman
sudeep tyagi,Kuldeep Yadav
clint mckay,
nathan mccullum,IK Pathan
quinton de kock,
faf du plessis,F du Plessis
dwayne smith,DR Smith
ashish nehra,Abhishek Sharma
mohit sharma,Ankit Sharma
ishwar pandey,TU Deshpande
ben hilfenhaus,BW Hilfenhaus
john hastings,JW Hastings
samuel badree,S Badree
matt henry,MJ Henry
mithun manhas,A Mithun
vijay shankar,V Shankar
ronit more,Monu Kumar
baba aparajith,Harshit Rana
pawan negi,Swapnil Singh
dinesh karthik,KD Karthik
kevin pietersen,KP Pietersen
murali vijay,M Vijay
mohammed shami,Mohammed Shami
nathan coulter-nile,NM Coulter-Nile
quinton de kock,
manoj tiwary,MK Tiwary
jaydev unadkat,JD Unadkat
jean-paul duminy,
ross taylor,LRPL Taylor
rahul sharma,Bipul Sharma
mayank agarawal,Mayank Dagar
laxmi shukla,R Shukla
james neesham,JDS Neesham
wayne parnell,WD Parnell
shahbaz nadeem,Shahbaz Ahmed
siddarth kaul,M Siddharth
rahul shukla,R Shukla
jayant yadav,R Sanjay Yadav
hs sharath,BR Sharath
milind kumar,Sumit Kumar
mitchell johnson,DJ Mitchell
george bailey,GJ Bailey
virender sehwag,V Sehwag
rishi dhawan,Rashid Khan
wriddhiman saha,Ishan Kishan
cheteshwar pujara,Ashwani Kumar
beuran hendricks,BE Hendricks
lakshmipathy balaji,Abdul Basith
thisara perera,Sandeep Sharma
gurkeerat singh mann,Gurkeerat Singh
sandeep sharma,Sandeep Sharma
mandeep singh,Ramandeep Singh
axar patel,PA Patel
shardul thakur,Arshad Khan
anureet singh,Anureet Singh
shivam sharma,Shivam Sharma
jacques kallis,JH Kallis
robin uthappa,RV Uthappa
yusuf pathan,YK Pathan
shakib al hasan,Shakib Al Hasan
morne morkel,M Morkel
vinay kumar,R Vinay Kumar
umesh yadav,Kuldeep Yadav
chris lynn,
pat cummins,PJ Cummins
ryan ten doeschate,RN ten Doeschate
suryakumar yadav,Vijaykumar Vyshak
andre russell,AD Russell
manvinder bisla,R Ravindra
veer pratap singh,Harpreet Singh
kuldip yadav,Kuldeep Yadav
debabrata das,
michael hussey,MEK Hussey
corey anderson,CJ Anderson
pragyan ojha,Mayank Dagar
zaheer khan,Musheer Khan
jasprit bumrah,Abdul Basith
jalaj saxena,Jalaj S Saxena
josh hazlewood,JR Hazlewood
marchant de lange,
krishmar santokie,K Santokie
ben dunk,BR Dunk
cm gautam,CM Gautam
apoorv wankhade,Atharva Taide
pawan suyal,P Suyal
sushant marathe,Kumar Kushagra
shreyas gopal,S Gopal
steven smith,Mohit Rathee
brad hodge,C de Grandhomme
rajat bhatia,T Natarajan
tim southee,TG Southee
dhawal kulkarni,DS Kulkarni
abhishek nayar,Abhishek Sharma
kane richardson,JA Richardson
ben cutting,BCJ Cutting
karun nair,Imran Tahir
iqbal abdulla,Iqbal Abdulla
dishant yagnik,Ishan Kishan
kevon cooper,KK Cooper
vikramjeet singh malik,Virat Singh
ankit sharma,Ankit Sharma
rahul tewatia,R Tewatia
ankush bains,Akash Singh
amit mishra,A Mishra
pravin tambe,S Aravind
yuvraj singh,Yuvraj Singh
albie morkel,Abishek Porel
varun aaron,VR Aaron
ashok dinda,Shashank Singh
parthiv patel,
muttiah muralitharan,M Muralitharan
ravi rampaul,R Rampaul
nic maddinson,NJ Maddinson
harshal patel,YS Chahal
abu nechim,Sachin Baby
sachin rana,Sachin Baby
shadab jakati,SB Jakati
sandeep warrier,S Sandeep Warrier
tanmay mishra,Naman Dhir
yogesh takawale,YV Takawale
yuzvendra chahal,Saurav Chauhan
david warner,DA Warner
amit mishra,A Mishra
bhuvneshwar kumar,Ashwani Kumar
aaron finch,Shashank Singh
karn sharma,Sandeep Sharma
daren sammy,P Ray Barman
ishant sharma,Abhishek Sharma
irfan pathan,IK Pathan
moises henriques,MC Henriques
kl rahul,KL Rahul
parvez rasool,Parvez Rasool
jason holder,JO Holder
venugopal rao,Y Venugopal Rao
naman ojha,Anand Rajan
brendan taylor,
prasanth parameswaran,Vivrant Sharma
amit paunikar,Harshit Rana
ashish reddy,A Ashish Reddy
srikkanth anirudha,S Anirudha
ricky bhui,
chama v milind,Shivam Sharma
manprit juneja,MC Juneja
michael hussey,MEK Hussey
irfan pathan,IK Pathan
rahul sharma,Bipul Sharma
kyle abbott,SA Abbott
andrew tye,S Badree
pratyush singh,Akash Singh
ankush bains,Akash Singh
eklavya dwivedi,ER Dwivedi
yuvraj singh,Yuvraj Singh
angelo mathews,AD Mathews
zaheer khan,Musheer Khan
amit mishra,A Mishra
gurinder sandhu,Vishnu Vinod
jaydev unadkat,JD Unadkat
domnic muthuswami,DJ Muthuswami
albie morkel,Abishek Porel
travis head,Suryansh Shedge
marcus stoinis,MP Stoinis
cm gautam,CM Gautam
srikar bharat,KS Bharat
kk jiyas,V Viyaskanth
murali vijay,M Vijay
nikhil naik,
yogesh golwalkar,
kc cariappa,KC Cariappa
james neesham,JDS Neesham
brad hogg,Arshad Khan
sheldon jackson,SP Jackson
sumit narwal,Sumit Kumar
vaibhav rawal,Yash Dayal
aaron finch,Shashank Singh
pragyan ojha,Mayank Dagar
abhimanyu mithun,Harbhajan Singh
mitchell mcclenaghan,MJ McClenaghan
aiden blizzard,
hardik pandya,Kartik Tyagi
akshay wakhare,Akash Madhwal
nitish rana,M Pathirana
siddhesh lad,M Siddharth
jagadeesha suchith,N Jagadeesan
chris morris,CH Morris
rusty theron,J Theron
dinesh salunkhe,
sagar trivedi,SK Trivedi
pardeep sahu,Mandeep Singh
dinesh karthik,KD Karthik
daren sammy,P Ray Barman
david wiese,D Wiese
sean abbott,SA Abbott
adam milne,AF Milne
sarfaraz khan,Saurav Chauhan
jalaj saxena,Jalaj S Saxena
shishir bhavane,Rashid Khan
praveen kumar,Harpreet Brar
kevin pietersen,KP Pietersen
eoin morgan,EJG Morgan
ravi bopara,RS Bopara
laxmi shukla,R Shukla
prasanth padmanabhan,
hanuma vihari,Karim Janat
siddarth kaul,M Siddharth
pawan negi,Swapnil Singh
chris morris,CH Morris
sanju samson,Ishan Kishan
carlos brathwaite,CR Brathwaite
karun nair,Imran Tahir
rishabh pant,Ishan Kishan
joel paris,
sam billings,SW Billings
chama v milind,Shivam Sharma
pratyush singh,Akash Singh
mahipal lomror,MK Lomror
khaleel ahmed,Shahbaz Ahmed
akhil herwadkar,
pawan suyal,P Suyal
praveen kumar,Harpreet Brar
dale steyn,DW Steyn
dinesh karthik,KD Karthik
dwayne smith,DR Smith
dhawal kulkarni,DS Kulkarni
aaron finch,Shashank Singh
eklavya dwivedi,ER Dwivedi
andrew tye,S Badree
ishan kishan,Ishan Kishan
jaydev shah,Vijaykumar Vyshak
shadab jakati,SB Jakati
pravin tambe,S Aravind
pradeep sangwan,Mandeep Singh
amit mishra,A Mishra
shivil koushik,S Kaushik
akshdeep nath,Arshdeep Singh
sarabjit ladda,
umang sharma,Suyash Sharma
paras dogra,P Dogra
mohit sharma,Ankit Sharma
kyle abbott,SA Abbott
kc cariappa,KC Cariappa
marcus stoinis,MP Stoinis
farhaan behardien,F Behardien
pardeep sahu,Mandeep Singh
armaan jaffer,P Ray Barman
swapnil singh,Swapnil Singh
jaydev unadkat,JD Unadkat
ankit singh,Sanvir Singh
john hastings,JW Hastings
jason holder,JO Holder
rajagopal sathish,R Sathish
manan sharma,Sandeep Sharma
jos buttler,JC Buttler
nathu singh,Akash Singh
tim southee,TG Southee
krunal pandya,KH Pandya
kishore kamat,KS Rathore
deepak punia,Navdeep Saini
jitesh sharma,Abhishek Sharma
mitchell marsh,DJ Mitchell
murugan ashwin,Umran Malik
ishant sharma,Abhishek Sharma
kevin pietersen,KP Pietersen
irfan pathan,IK Pathan
thisara perera,Sandeep Sharma
rajat bhatia,T Natarajan
ashok dinda,Shashank Singh
scott boland,SM Boland
peter handscomb,PSP Handscomb
adam zampa,A Zampa
ishwar pandey,TU Deshpande
deepak chahar,DL Chahar
jaskaran singh,Shashank Singh
baba aparajith,Harshit Rana
ankush bains,Akash Singh
ankit sharma,Ankit Sharma
shane watson,Ishan Kishan
stuart binny,
kane richardson,JA Richardson
samuel badree,S Badree
travis head,Suryansh Shedge
praveen dubey,P Dubey
vikramjeet singh malik,Virat Singh
akshay karnewar,Sikandar Raza
iqbal abdulla,Iqbal Abdulla
sachin baby,Sachin Baby
vikas tokas,Tejas Baroka
yuvraj singh,Yuvraj Singh
ashish nehra,Abhishek Sharma
mustafizur rahman,Mustafizur Rahman
ben cutting,BCJ Cutting
vijay shankar,V Shankar
abhimanyu mithun,Harbhajan Singh
tirumalsetti suman,
