Unnamed: 0,id,name,country,age,height,role,bat_style,bowl_style,t20_no,t20_runs,t20_avg,t20_sr,t20_50,t20_4s,t20_6s,ipl_no,ipl_runs,ipl_avg,ipl_sr,ipl_50,ipl_4s,ipl_6s,t20_wkts,t20_bowl_econ,t20_bowl_avg,t20_bowl_sr,ipl_wkts,ipl_bowl_econ,ipl_bowl_avg,ipl_bowl_sr,team,year,price,inflation,adj_price
294,181,Yuvraj Singh,india,34.0,,batting-allrounder,left-handed-bat,left-arm-orthodox,9,1177,28.02,136.39,8,77,74,15,2750,24.77,129.72,13,217,149,28,7.06,17.82,15.14,36,7.44,29.92,24.14,Delhi Capitals,2015,160000000,1.6363864,261821824.0
295,135,Yuvraj Singh,india,33.0,,batting-allrounder,left-handed-bat,left-arm-orthodox,9,1177,28.02,136.39,8,77,74,15,2750,24.77,129.72,13,217,149,28,7.06,17.82,15.14,36,7.44,29.92,24.14,Royal Challengers Bengaluru,2014,140000000,1.745533373,244374672.2
1052,49,KD Karthik,india,29.0,,wk-batsman,right-handed-bat,,22,686,26.38,142.62,1,71,28,50,4842,26.32,135.37,22,466,161,0,18.0,0.0,0.0,0,0.0,0.0,0.0,Delhi Capitals,2014,125000000,1.745533373,218191671.6
588,361,BA Stokes,england,26.0,,batting-allrounder,left-handed-bat,right-arm-fast-medium,9,585,21.67,128.01,1,42,22,6,935,24.61,133.96,2,81,32,26,8.39,32.92,23.54,28,8.64,35.43,24.61,Lucknow Super Giants,2017,145000000,1.492346163,216390193.6
202,1015,PJ Cummins,australia,31.0,6.29952,bowler,right-handed-bat,right-arm-fast,12,158,10.53,118.8,0,11,7,15,515,19.81,149.71,3,33,34,66,7.44,23.58,19.0,63,8.75,30.52,20.94,Sunrisers Hyderabad,2024,205000000,1.0495,215147500.0
204,599,PJ Cummins,australia,27.0,6.29952,bowler,right-handed-bat,right-arm-fast,12,158,10.53,118.8,0,11,7,15,515,19.81,149.71,3,33,34,66,7.44,23.58,19.0,63,8.75,30.52,20.94,Kolkata Knight Riders,2020,155000000,1.326116584,205548070.6
725,919,SM Curran,england,25.0,,bowling-allrounder,left-handed-bat,left-arm-fast-medium,9,356,14.24,124.48,1,21,15,13,883,25.23,136.48,5,74,37,54,8.41,27.07,19.31,58,9.65,32.76,20.36,Punjab Kings,2023,185000000,1.10879675,205127398.8
1043,672,CH Morris,south africa,34.0,,bowling-allrounder,right-handed-bat,right-arm-fast-medium,4,133,14.78,130.4,1,12,5,23,618,22.07,155.28,2,41,35,34,8.4,20.5,14.65,95,8.01,24.16,18.11,Rajasthan Royals,2021,162500000,1.243778451,202113998.3
948,911,CJ Green,australia,24.0,,batting-allrounder,right-handed-bat,right-arm-fast-medium,2,263,26.3,152.91,3,21,16,11,707,41.59,153.7,2,62,32,12,8.9,23.25,15.67,16,9.08,41.5,27.44,Mumbai Indians,2023,175000000,1.10879675,194039431.3
848,679,KA Jamieson,new zealand,27.0,,bowler,right-handed-bat,right-arm-fast-medium,3,49,24.5,148.49,0,7,0,3,65,16.25,118.19,0,5,3,10,9.29,41.2,26.6,9,9.61,29.89,18.67,Royal Challengers Bengaluru,2021,150000000,1.243778451,186566767.6
587,472,BA Stokes,england,27.0,,batting-allrounder,left-handed-bat,right-arm-fast-medium,9,585,21.67,128.01,1,42,22,6,935,24.61,133.96,2,81,32,26,8.39,32.92,23.54,28,8.64,35.43,24.61,Rajasthan Royals,2018,125000000,1.444252553,180531569.1
